engine,profile,start,attempts,feasible_changed,structural_candidates,route_drop_candidates,ev_change_candidates,charging_change_candidates,improving_structural_candidates,best_structural_cost_delta
ALNS,CURRENT_T3_LOCAL_SEARCH,CV_ONLY,90,76,48,0,48,48,32,-43.47478175283709
ALNS,CURRENT_T3_LOCAL_SEARCH,SHARED_ONE_EV,90,65,21,6,20,20,21,-125.52796742204441
ALNS,CURRENT_THROUGHPUT,CV_ONLY,90,67,42,0,42,42,28,-43.47478175283709
ALNS,CURRENT_THROUGHPUT,SHARED_ONE_EV,90,66,24,9,20,20,24,-93.55923974888788
ALNS,LEAN_PUBLIC,CV_ONLY,90,69,48,0,48,48,29,-43.47478175283709
ALNS,LEAN_PUBLIC,SHARED_ONE_EV,90,65,22,7,19,19,22,-89.13380889737005
ALNS,ROUTE_ELIMINATION_DIAGNOSTIC,CV_ONLY,105,73,57,0,57,57,30,-71.49140726673772
ALNS,ROUTE_ELIMINATION_DIAGNOSTIC,SHARED_ONE_EV,105,72,31,16,28,28,31,-122.85323757442347
SA,DIRECT_PATH_OPERATORS,CV_ONLY,30,2,0,0,0,0,0,N/A
SA,DIRECT_PATH_OPERATORS,SHARED_ONE_EV,30,9,4,0,4,4,3,-32.26515544974245
