B_battery_kwh,E_cv_direct,E_ev_indirect,E_total,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,evidence_strength,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,route_regime,scenario_family,scenario_label,scenario_regime,source_seed,status,total_cost,trigger_eligible,v_speed_ms,violation_count
80.0,1953.459930801381,0.0,1953.459930801381,0.0,0.0,0.0,80.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,baseline,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,baseline,A_baseline,current,5,OK,4918.752359570978,False,25.0,0
80.0,977.6450300997138,118.33341157098148,1095.9784416706952,95100.66088953285,59.85225876039197,0.7481532345048996,80.0,0.05034,0.0,25,55.1715547537028,262.5189377745308,2560.0,544.9868495794727,1437.7008715551372,14.593681827569583,0.0,10,22,238.58529957731662,1287.5623290734843,0.0,2616.6345110343827,22,3,3,baseline,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,fixed_replay,3,23.933638197214115,29.187363655139166,14.593681827569583,mixed,32,regional_cross_city_like,baseline,A_baseline,current,1,OK,4874.971895490413,False,25.0,0
89.0,1953.459930801381,0.0,1953.459930801381,0.0,0.0,0.0,89.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,conditional,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,5,OK,4918.752359570978,False,25.0,0
89.0,977.6450300997138,118.66664224658311,1096.311672346297,95100.66088953285,59.82559634057514,0.6721977116918555,89.0,0.05034,0.0,24,55.18832958591259,250.55107084483123,2560.0,544.9868495794727,1437.387691404628,5.251335121193165,0.0,10,22,241.93888124607443,1305.660449250267,0.0,1721.8340810079535,22,2,2,conditional,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.0712850664485136,fixed_replay,2,8.61218959875679,10.50267024238633,5.251335121193165,mixed,32,regional_cross_city_like,van_battery,B_modern_large_van_89,van_delivery,1,OK,4853.365276536037,False,25.0,0
113.0,1953.459930801381,0.0,1953.459930801381,0.0,0.0,0.0,113.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,conditional,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,5,OK,4918.752359570978,False,25.0,0
113.0,977.6450300997138,119.89941596417708,1097.544446063891,95100.66088953285,59.77390797967717,0.5289726369882936,113.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,conditional,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.8392411001783109,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,1,OK,4840.696599740556,False,25.0,0
160.0,1953.459930801381,0.0,1953.459930801381,0.0,0.0,0.0,160.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,diagnostic,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,5,OK,4918.752359570978,False,25.0,0
160.0,977.6450300997138,119.89941596417708,1097.544446063891,95100.66088953285,59.77390797967717,0.3735869248729823,160.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,diagnostic,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.592714027000932,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,1,OK,4840.696599740556,False,25.0,0
280.0,1953.459930801381,0.0,1953.459930801381,0.0,0.0,0.0,280.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,strong,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,29,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,5,OK,4918.752359570978,True,25.0,0
280.0,977.6450300997138,119.89941596417708,1097.544446063891,95100.66088953285,59.77390797967717,0.21347824278456132,280.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,strong,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.3386937297148183,fixed_replay,0,0.0,0.0,0.0,mixed,32,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,1,OK,4840.696599740556,True,25.0,0
