budget,category,instance,seed,profile,route_count,cv_route_count,ev_route_count,charging_action_count,cost_fix,cost_km,cost_carbon,cost_fuel,cost_elec,cost_occ,cost_transship,route_count_delta_vs_lns,cost_fix_delta_vs_lns,cost_fix_delta_vs_a0
4000,multidepot,e2-multidepot-100c-01,1,A0_MAIN_LOCAL_SEARCH,14,6,8,9,1120.0,783.5714844984216,38.13280167650629,404.4835710176344,110.79206925221926,8.449594135051303,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,14,7,7,8,1120.0,795.2017809674547,39.79561797104568,424.44293510647685,102.63496267114533,7.673514383265318,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,14,8,6,7,1120.0,786.666971565219,42.82988202262557,460.6458769094788,82.70606569422988,5.306918610872689,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,14,8,6,6,1120.0,788.4792984431032,44.013519353292416,475.5951601036225,66.64321802221957,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,14,9,5,6,1120.0,808.5424915479571,46.99194122998263,509.40910046905896,67.22989282550641,5.306918610872689,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,1,LNS_REFERENCE,14,9,5,5,1120.0,786.8286685299395,47.85131075715527,522.091142643403,47.399826251099384,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,2,A0_MAIN_LOCAL_SEARCH,14,8,6,7,1120.0,803.0575032298406,45.191827616546874,488.87074177638084,66.09666127553216,0.007946873266639898,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,14,8,6,6,1120.0,790.659969449876,43.459285060392766,468.8169917599464,71.34144963973559,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,14,7,7,8,1120.0,785.6992935754104,40.08343776899168,428.58543709702815,87.22172512534706,0.2944446832023857,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,14,7,7,8,1120.0,790.538327193279,40.87944121601237,437.09348299859937,88.29870337464833,1.52462956733698,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-100c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,14,8,6,6,1120.0,783.568677405487,43.33533357362735,467.1988092080306,69.36499553407134,0.0,0.0,0.0,0.0,0.0
