budget,profile,pass_gate,mean_gap_vs_lns,a0_mean_gap_vs_lns,wins_vs_a0,losses_vs_a0,wins_vs_lns,losses_vs_lns,normalized_entropy,a0_normalized_entropy,top1_pair_share,top2_pair_share,gap_gate,wins_gate,entropy_gate,top_share_gate,scale_gate,lns_gate,fixed_cost_gate,clean_gate
4000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,True,0.00048527397136235187,-0.004385253026182812,23,18,23,18,0.8227620351716587,0.5479450509066646,0.24319320523414537,0.4628254343482945,True,True,True,True,True,True,True,True
4000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,True,0.0030773050937767557,-0.004385253026182812,22,16,24,17,0.8101206441799167,0.5479450509066646,0.2621221629536659,0.47424432590733184,True,True,True,True,True,True,True,True
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,True,0.0011433358929469968,-0.004385253026182812,24,18,26,18,0.9794336406406877,0.5479450509066646,0.11442661186154385,0.21505258258682272,True,True,True,True,True,True,True,True
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,True,0.0038323386258464383,-0.004385253026182812,23,16,24,20,0.9516053791941392,0.5479450509066646,0.16274375480449937,0.2946498140952899,True,True,True,True,True,True,True,True
8000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,False,-0.005220086718924731,-0.01268506034578422,24,15,20,22,0.832477154715235,0.6372583821735889,0.23245615181364618,0.44968860012492584,True,True,True,True,False,True,True,True
8000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,False,-0.00271671140701799,-0.01268506034578422,27,12,20,20,0.8321729693100012,0.6372583821735889,0.22776976311442848,0.447116289280562,True,True,True,True,False,True,True,True
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,True,-0.001683652696976347,-0.01268506034578422,29,12,20,22,0.9795135456842613,0.6372583821735889,0.1118352457281429,0.21788235048173535,True,True,True,True,True,True,True,True
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,True,-0.0010006201218705217,-0.01268506034578422,26,13,20,20,0.9694669786602854,0.6372583821735889,0.1296257098133906,0.24044936773364065,True,True,True,True,True,True,True,True
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,False,-0.006035769122260031,-0.01691298421205509,29,12,14,28,0.9761192598643349,0.7026472219851116,0.12271429915629019,0.22831001892335517,True,True,True,True,True,False,True,True
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,False,-0.0026802757975461834,-0.01691298421205509,28,12,19,21,0.9766890277881463,0.7026472219851116,0.11534485575195216,0.21658313457705752,True,True,True,True,True,False,True,True
