battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant
60.0,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4958.091219499034,0.48,0.49149076657649793,0.29295103874618367,0.5151515151515151,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,16,0.48,0.49149076657649793,0.29295103874618367,17,0.5151515151515151,33,OK,4958.091219499034,100.0,46949.0,3884593.189790065,free_mixed
60.0,multidepot,all_cv,629.1244202104523,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,610.2402905660049,0.4,0.4505378240169282,0.22442757542513536,0.5,e2-multidepot-10c-01,stage_a,1,10,balanced_mixed,2,0.4,0.4505378240169282,0.22442757542513536,2,0.5,4,OK,610.2402905660049,10.0,5671.0,481004.4819441205,free_mixed
60.0,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7392.206283363699,0.44,0.4646198706243719,0.2678493601230818,0.48,e2-multidepot-150c-01,stage_a,1,150,all_cv,48,0.0,0.0,0.0,0,0.0,48,OK,7270.566593981815,150.0,70647.0,5328266.541451126,cv_shell
60.0,multidepot,all_cv,945.2956479699312,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,937.0697965343797,0.5333333333333333,0.5762570993212356,0.2940691887463339,0.6,e2-multidepot-15c-01,stage_a,1,15,balanced_mixed,2,0.5333333333333333,0.5762570993212356,0.2940691887463339,3,0.6,5,OK,937.0697965343797,15.0,7219.0,894226.7417596554,free_mixed
60.0,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,9452.213109122798,0.66,0.6785655467720685,0.49278968874913837,0.6956521739130435,e2-multidepot-200c-01,stage_a,1,200,balanced_mixed,21,0.66,0.6785655467720685,0.49278968874913837,48,0.6956521739130435,69,OK,9452.213109122798,200.0,97152.0,6843007.9254579805,free_mixed
60.0,multidepot,all_cv,1172.824422818402,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1156.1673511245967,0.35,0.40055543687246314,0.23528955721520667,0.42857142857142855,e2-multidepot-20c-01,stage_a,1,20,balanced_mixed,4,0.35,0.40055543687246314,0.23528955721520667,3,0.42857142857142855,7,OK,1156.1673511245967,20.0,9362.0,991320.2380516736,free_mixed
60.0,multidepot,all_cv,1045.8722145551653,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,982.9143855193646,0.4,0.5584539223153084,0.3241484238247157,0.5714285714285714,e2-multidepot-25c-01,stage_a,1,25,balanced_mixed,3,0.4,0.5584539223153084,0.3241484238247157,4,0.5714285714285714,7,OK,982.9143855193646,25.0,10504.0,719724.1074003923,free_mixed
60.0,multidepot,all_cv,2426.9046973084396,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,2399.5984137658616,0.48,0.5514572342817607,0.4088081301642107,0.5882352941176471,e2-multidepot-50c-01,stage_a,1,50,balanced_mixed,7,0.48,0.5514572342817607,0.4088081301642107,10,0.5882352941176471,17,OK,2399.5984137658616,50.0,23126.0,1797367.5480728261,free_mixed
60.0,multidepot,all_cv,4257.4366557039775,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4079.518782530835,0.44,0.4318044989327349,0.3436685111998459,0.46153846153846156,e2-multidepot-75c-01,stage_a,1,75,balanced_mixed,14,0.44,0.4318044989327349,0.3436685111998459,12,0.46153846153846156,26,OK,4079.518782530835,75.0,36542.0,3358296.250236455,free_mixed
60.0,threeshift,all_cv,5107.53757812103,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5003.896863183934,0.31,0.31445435703343244,0.1883582046901162,0.3548387096774194,e2-threeshift-100c-01,stage_a,1,100,balanced_mixed,20,0.31,0.31445435703343244,0.1883582046901162,11,0.3548387096774194,31,OK,5003.896863183934,100.0,44388.0,4111703.0471147015,free_mixed
