category,constraint_scenario,depot_chargers,depots,instance,interpretation,manifest_num_cv,manifest_num_ev,max_cv,max_ev,mechanism,promotable,public_chargers,replicate,size,source_class
multidepot,unbounded_reference,,2,e2-multidepot-100c-01,Current solver/search-shell reference.,7,7,1000000,1000000,none,False,,1,100,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-100c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,7,7,1000000,7,ev_fleet_capital,False,,1,100,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-100c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,7,7,7,7,fleet_capital,False,,1,100,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,7,2,e2-multidepot-100c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,7,7,1000000,1000000,depot_charging_capacity,False,,1,100,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,14,2,e2-multidepot-100c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,7,7,1000000,1000000,depot_charging_capacity,False,,1,100,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-100c-01,Set public station chargers to zero to test public charging dependency.,7,7,1000000,1000000,public_charging_availability,False,0,1,100,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,7,2,e2-multidepot-100c-01,Combine manifest-EV depot charger proxy with no public charging.,7,7,1000000,1000000,charging_capacity_combo,False,0,1,100,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-100c-02,Current solver/search-shell reference.,7,6,1000000,1000000,none,False,,2,100,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-100c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,7,6,1000000,6,ev_fleet_capital,False,,2,100,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-100c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,7,6,7,6,fleet_capital,False,,2,100,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,6,2,e2-multidepot-100c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,7,6,1000000,1000000,depot_charging_capacity,False,,2,100,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,13,2,e2-multidepot-100c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,7,6,1000000,1000000,depot_charging_capacity,False,,2,100,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-100c-02,Set public station chargers to zero to test public charging dependency.,7,6,1000000,1000000,public_charging_availability,False,0,2,100,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,6,2,e2-multidepot-100c-02,Combine manifest-EV depot charger proxy with no public charging.,7,6,1000000,1000000,charging_capacity_combo,False,0,2,100,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-100c-03,Current solver/search-shell reference.,7,6,1000000,1000000,none,False,,3,100,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-100c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,7,6,1000000,6,ev_fleet_capital,False,,3,100,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-100c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,7,6,7,6,fleet_capital,False,,3,100,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,6,2,e2-multidepot-100c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,7,6,1000000,1000000,depot_charging_capacity,False,,3,100,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,13,2,e2-multidepot-100c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,7,6,1000000,1000000,depot_charging_capacity,False,,3,100,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-100c-03,Set public station chargers to zero to test public charging dependency.,7,6,1000000,1000000,public_charging_availability,False,0,3,100,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,6,2,e2-multidepot-100c-03,Combine manifest-EV depot charger proxy with no public charging.,7,6,1000000,1000000,charging_capacity_combo,False,0,3,100,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-10c-01,Current solver/search-shell reference.,1,1,1000000,1000000,none,False,,1,10,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-10c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,1,1,1000000,1,ev_fleet_capital,False,,1,10,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-10c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,1,1,1,1,fleet_capital,False,,1,10,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-10c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,1,10,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,2,2,e2-multidepot-10c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,1,10,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-10c-01,Set public station chargers to zero to test public charging dependency.,1,1,1000000,1000000,public_charging_availability,False,0,1,10,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-10c-01,Combine manifest-EV depot charger proxy with no public charging.,1,1,1000000,1000000,charging_capacity_combo,False,0,1,10,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-10c-02,Current solver/search-shell reference.,1,1,1000000,1000000,none,False,,2,10,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-10c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,1,1,1000000,1,ev_fleet_capital,False,,2,10,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-10c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,1,1,1,1,fleet_capital,False,,2,10,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-10c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,2,10,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,2,2,e2-multidepot-10c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,2,10,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-10c-02,Set public station chargers to zero to test public charging dependency.,1,1,1000000,1000000,public_charging_availability,False,0,2,10,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-10c-02,Combine manifest-EV depot charger proxy with no public charging.,1,1,1000000,1000000,charging_capacity_combo,False,0,2,10,diagnostic_only
