battery_kwh,category,constraint_scenario,cv_over_manifest,depot_charging_energy_share,depot_peak_capacity,depot_peak_concurrent,ev_over_manifest,fake_balance,in_practical_band,instance,manifest_num_cv,manifest_num_ev,public_charging_energy_share,size,source_artifact,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-100c-01,7,7,,100,09l_stage_a,balanced_mixed,16,0.48,0.49149076657649793,0.29295103874618367,17,0.5151515151515151
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-10c-01,1,1,,10,09l_stage_a,balanced_mixed,2,0.4,0.4505378240169282,0.22442757542513536,2,0.5
60.0,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-150c-01,10,10,,150,09l_stage_a,all_cv,48,0.0,0.0,0.0,0,0.0
60.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-15c-01,2,0,,15,09l_stage_a,balanced_mixed,2,0.5333333333333333,0.5762570993212356,0.2940691887463339,3,0.6
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-200c-01,14,14,,200,09l_stage_a,balanced_mixed,21,0.66,0.6785655467720685,0.49278968874913837,48,0.6956521739130435
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.35,0.40055543687246314,0.23528955721520667,3,0.42857142857142855
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-25c-01,2,1,,25,09l_stage_a,balanced_mixed,3,0.4,0.5584539223153084,0.3241484238247157,4,0.5714285714285714
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-50c-01,4,3,,50,09l_stage_a,balanced_mixed,7,0.48,0.5514572342817607,0.4088081301642107,10,0.5882352941176471
60.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-75c-01,6,5,,75,09l_stage_a,balanced_mixed,14,0.44,0.4318044989327349,0.3436685111998459,12,0.46153846153846156
60.0,threeshift,unbounded_reference,True,,,,True,True,True,e2-threeshift-100c-01,7,7,,100,09l_stage_a,balanced_mixed,20,0.31,0.31445435703343244,0.1883582046901162,11,0.3548387096774194
