run_id,phase,category,instance,profile,algorithm,seed,status,failure_reason,eval_budget,actual_evals,best_cost,best_signature,feasible,violation_count,route_count
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,2517.918908768099,d26f5de5c88d4caee68795119e8f5fbd8995184381718ad21359e11e4177756f,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,2517.911013675333,0bfa0ce081141b4c8647ce15971c1c5b37bbd5ac94eed46d8195bda074a7e656,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,2524.1709481815974,e251fc94f3092e95ebcf97e3b090f96216e0efe2598167cdcade2d7642215c44,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,2574.117100251439,adb07016015e72675d84ec657a36a141921982dd2f415e1cf85e0308f886a1b8,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A3_STRONG_BRIDGE_BACKEND__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,2,OK,,4000,4000,2572.8193630353417,1b8852805b1d745ceef18601d61757571267c9eccb2a1d06d121785df6facc42,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,2515.691011919639,208deab3b2923cb8d3ff66fe850a54a53cfcf8b1901b3d7f85af5a1051b80800,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A0_TRACE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A0_TRACE,alns_e2_throughput,3,OK,,4000,4000,2473.0847506621276,a41f037e7000fe2493343022cdd24fb38d29f4194ae215036eeb3052fec139d5,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,2632.1163966158874,b3af1356d9a70a44f2fe561f0cf6a39b90e46b2e67b4bf9af20da1cf707a2d26,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,2551.814954251537,ba93b191a1fef88c1bb99741370426e4c3c775a490a2e59855bcdca1cc651ef0,True,0,14
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-10c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-10c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,387.9007343319535,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,True,0,2
