battery_kwh,metric,n,pearson_with_ev_route_share
60.0,size,12,0.24230855853955383
60.0,station_per_customer,12,-0.053156853194848364
60.0,depot_per_customer,12,0.20937863336534732
60.0,bbox_diag_km,12,0.512198161117743
60.0,nearest_depot_p90_km,12,-0.29840287084057965
60.0,nearest_station_p90_km,12,-0.3071976937981615
60.0,nearest_customer_p50_km,12,-0.008367256951530197
60.0,pairwise_p90_km,12,0.10495430116734719
60.0,roundtrip_depot_empty_kwh_p90,12,-0.29840287084057987
81.0,size,12,-0.2811671556841237
81.0,station_per_customer,12,0.5422313702424966
81.0,depot_per_customer,12,0.23172432143706517
81.0,bbox_diag_km,12,-0.34753470391742813
81.0,nearest_depot_p90_km,12,0.12423271346769316
81.0,nearest_station_p90_km,12,0.29122600504303603
81.0,nearest_customer_p50_km,12,0.28249706772248767
81.0,pairwise_p90_km,12,0.12447940107781945
81.0,roundtrip_depot_empty_kwh_p90,12,0.12423271346769316
82.6,size,12,-0.31435953496273905
82.6,station_per_customer,12,0.5041398385998984
82.6,depot_per_customer,12,0.20600872502500014
82.6,bbox_diag_km,12,-0.15346533441861132
82.6,nearest_depot_p90_km,12,0.2651639599371624
82.6,nearest_station_p90_km,12,0.3136006797020467
82.6,nearest_customer_p50_km,12,0.34429382710355166
82.6,pairwise_p90_km,12,0.31632609706361325
82.6,roundtrip_depot_empty_kwh_p90,12,0.26516395993716246
89.0,size,12,-0.20441613943694714
89.0,station_per_customer,12,0.21808127708353386
89.0,depot_per_customer,12,-0.05600280813248372
89.0,bbox_diag_km,12,-0.19997263232257873
89.0,nearest_depot_p90_km,12,0.6196787637755314
89.0,nearest_station_p90_km,12,0.24065260358273802
89.0,nearest_customer_p50_km,12,0.24638201154006717
89.0,pairwise_p90_km,12,0.29408028245312945
89.0,roundtrip_depot_empty_kwh_p90,12,0.6196787637755315
100.0,size,12,-0.045449821023164895
100.0,station_per_customer,12,0.06497795963380036
100.0,depot_per_customer,12,-0.1039394357061442
100.0,bbox_diag_km,12,-0.5138603877024863
100.0,nearest_depot_p90_km,12,0.281096605239287
100.0,nearest_station_p90_km,12,0.22263903744217173
100.0,nearest_customer_p50_km,12,-0.04588497448098683
100.0,pairwise_p90_km,12,-0.023978356262525445
100.0,roundtrip_depot_empty_kwh_p90,12,0.28109660523928687
113.0,size,12,0.40174467012599924
113.0,station_per_customer,12,-0.029857360990461067
113.0,depot_per_customer,12,-0.33046007561752383
113.0,bbox_diag_km,12,-0.07900174035206649
113.0,nearest_depot_p90_km,12,0.11247987639002235
113.0,nearest_station_p90_km,12,-0.350129965516954
113.0,nearest_customer_p50_km,12,-0.19042350079928233
113.0,pairwise_p90_km,12,-0.2565753990254582
113.0,roundtrip_depot_empty_kwh_p90,12,0.11247987639002235
123.9,size,12,-0.14866921913218006
123.9,station_per_customer,12,0.017258623628689372
123.9,depot_per_customer,12,0.4362836807997673
123.9,bbox_diag_km,12,0.27421779776728616
123.9,nearest_depot_p90_km,12,-0.1778259155227005
123.9,nearest_station_p90_km,12,0.06405177181266576
123.9,nearest_customer_p50_km,12,0.2101209871386453
123.9,pairwise_p90_km,12,0.2337912637047851
123.9,roundtrip_depot_empty_kwh_p90,12,-0.1778259155227002
140.0,size,12,-0.2504326257614913
140.0,station_per_customer,12,0.19145544956058275
140.0,depot_per_customer,12,0.23087805778319623
140.0,bbox_diag_km,12,0.4345707773954064
140.0,nearest_depot_p90_km,12,0.06259294974333474
140.0,nearest_station_p90_km,12,0.16819280772760672
140.0,nearest_customer_p50_km,12,0.36241371320450516
140.0,pairwise_p90_km,12,0.45545119243563503
140.0,roundtrip_depot_empty_kwh_p90,12,0.06259294974333415
141.0,size,12,-0.25069511967110136
141.0,station_per_customer,12,0.19161677363253082
141.0,depot_per_customer,12,0.2310181288000119
141.0,bbox_diag_km,12,0.43443781038800616
141.0,nearest_depot_p90_km,12,0.061930500640482916
141.0,nearest_station_p90_km,12,0.16776903266595755
141.0,nearest_customer_p50_km,12,0.3625483661262746
141.0,pairwise_p90_km,12,0.4556238576794596
141.0,roundtrip_depot_empty_kwh_p90,12,0.06193050064048232
150.0,size,12,-0.5064591583494795
150.0,station_per_customer,12,0.4069429272463575
150.0,depot_per_customer,12,0.29191242771361253
150.0,bbox_diag_km,12,0.05296089801403235
150.0,nearest_depot_p90_km,12,0.2894907409323143
150.0,nearest_station_p90_km,12,0.4091405297424947
150.0,nearest_customer_p50_km,12,0.5243522868672809
150.0,pairwise_p90_km,12,0.5423300135203056
150.0,roundtrip_depot_empty_kwh_p90,12,0.28949074093231425
176.0,size,12,-0.2368748130935369
176.0,station_per_customer,12,0.17212973787504052
176.0,depot_per_customer,12,0.21733649690723042
176.0,bbox_diag_km,12,0.4232266070475461
176.0,nearest_depot_p90_km,12,0.08378566656413472
176.0,nearest_station_p90_km,12,0.17616058514305635
176.0,nearest_customer_p50_km,12,0.34397994889387085
176.0,pairwise_p90_km,12,0.44578223688146285
176.0,roundtrip_depot_empty_kwh_p90,12,0.08378566656413411
180.0,size,12,-0.2368748130935369
180.0,station_per_customer,12,0.17212973787504052
180.0,depot_per_customer,12,0.21733649690723042
180.0,bbox_diag_km,12,0.4232266070475461
180.0,nearest_depot_p90_km,12,0.08378566656413472
180.0,nearest_station_p90_km,12,0.17616058514305635
180.0,nearest_customer_p50_km,12,0.34397994889387085
180.0,pairwise_p90_km,12,0.44578223688146285
180.0,roundtrip_depot_empty_kwh_p90,12,0.08378566656413411
194.0,size,12,-0.5206300911916989
194.0,station_per_customer,12,0.4152167175165203
194.0,depot_per_customer,12,0.3123847285316729
194.0,bbox_diag_km,12,0.060592752231910386
194.0,nearest_depot_p90_km,12,0.26458121646150307
194.0,nearest_station_p90_km,12,0.41505803892805876
194.0,nearest_customer_p50_km,12,0.5355614970980433
194.0,pairwise_p90_km,12,0.5466409504618636
194.0,roundtrip_depot_empty_kwh_p90,12,0.2645812164615029
200.0,size,12,-0.5206300911916989
200.0,station_per_customer,12,0.4152167175165203
200.0,depot_per_customer,12,0.3123847285316729
200.0,bbox_diag_km,12,0.060592752231910386
200.0,nearest_depot_p90_km,12,0.26458121646150307
200.0,nearest_station_p90_km,12,0.41505803892805876
200.0,nearest_customer_p50_km,12,0.5355614970980433
200.0,pairwise_p90_km,12,0.5466409504618636
200.0,roundtrip_depot_empty_kwh_p90,12,0.2645812164615029
210.0,size,12,-0.5206300911916989
210.0,station_per_customer,12,0.4152167175165203
210.0,depot_per_customer,12,0.3123847285316729
210.0,bbox_diag_km,12,0.060592752231910386
210.0,nearest_depot_p90_km,12,0.26458121646150307
210.0,nearest_station_p90_km,12,0.41505803892805876
210.0,nearest_customer_p50_km,12,0.5355614970980433
210.0,pairwise_p90_km,12,0.5466409504618636
210.0,roundtrip_depot_empty_kwh_p90,12,0.2645812164615029
240.0,size,12,-0.226242385624207
240.0,station_per_customer,12,0.17827020663025467
240.0,depot_per_customer,12,0.1974067701434771
240.0,bbox_diag_km,12,0.42658369625547754
240.0,nearest_depot_p90_km,12,0.09966801350177676
240.0,nearest_station_p90_km,12,0.1544262321520103
240.0,nearest_customer_p50_km,12,0.3446935796241524
240.0,pairwise_p90_km,12,0.4492588459966495
240.0,roundtrip_depot_empty_kwh_p90,12,0.09966801350177623
280.0,size,12,-0.226242385624207
280.0,station_per_customer,12,0.17827020663025467
280.0,depot_per_customer,12,0.1974067701434771
280.0,bbox_diag_km,12,0.42658369625547754
280.0,nearest_depot_p90_km,12,0.09966801350177676
280.0,nearest_station_p90_km,12,0.1544262321520103
280.0,nearest_customer_p50_km,12,0.3446935796241524
280.0,pairwise_p90_km,12,0.4492588459966495
280.0,roundtrip_depot_empty_kwh_p90,12,0.09966801350177623
282.0,size,12,-0.226242385624207
282.0,station_per_customer,12,0.17827020663025467
282.0,depot_per_customer,12,0.1974067701434771
282.0,bbox_diag_km,12,0.42658369625547754
282.0,nearest_depot_p90_km,12,0.09966801350177676
282.0,nearest_station_p90_km,12,0.1544262321520103
282.0,nearest_customer_p50_km,12,0.3446935796241524
282.0,pairwise_p90_km,12,0.4492588459966495
282.0,roundtrip_depot_empty_kwh_p90,12,0.09966801350177623
291.0,size,12,-0.226242385624207
291.0,station_per_customer,12,0.17827020663025467
291.0,depot_per_customer,12,0.1974067701434771
291.0,bbox_diag_km,12,0.42658369625547754
291.0,nearest_depot_p90_km,12,0.09966801350177676
291.0,nearest_station_p90_km,12,0.1544262321520103
291.0,nearest_customer_p50_km,12,0.3446935796241524
291.0,pairwise_p90_km,12,0.4492588459966495
291.0,roundtrip_depot_empty_kwh_p90,12,0.09966801350177623
