stage,category,instance,size,seed,algorithm,battery_kwh,status,gate_status,failure_reason,best_cost,actual_evals,elapsed_seconds,runtime_cap_seconds,eval_budget,checkpoint_path,checkpoint_readable,violation_count,route_count,ev_route_count,cv_route_count,ev_route_share,charging_action_count,low_carbon_charging_share,E_total,cost_carbon,seed_source,python,numpy,carbon_best_improvements,operator_counts,queue_action
stageB,threeshift,e2-threeshift-100c-02,100,1,GA,280.0,OK,OK,,3345.110693759611,16000,259.8965807920031,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,1,LNS,280.0,OK,OK,,3191.356243708531,16000,843.826745917002,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed1.json,True,0,13,8,5,0.6153846153846154,8,0.06606338763108215,1253.3296916227673,63.09261667629011,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,1,PSO,280.0,OK,OK,,3345.110693759611,16000,265.1792169580003,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,1,VNS,280.0,OK,OK,,3345.110693759611,16000,513.1867815000005,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed1.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,1,alns_e2_carbon,280.0,OK,OK,,2782.6601845066943,16000,58.953370458009886,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon__seed1.json,True,0,13,9,4,0.6923076923076923,9,0.14141137106856266,871.2221658266502,43.85732382771357,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,"{""destroy"": {""carbon_related_removal"": [0, 0, 0, 16], ""random_customer_removal"": [0, 0, 1, 23], ""route_segment_removal"": [29, 10, 2894, 12664], ""shaw_related_removal"": [0, 0, 0, 16], ""vehicle_type_swap"": [4, 0, 0, 235], ""whole_route_removal"": [0, 0, 0, 16], ""worst_carbon_removal"": [0, 0, 0, 16], ""worst_customer_removal"": [0, 0, 0, 16]}, ""repair"": {""greedy_insert_repair"": [4, 0, 1, 258], ""low_carbon_charging_repair"": [0, 0, 0, 32], ""regret2_insert_repair"": [29, 10, 2891, 12662], ""regret3_insert_repair"": [0, 0, 3, 50]}, ""scan"": {""infeasible"": 60, ""rebuild_accepts"": 0, ""rebuild_attempts"": 59, ""restart_accepts"": 0, ""restart_attempts"": 1}, ""timing"": {""acceptance"": {""count"": 15940.0, ""seconds"": 0.047671688633272424}, ""checkpoint_model_cost"": {""count"": 34.0, ""seconds"": 0.00980729004368186}, ""destroy:carbon_related_removal"": {""count"": 16.0, ""seconds"": 0.00972741498844698}, ""destroy:random_customer_removal"": {""count"": 24.0, ""seconds"": 0.003923333977581933}, ""destroy:route_segment_removal"": {""count"": 15597.0, ""seconds"": 2.6734861378499772}, ""destroy:shaw_related_removal"": {""count"": 16.0, ""seconds"": 0.07504879194311798}, ""destroy:vehicle_type_swap"": {""count"": 239.0, ""seconds"": 0.9141795830219053}, ""destroy:whole_route_removal"": {""count"": 16.0, ""seconds"": 0.002455585025018081}, ""destroy:worst_carbon_removal"": {""count"": 16.0, ""seconds"": 0.008868040953529999}, ""destroy:worst_customer_removal"": {""count"": 16.0, ""seconds"": 0.0029388730181381106}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0009215000027325004}, ""full_candidate_score"": {""count"": 15940.0, ""seconds"": 19.33388633132563}, ""history_model_cost"": {""count"": 34.0, ""seconds"": 0.009876707015791908}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.001106500014429912}, ""local_search"": {""count"": 13250.0, ""seconds"": 0.0146690922556445}, ""repair:greedy_insert_repair"": {""count"": 263.0, ""seconds"": 1.2125625798653346}, ""repair:low_carbon_charging_repair"": {""count"": 32.0, ""seconds"": 4.617233668075642}, ""repair:regret2_insert_repair"": {""count"": 15592.0, ""seconds"": 45.10726055665873}, ""repair:regret3_insert_repair"": {""count"": 53.0, ""seconds"": 0.9086281289346516}, ""repair_full_check"": {""count"": 15791.0, ""seconds"": 14.512374844925944}, ""repair_solution_score"": {""count"": 1916.0, ""seconds"": 0.549461987480754}, ""route_model_cost"": {""count"": 8979.0, ""seconds"": 0.2638420215807855}, ""scan_build"": {""count"": 60.0, ""seconds"": 0.06424342386890203}, ""scan_score"": {""count"": 60.0, ""seconds"": 0.04021971198380925}}}",SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,1,alns_e2_carbon_ablation,280.0,OK,OK,,2702.0808372486913,16000,57.15827841698774,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed1.json,True,0,13,10,3,0.7692307692307693,10,0.11665699694976689,742.0294142559717,37.35376071364562,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,2,"{""destroy"": {""carbon_related_removal"": [2, 0, 1, 118], ""random_customer_removal"": [0, 0, 0, 12], ""route_segment_removal"": [34, 10, 3186, 12273], ""shaw_related_removal"": [0, 0, 0, 12], ""vehicle_type_swap"": [5, 0, 0, 253], ""whole_route_removal"": [0, 0, 0, 12], ""worst_carbon_removal"": [0, 0, 0, 12], ""worst_customer_removal"": [0, 0, 0, 12]}, ""repair"": {""greedy_insert_repair"": [5, 0, 0, 265], ""low_carbon_charging_repair"": [0, 0, 0, 24], ""regret2_insert_repair"": [36, 10, 3187, 12391], ""regret3_insert_repair"": [0, 0, 0, 24]}, ""scan"": {""infeasible"": 58, ""rebuild_accepts"": 0, ""rebuild_attempts"": 57, ""restart_accepts"": 0, ""restart_attempts"": 1}, ""timing"": {""acceptance"": {""count"": 15942.0, ""seconds"": 0.04691594134783372}, ""checkpoint_model_cost"": {""count"": 42.0, ""seconds"": 0.012191417074063793}, ""destroy:carbon_related_removal"": {""count"": 121.0, ""seconds"": 0.5585005801403895}, ""destroy:random_customer_removal"": {""count"": 12.0, ""seconds"": 0.0020342490170150995}, ""destroy:route_segment_removal"": {""count"": 15503.0, ""seconds"": 2.66274861220154}, ""destroy:shaw_related_removal"": {""count"": 12.0, ""seconds"": 0.05658145798952319}, ""destroy:vehicle_type_swap"": {""count"": 258.0, ""seconds"": 0.9939927532395814}, ""destroy:whole_route_removal"": {""count"": 12.0, ""seconds"": 0.0018777090299408883}, ""destroy:worst_carbon_removal"": {""count"": 12.0, ""seconds"": 0.0022297529503703117}, ""destroy:worst_customer_removal"": {""count"": 12.0, ""seconds"": 0.0021651250135619193}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0009984580101445317}, ""full_candidate_score"": {""count"": 15942.0, ""seconds"": 19.530539861530997}, ""history_model_cost"": {""count"": 42.0, ""seconds"": 0.012303624913329259}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0011034169874619693}, ""local_search"": {""count"": 13078.0, ""seconds"": 0.014376086852280423}, ""repair:greedy_insert_repair"": {""count"": 270.0, ""seconds"": 1.1984015917987563}, ""repair:low_carbon_charging_repair"": {""count"": 24.0, ""seconds"": 0.42288112398819067}, ""repair:regret2_insert_repair"": {""count"": 15624.0, ""seconds"": 46.90744914824609}, ""repair:regret3_insert_repair"": {""count"": 24.0, ""seconds"": 0.8234155809623189}, ""repair_full_check"": {""count"": 15869.0, ""seconds"": 14.749667998956284}, ""repair_solution_score"": {""count"": 2069.0, ""seconds"": 0.5961393359757494}, ""route_model_cost"": {""count"": 12222.0, ""seconds"": 0.3564981171512045}, ""scan_build"": {""count"": 58.0, ""seconds"": 0.06195566806127317}, ""scan_score"": {""count"": 58.0, ""seconds"": 0.03873333617229946}}}",SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,2,GA,280.0,OK,OK,,3345.110693759611,16000,259.3328133749892,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__GA__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.1414111705106984,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,2,LNS,280.0,OK,OK,,3142.024977547804,16000,880.1516115840059,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__LNS__seed2.json,True,0,13,8,5,0.6153846153846154,8,0.057412532875471205,1207.5535502940245,60.7882457218012,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,2,PSO,280.0,OK,OK,,3345.110693759611,16000,264.29831216597813,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__PSO__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.1414111705106984,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
stageB,threeshift,e2-threeshift-100c-02,100,2,VNS,280.0,OK,OK,,3345.110693759611,16000,544.5320070419984,900.0,16000,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_data/checkpoints/wc280_ev_seeded/e2-threeshift-100c-02__VNS__seed2.json,True,0,14,8,6,0.5714285714285714,8,0.14141117051069838,1346.2426635211684,67.76985568165563,baselines/e2_alns/threeshift_280_stageB_small_warmstart_probe_stageA_data/ev_maximal_solutions/e2-threeshift-100c-02__B280.json,/opt/anaconda3/bin/python3.13,2.3.5,0,{},SKIPPED_EXISTING
