seed_or_stat,HGS-F_cost_cny,HGS-F_cpu_min,HGS-E_cost_cny,HGS-E_cpu_min,HGS-M_cost_cny,HGS-M_cpu_min,MV-HGS-SP_cost_cny,MV-HGS-SP_cpu_min
1,5286.883766731755,0.5107802798665944,5176.631401537045,0.6195946229165809,5184.871727710179,0.6631394881832724,5175.458124198396,1.8452577381996282
2,5285.201519052848,0.5137377840166057,5188.430299341431,0.6637666840334229,5183.243376901506,0.6614971840167224,5181.149111769219,1.894731246533532
3,5285.201519052848,0.5065701868001876,5187.276256650583,0.6589602090166106,5178.791295638886,0.6391212791665263,5175.070810721165,1.9009458805667236
4,5285.201519052848,0.518726821533346,5193.7220453003665,0.6398563340335386,5190.528930849317,0.6875715666668839,5188.29574701191,1.9550948187500277
5,5293.548263875693,0.517597388200132,5185.542566899997,0.6508670375003324,5188.645305714825,0.6654199916665675,5185.542566899997,1.9414609680500385
6,5285.201519052848,0.48975403820028685,5185.209597498421,0.6322400763829743,5190.775646793525,0.6222032222169218,5176.614443920776,1.8363030097165998
7,5285.201519052848,0.49678277361672374,5181.3765116106,0.6004400368168717,5188.098255933359,0.6096983743002056,5180.085640528362,1.7345238902829199
8,5285.201519052848,0.4835974763831473,5188.687726714158,0.6204685152833311,5181.650866307238,0.5974280027832719,5176.288295998256,1.7860881159668982
9,5295.767243070879,0.4871343812502649,5182.356521943713,0.5941870354164469,5182.175831759396,0.6126892145829819,5178.807976956317,1.749387720133624
10,5290.889680554102,0.4895227423500425,5180.331334692457,0.6048792687501797,5185.578285945435,0.6125682618003339,5178.443417297478,1.7582640958333893
Min,5285.201519052848,0.4835974763831473,5176.631401537045,0.5941870354164469,5178.791295638886,0.5974280027832719,5175.070810721165,1.7345238902829199
Avg,5287.829806854952,0.5014203872217331,5184.956426218878,0.6285259820150289,5185.435952355367,0.6371336585383688,5179.575613530187,1.840205748403338
Max,5295.767243070879,0.518726821533346,5193.7220453003665,0.6637666840334229,5190.775646793525,0.6875715666668839,5188.29574701191,1.9550948187500277
