instance_id,seed,n_clients,mother_cost,mother_cpu_seconds,mother_iterations,hybrid_cost,hybrid_cpu_seconds,cpu_ratio,hybrid_vs_mother,improvement_percent,epochs_run
PR11A,6,360,6709.871,175.33637295896187,13162,6709.152,245.87203291698825,1.402287664377177,win,0.010715556230515474,3
PR11A,2,360,6733.715,226.53078216710128,19463,6733.715,268.62045899999794,1.1858011367384458,tie,0.0,2
PR11A,5,360,6672.748,240.04536583309527,17851,6672.748,285.9665611250093,1.1913021529598837,tie,0.0,2
PR11A,4,360,6681.358,240.04073891602457,18697,6677.277,325.95940962503664,1.357933703657985,win,0.06108039712884912,3
PR11A,1,360,6697.072,240.04015791707207,17508,6690.124,372.31108404207043,1.5510366568359562,win,0.10374683145112253,4
PR11A,3,360,6705.706,229.59752762503922,16848,6696.781,375.73405883298256,1.636490003701617,win,0.13309560544408272,4
PR11A,7,360,6743.008,150.26448837504722,12205,6738.423,246.39697158301715,1.6397551693519996,win,0.067996360081436,4
PR11A,9,360,6758.831,154.9262122910004,14427,6731.582,262.1842832909897,1.692317132226306,win,0.403161434277611,4
PR11A,8,360,6723.376,173.222531999927,14934,6690.797,326.44811870798003,1.8845592137408405,win,0.48456311234119037,4
PR11B,1,360,4849.102,128.1777065830538,10483,4847.949,250.05432604206726,1.9508410058814907,win,0.023777598408947623,4
PR11B,2,360,4837.779,179.83427804196253,14846,4816.902,258.99648829200305,1.4401953349047771,win,0.4315410025964478,3
PR11A,10,360,6731.743,217.3836649999721,17875,6730.198,324.0483769169077,1.4906749176252472,win,0.022950965299775597,4
PR11B,3,360,4839.767,207.7167417500168,18533,4831.19,329.8306568330154,1.5878867252306528,win,0.17721927522544423,4
PR11B,4,360,4844.55,175.06997908395715,15398,4843.75,274.29351662495174,1.566765004829358,win,0.016513401657536446,4
PR11B,8,360,4820.019,150.69247287500184,12459,4820.019,193.81760937499348,1.286179765168255,tie,0.0,2
PR11B,6,360,4834.547,188.5694184169406,17786,4831.688,285.67518324998673,1.514960302939145,win,0.059136874664771466,4
PR11B,7,360,4853.059,240.0149906249717,20496,4853.059,285.00809854094405,1.1874595740824998,tie,0.0,2
PR11B,5,360,4853.577,163.5748850000091,11997,4846.14,343.3647573750932,2.0991288324920667,win,0.1532271971784912,4
PR11B,9,360,4843.741,182.85749312501866,17296,4839.857,285.1761999160517,1.5595543559217357,win,0.0801859554422917,3
PR11B,10,360,4843.289,213.6279722499894,19267,4838.668,360.4818680830067,1.6874282159134457,win,0.09541037092769179,4
PR12A,1,480,8219.917,240.04609812505078,12487,8194.636,456.7123872920638,1.90260283695235,win,0.30755785003667363,4
PR12A,2,480,8238.997,240.02036254201084,12489,8229.271,408.06625237490516,1.7001318057066146,win,0.11804834981732303,4
PR12A,3,480,8243.811,240.04735975002404,12926,8232.415,413.969729708042,1.7245335676223805,win,0.13823703624450903,4
PR12A,4,480,8281.338,240.04434933303855,11983,8242.418,401.1569255000213,1.671178374390536,win,0.46997236436914025,4
PR12A,5,480,8212.208,240.03797941701487,12796,8196.006,399.44787008303683,1.6641027851225212,win,0.19729164190679455,4
PR12A,6,480,8224.238,240.0316683340352,12470,8214.72,427.3138836250873,1.7802396100102285,win,0.11573108657604546,4
PR12A,9,480,8207.332,240.0307880830951,12450,8204.262,369.22886766609736,1.5382562820994272,win,0.03740557832922695,3
PR12A,8,480,8257.901,240.02987883298192,12710,8254.048,404.9016812919872,1.6868803303180713,win,0.046658345746687396,4
PR12A,10,480,8225.769,240.0310886669904,13068,8204.59,432.09855604195036,1.8001774621846036,win,0.25747136833042705,4
PR12A,7,480,8278.462,240.03698954195715,13444,8230.634,480.2915679169819,2.0009064804282155,win,0.577740164779394,4
PR12B,1,480,6055.926,240.0392765830038,14327,6055.564,365.43934637494385,1.5224147963492867,win,0.005977615974833247,3
PR12B,2,480,6047.656,240.0411781249568,12966,6030.239,456.74787774996366,1.90278968516059,win,0.2879958780724362,4
PR12B,5,480,6045.317,240.03134774998762,14485,6045.317,306.0242984590586,1.2749347171845575,tie,0.0,2
PR12B,3,480,6057.09,240.03373237501364,12014,6043.128,426.59929699997883,1.7772472759515603,win,0.23050672847853415,4
PR12B,4,480,6062.863,240.04092320799828,13526,6037.173,420.88390508294106,1.753383962443105,win,0.42372720610709014,4
PR12B,6,480,6085.208,240.05201716697775,12960,6034.162,458.6676469169324,1.9107010735839303,win,0.8388538238955738,4
PR12B,7,480,6068.619,240.03277512500063,14792,6044.803,480.2493272079155,2.000765632767519,win,0.39244513455202584,4
PR12B,9,480,6048.85,240.03579624998383,15707,6048.85,302.9289099170128,1.2620155603855405,tie,0.0,2
PR12B,8,480,6030.682,240.02941624994855,14277,6011.056,423.9575021249475,1.7662731041409945,win,0.32543582964580464,4
PR12B,10,480,6085.913,240.0347187089501,15387,6082.91,437.096630541957,1.820972536360254,win,0.049343459231173725,4
PR13A,1,600,9652.602,240.05540216597728,9098,9607.396,471.63157679094,1.9646780390505358,win,0.4683296793962926,4
PR13A,2,600,9667.534,240.06378741702065,8529,9613.759,480.34424083307385,2.0009025351193688,win,0.55624319500712,4
PR13A,3,600,9672.864,240.06066379102413,8331,9591.794,480.3651952910004,2.0010158586796396,win,0.8381178521687032,4
PR13A,4,600,9685.793,240.03147145791445,8934,9610.564,468.55369724996854,1.9520510973167187,win,0.7766942778975285,4
PR13A,5,600,9733.996,240.04859445791226,8169,9647.412,480.37478512490634,2.0011564167234916,win,0.8895010846521709,4
PR13A,6,600,9688.941,240.09044850000646,8372,9633.635,480.57377729192376,2.001636384514109,win,0.5708157372410513,4
PR13A,7,600,9612.583,240.0748289580224,7558,9580.149,466.72524829104077,1.9440823942965244,win,0.33741191103370555,4
PR13A,8,600,9650.028,240.03918637498282,7862,9622.682,458.59412370901555,1.9104969094196647,win,0.2833774161069745,4
PR13A,9,600,9694.915,240.06268308393192,8526,9673.745,469.62464983400423,1.9562584396751566,win,0.2183618938381623,4
PR13A,10,600,9755.573,240.07042983395513,7973,9691.226,480.35269612492993,2.000882392959292,win,0.6595922146243972,4
PR13B,1,600,7289.769,240.03750012489036,9326,7264.264,461.9655644169543,1.9245558055578642,win,0.34987391232836196,4
PR13B,2,600,7274.983,240.06897845806088,9366,7274.583,425.5598059160402,1.7726563783849476,win,0.005498294635197714,4
PR13B,3,600,7309.886,240.05966758402064,9851,7296.486,465.0254854169907,1.937124591136211,win,0.18331339230188468,4
