instance_id,seed,wall_clock_T,C2_rebalanced_cost,C2_elapsed_seconds,C2_selected_source,C2_route_pool_size,C2_backbone_share,C2_vs_A,A_recorded,C2_vs_B,B_recorded,C2_vs_C1,C1_recorded
cn-cy-150c-03-V2-LOCATIONS,1,360.0,7437.002460610064,370.6908668749966,set_partitioning_recombination,229,0.7,loss,7434.562874499008,loss,7284.4281830629025,win,7449.718425183883
cn-cy-150c-03-V2-LOCATIONS,2,360.0,7460.401600286834,371.0075917500071,set_partitioning_recombination,229,0.7,loss,7454.165992751251,loss,7345.42100285654,loss,7449.321258320277
cn-cy-150c-03-V2-LOCATIONS,3,360.0,7338.942305403683,370.1148637080332,set_partitioning_recombination,282,0.7,loss,7305.309691367101,loss,7327.417959520979,loss,7312.55446884134
cn-cy-150c-03-V2-LOCATIONS,4,360.0,7306.961760646735,369.6798159580212,set_partitioning_recombination,222,0.7,loss,7302.951582527792,win,7318.716026694714,win,7319.146667895367
cn-cy-150c-03-V2-LOCATIONS,5,360.0,7440.055252324419,370.24472245795187,set_partitioning_recombination,181,0.7,loss,7434.611727469137,win,7452.03616472449,loss,7439.735896702571
cn-jjj-25c-03-V2-LOCATIONS,1,60.0,1464.352359919282,61.3167247090023,best_exact_hgs_parent,41,0.7,tie,1464.352359919282,tie,1464.352359919282,tie,1464.352359919282
cn-jjj-25c-03-V2-LOCATIONS,2,60.0,1464.352359919282,61.26513058296405,best_exact_hgs_parent,44,0.7,tie,1464.352359919282,tie,1464.352359919282,tie,1464.352359919282
cn-jjj-25c-03-V2-LOCATIONS,3,60.0,1464.352359919282,61.34075195901096,best_exact_hgs_parent,49,0.7,tie,1464.352359919282,tie,1464.352359919282,tie,1464.352359919282
cn-jjj-25c-03-V2-LOCATIONS,4,60.0,1464.352359919282,61.23459950007964,best_exact_hgs_parent,47,0.7,tie,1464.352359919282,tie,1464.352359919282,tie,1464.352359919282
cn-jjj-25c-03-V2-LOCATIONS,5,60.0,1464.352359919282,61.502257958985865,best_exact_hgs_parent,49,0.7,tie,1464.352359919282,tie,1464.352359919282,tie,1464.352359919282
cn-prd-75c-03-V2-LOCATIONS,1,180.0,3897.499527282721,184.8557297079824,best_exact_hgs_parent,143,0.7,win,3897.5029420930337,tie,3897.499527282721,tie,3897.499527282721
cn-prd-75c-03-V2-LOCATIONS,2,180.0,3897.499527282721,182.94742316706106,best_exact_hgs_parent,64,0.7,win,3897.5029420930337,tie,3897.499527282721,tie,3897.499527282721
cn-prd-75c-03-V2-LOCATIONS,3,180.0,3897.499527282721,183.08172891591676,best_exact_hgs_parent,117,0.7,tie,3897.499527282721,tie,3897.499527282721,tie,3897.499527282721
cn-prd-75c-03-V2-LOCATIONS,4,180.0,3897.499527282721,182.79865825001616,best_exact_hgs_parent,64,0.7,win,3897.5029420930337,tie,3897.499527282721,tie,3897.499527282721
cn-prd-75c-03-V2-LOCATIONS,5,180.0,3897.499527282721,182.79578491696157,best_exact_hgs_parent,88,0.7,tie,3897.499527282721,tie,3897.499527282721,tie,3897.499527282721
