instance_id,n,cv_only Best.avg.,naive_ev Best.avg.,mechanism_ev Best.avg.(复用),MV-HGS-SP Best.avg.(复用)
cn-cy-100c-01-V2-LOCATIONS,100,Best=5216.405501; Avg=5224.058937,Best=5158.272032; Avg=5161.924876,Best=5159.890356; Avg=5163.544633,Best=5158.939078; Avg=5160.556018
cn-cy-100c-02-V2-LOCATIONS,100,Best=4813.213285; Avg=4897.385739,Best=4813.213285; Avg=4873.719854,Best=4813.213285; Avg=4900.434584,Best=4813.213285; Avg=4846.040974
cn-cy-100c-03-V2-LOCATIONS,100,Best=4756.194150; Avg=4756.595420,Best=4717.562198; Avg=4717.649912,Best=4716.606653; Avg=4717.451022,Best=4716.384428; Avg=4716.944426
cn-cy-10c-01-V2-LOCATIONS,10,Best=591.032394; Avg=591.032394,Best=579.264247; Avg=579.264247,Best=575.840868; Avg=575.840868,Best=575.840868; Avg=575.840868
cn-cy-10c-02-V2-LOCATIONS,10,Best=633.835653; Avg=633.835653,Best=633.835653; Avg=633.835653,Best=633.835653; Avg=633.835653,Best=633.835653; Avg=633.835653
cn-cy-10c-03-V2-LOCATIONS,10,Best=657.882967; Avg=657.882967,Best=657.882967; Avg=657.882967,Best=657.882967; Avg=657.882967,Best=657.882967; Avg=657.882967
cn-cy-150c-01-V2-LOCATIONS,150,Best=7307.199482; Avg=7307.293136,Best=7243.046670; Avg=7245.816395,Best=7243.762686; Avg=7252.142687,Best=7242.092861; Avg=7244.973291
cn-cy-150c-02-V2-LOCATIONS,150,Best=7567.394881; Avg=7596.825211,Best=7553.972442; Avg=7557.621445,Best=7550.733238; Avg=7556.599337,Best=7550.733238; Avg=7553.821610
cn-cy-150c-03-V2-LOCATIONS,150,Best=7364.936046; Avg=7516.355539,Best=7325.976276; Avg=7425.838588,Best=7306.961761; Avg=7431.108921,Best=7191.847579; Avg=7353.206577
cn-cy-15c-01-V2-LOCATIONS,15,Best=893.346719; Avg=893.346719,Best=892.594977; Avg=892.594977,Best=892.594977; Avg=892.594977,Best=892.594977; Avg=892.594977
cn-cy-15c-02-V2-LOCATIONS,15,Best=915.457947; Avg=915.457947,Best=912.746976; Avg=912.746976,Best=912.746976; Avg=912.746976,Best=912.746976; Avg=912.746976
cn-cy-15c-03-V2-LOCATIONS,15,Best=919.050173; Avg=947.768189,Best=900.098107; Avg=900.098107,Best=900.098107; Avg=900.098107,Best=900.098107; Avg=900.098107
cn-cy-200c-01-V2-LOCATIONS,200,Best=9387.646862; Avg=9390.050845,Best=9390.193755; Avg=9425.873175,Best=9404.302475; Avg=9480.007134,Best=9387.070470; Avg=9393.114732
cn-cy-200c-02-V2-LOCATIONS,200,Best=9383.759883; Avg=9385.862700,Best=9384.025721; Avg=9384.701900,Best=9384.208226; Avg=9421.882319,Best=9383.923693; Avg=9384.245446
cn-cy-200c-03-V2-LOCATIONS,200,Best=9654.158991; Avg=9660.401799,Best=9659.735239; Avg=9663.185772,Best=9660.864690; Avg=9666.282595,Best=9660.864690; Avg=9665.746921
cn-cy-20c-01-V2-LOCATIONS,20,Best=1205.880993; Avg=1205.880993,Best=1201.926432; Avg=1201.926432,Best=1201.926432; Avg=1201.926432,Best=1201.926432; Avg=1201.926432
cn-cy-20c-02-V2-LOCATIONS,20,Best=1227.688675; Avg=1227.688675,Best=1173.870468; Avg=1174.010914,Best=1173.870468; Avg=1174.432251,Best=1173.870468; Avg=1173.870468
cn-cy-20c-03-V2-LOCATIONS,20,Best=1230.653160; Avg=1230.653160,Best=1228.651391; Avg=1228.651391,Best=1228.651391; Avg=1228.651391,Best=1228.651391; Avg=1228.651391
cn-cy-25c-01-V2-LOCATIONS,25,Best=1288.339010; Avg=1289.180581,Best=1279.639689; Avg=1279.639689,Best=1279.639689; Avg=1279.639689,Best=1279.639689; Avg=1279.639689
cn-cy-25c-02-V2-LOCATIONS,25,Best=1410.408719; Avg=1411.428641,Best=1498.304899; Avg=1498.468262,Best=1419.363826; Avg=1482.734284,Best=1410.408719; Avg=1414.077370
cn-cy-25c-03-V2-LOCATIONS,25,Best=1528.281220; Avg=1528.281220,Best=1492.961377; Avg=1514.146166,Best=1494.022026; Avg=1509.964847,Best=1494.022026; Avg=1504.441715
cn-cy-50c-01-V2-LOCATIONS,50,Best=2593.569343; Avg=2628.582887,Best=2544.082817; Avg=2544.082817,Best=2544.082817; Avg=2544.082817,Best=2544.082817; Avg=2544.082817
cn-cy-50c-02-V2-LOCATIONS,50,Best=2626.565083; Avg=2637.969159,Best=2584.290224; Avg=2584.290224,Best=2584.290224; Avg=2590.881241,Best=2584.290224; Avg=2584.290224
cn-cy-50c-03-V2-LOCATIONS,50,Best=2680.433792; Avg=2680.433792,Best=2680.333375; Avg=2680.333375,Best=2680.333375; Avg=2680.333375,Best=2680.333375; Avg=2680.333375
cn-cy-75c-01-V2-LOCATIONS,75,Best=3595.594844; Avg=3595.594844,Best=3520.315496; Avg=3520.710788,Best=3520.315496; Avg=3522.791582,Best=3520.315496; Avg=3520.315496
cn-cy-75c-02-V2-LOCATIONS,75,Best=3823.105274; Avg=3847.185429,Best=3758.481400; Avg=3758.481400,Best=3758.481400; Avg=3758.481400,Best=3758.481400; Avg=3758.481400
cn-cy-75c-03-V2-LOCATIONS,75,Best=3630.848505; Avg=3630.848505,Best=3596.242695; Avg=3597.370679,Best=3596.169814; Avg=3600.533714,Best=3596.169814; Avg=3596.762958
cn-jjj-100c-01-V2-LOCATIONS,100,Best=4916.233009; Avg=4923.646463,Best=4847.461273; Avg=4851.616130,Best=4858.214595; Avg=4861.042734,Best=4849.223905; Avg=4849.450423
cn-jjj-100c-02-V2-LOCATIONS,100,Best=4914.437865; Avg=4914.709345,Best=4913.934493; Avg=4915.181414,Best=4899.588132; Avg=4908.318703,Best=4899.588132; Avg=4908.316241
cn-jjj-100c-03-V2-LOCATIONS,100,Best=4900.404702; Avg=4901.703132,Best=4898.604558; Avg=4900.650209,Best=4897.682908; Avg=4899.109456,Best=4897.682908; Avg=4898.612161
cn-jjj-10c-01-V2-LOCATIONS,10,Best=644.346039; Avg=644.346039,Best=644.346039; Avg=644.346039,Best=644.346039; Avg=644.346039,Best=644.346039; Avg=644.346039
cn-jjj-10c-02-V2-LOCATIONS,10,Best=589.736887; Avg=589.736887,Best=589.736887; Avg=589.736887,Best=589.736887; Avg=589.736887,Best=589.736887; Avg=589.736887
cn-jjj-10c-03-V2-LOCATIONS,10,Best=601.590045; Avg=601.590045,Best=595.297240; Avg=595.297240,Best=595.297240; Avg=595.297240,Best=595.297240; Avg=595.297240
cn-jjj-150c-01-V2-LOCATIONS,150,Best=6863.373162; Avg=6866.373873,Best=6806.209332; Avg=6819.060378,Best=6806.212871; Avg=6814.651638,Best=6806.212871; Avg=6811.377225
cn-jjj-150c-02-V2-LOCATIONS,150,Best=7175.446539; Avg=7180.362652,Best=7137.434631; Avg=7155.142529,Best=7134.992541; Avg=7139.189474,Best=7134.992541; Avg=7137.625694
