seed,HGS-F_cost,HGS-F_cpu_minutes,HGS-F_status,HGS-E_cost,HGS-E_cpu_minutes,HGS-E_status,HGS-M_cost,HGS-M_cpu_minutes,HGS-M_status,MV-HGS-SP_cost,MV-HGS-SP_cpu_minutes,MV-HGS-SP_status
1,2482.447,0.20,OK,2357.499,0.49,OK,2364.049,0.28,OK,2357.499,1.02,OK
2,2481.660,0.20,OK,2358.731,0.38,OK,2358.731,0.23,OK,2358.731,0.65,OK
3,2480.060,0.21,OK,2358.731,0.36,OK,2362.121,0.25,OK,2362.121,0.62,OK
4,2473.740,0.21,OK,2357.641,0.24,OK,2364.375,0.38,OK,2357.118,1.16,OK
5,2480.060,0.26,OK,2364.049,0.32,OK,2358.731,0.27,OK,2357.118,0.70,OK
6,2480.060,0.21,OK,2364.049,0.23,OK,2364.287,0.38,OK,2357.118,1.04,OK
7,2480.060,0.20,OK,2364.049,0.28,OK,2358.731,0.26,OK,2357.118,0.98,OK
8,2481.200,0.21,OK,2357.641,0.32,OK,2357.763,0.38,OK,2357.499,0.98,OK
9,2480.060,0.19,OK,2359.195,0.41,OK,2357.641,0.28,OK,2357.641,0.58,OK
10,2480.060,0.19,OK,2358.731,0.29,OK,2365.878,0.22,OK,2357.118,0.70,OK
Min,2473.740,0.19,10/10 feasible,2357.499,0.23,10/10 feasible,2357.641,0.22,10/10 feasible,2357.118,0.58,10/10 feasible
Avg,2479.377,0.20,11/11 feasible,2359.801,0.32,11/11 feasible,2360.904,0.29,11/11 feasible,2357.836,0.82,11/11 feasible
Max,2482.447,0.26,12/12 feasible,2364.049,0.49,12/12 feasible,2365.878,0.38,12/12 feasible,2362.121,1.16,12/12 feasible
