region,date,hourly_calendar_row,time_hour,raw_source_value,carbon_intensity_gCO2_per_kWh
Beijing,2025-02-20,1,0.00,0.52420000,524.200000
Beijing,2025-02-20,2,0.50,0.52420000,524.200000
Beijing,2025-02-20,3,1.00,0.51440000,514.400000
Beijing,2025-02-20,4,1.50,0.51440000,514.400000
Beijing,2025-02-20,5,2.00,0.51980000,519.800000
Beijing,2025-02-20,6,2.50,0.51980000,519.800000
Beijing,2025-02-20,7,3.00,0.50890000,508.900000
Beijing,2025-02-20,8,3.50,0.50890000,508.900000
Beijing,2025-02-20,9,4.00,0.49550000,495.500000
Beijing,2025-02-20,10,4.50,0.49550000,495.500000
Beijing,2025-02-20,11,5.00,0.49570000,495.700000
Beijing,2025-02-20,12,5.50,0.49570000,495.700000
Beijing,2025-02-20,13,6.00,0.50470000,504.700000
Beijing,2025-02-20,14,6.50,0.50470000,504.700000
Beijing,2025-02-20,15,7.00,0.51600000,516.000000
Beijing,2025-02-20,16,7.50,0.51600000,516.000000
Beijing,2025-02-20,17,8.00,0.41860000,418.600000
Beijing,2025-02-20,18,8.50,0.41860000,418.600000
Beijing,2025-02-20,19,9.00,0.20560000,205.600000
Beijing,2025-02-20,20,9.50,0.20560000,205.600000
Beijing,2025-02-20,21,10.00,0.12990000,129.900000
Beijing,2025-02-20,22,10.50,0.12990000,129.900000
Beijing,2025-02-20,23,11.00,0.09370000,93.700000
Beijing,2025-02-20,24,11.50,0.09370000,93.700000
Beijing,2025-02-20,25,12.00,0.07210000,72.100000
Beijing,2025-02-20,26,12.50,0.07210000,72.100000
Beijing,2025-02-20,27,13.00,0.07130000,71.300000
Beijing,2025-02-20,28,13.50,0.07130000,71.300000
Beijing,2025-02-20,29,14.00,0.07710000,77.100000
Beijing,2025-02-20,30,14.50,0.07710000,77.100000
Beijing,2025-02-20,31,15.00,0.09580000,95.800000
Beijing,2025-02-20,32,15.50,0.09580000,95.800000
Beijing,2025-02-20,33,16.00,0.13010000,130.100000
Beijing,2025-02-20,34,16.50,0.13010000,130.100000
Beijing,2025-02-20,35,17.00,0.35280000,352.800000
Beijing,2025-02-20,36,17.50,0.35280000,352.800000
Beijing,2025-02-20,37,18.00,0.42220000,422.200000
Beijing,2025-02-20,38,18.50,0.42220000,422.200000
Beijing,2025-02-20,39,19.00,0.43300000,433.000000
Beijing,2025-02-20,40,19.50,0.43300000,433.000000
Beijing,2025-02-20,41,20.00,0.42480000,424.800000
Beijing,2025-02-20,42,20.50,0.42480000,424.800000
Beijing,2025-02-20,43,21.00,0.44500000,445.000000
Beijing,2025-02-20,44,21.50,0.44500000,445.000000
Beijing,2025-02-20,45,22.00,0.50960000,509.600000
Beijing,2025-02-20,46,22.50,0.50960000,509.600000
Beijing,2025-02-20,47,23.00,0.50080000,500.800000
Beijing,2025-02-20,48,23.50,0.50080000,500.800000
Guangdong,2025-02-16,1,0.00,0.45460000,454.600000
Guangdong,2025-02-16,2,0.50,0.45460000,454.600000
Guangdong,2025-02-16,3,1.00,0.44620000,446.200000
Guangdong,2025-02-16,4,1.50,0.44620000,446.200000
Guangdong,2025-02-16,5,2.00,0.45530000,455.300000
Guangdong,2025-02-16,6,2.50,0.45530000,455.300000
Guangdong,2025-02-16,7,3.00,0.46580000,465.800000
Guangdong,2025-02-16,8,3.50,0.46580000,465.800000
Guangdong,2025-02-16,9,4.00,0.46190000,461.900000
Guangdong,2025-02-16,10,4.50,0.46190000,461.900000
Guangdong,2025-02-16,11,5.00,0.44890000,448.900000
Guangdong,2025-02-16,12,5.50,0.44890000,448.900000
Guangdong,2025-02-16,13,6.00,0.44880000,448.800000
Guangdong,2025-02-16,14,6.50,0.44880000,448.800000
Guangdong,2025-02-16,15,7.00,0.45290000,452.900000
Guangdong,2025-02-16,16,7.50,0.45290000,452.900000
Guangdong,2025-02-16,17,8.00,0.39860000,398.600000
Guangdong,2025-02-16,18,8.50,0.39860000,398.600000
Guangdong,2025-02-16,19,9.00,0.28000000,280.000000
Guangdong,2025-02-16,20,9.50,0.28000000,280.000000
Guangdong,2025-02-16,21,10.00,0.15170000,151.700000
Guangdong,2025-02-16,22,10.50,0.15170000,151.700000
Guangdong,2025-02-16,23,11.00,0.13320000,133.200000
Guangdong,2025-02-16,24,11.50,0.13320000,133.200000
Guangdong,2025-02-16,25,12.00,0.11190000,111.900000
Guangdong,2025-02-16,26,12.50,0.11190000,111.900000
Guangdong,2025-02-16,27,13.00,0.11060000,110.600000
Guangdong,2025-02-16,28,13.50,0.11060000,110.600000
Guangdong,2025-02-16,29,14.00,0.11460000,114.600000
Guangdong,2025-02-16,30,14.50,0.11460000,114.600000
Guangdong,2025-02-16,31,15.00,0.12930000,129.300000
Guangdong,2025-02-16,32,15.50,0.12930000,129.300000
Guangdong,2025-02-16,33,16.00,0.27740000,277.400000
Guangdong,2025-02-16,34,16.50,0.27740000,277.400000
Guangdong,2025-02-16,35,17.00,0.28810000,288.100000
Guangdong,2025-02-16,36,17.50,0.28810000,288.100000
Guangdong,2025-02-16,37,18.00,0.26630000,266.300000
Guangdong,2025-02-16,38,18.50,0.26630000,266.300000
Guangdong,2025-02-16,39,19.00,0.26100000,261.000000
Guangdong,2025-02-16,40,19.50,0.26100000,261.000000
Guangdong,2025-02-16,41,20.00,0.26110000,261.100000
Guangdong,2025-02-16,42,20.50,0.26110000,261.100000
Guangdong,2025-02-16,43,21.00,0.26140000,261.400000
Guangdong,2025-02-16,44,21.50,0.26140000,261.400000
Guangdong,2025-02-16,45,22.00,0.26390000,263.900000
Guangdong,2025-02-16,46,22.50,0.26390000,263.900000
Guangdong,2025-02-16,47,23.00,0.27020000,270.200000
Guangdong,2025-02-16,48,23.50,0.27020000,270.200000
Chongqing,2025-02-24,1,0.00,0.30640000,306.400000
Chongqing,2025-02-24,2,0.50,0.30640000,306.400000
Chongqing,2025-02-24,3,1.00,0.31750000,317.500000
Chongqing,2025-02-24,4,1.50,0.31750000,317.500000
Chongqing,2025-02-24,5,2.00,0.32440000,324.400000
Chongqing,2025-02-24,6,2.50,0.32440000,324.400000
Chongqing,2025-02-24,7,3.00,0.33260000,332.600000
Chongqing,2025-02-24,8,3.50,0.33260000,332.600000
Chongqing,2025-02-24,9,4.00,0.33860000,338.600000
Chongqing,2025-02-24,10,4.50,0.33860000,338.600000
Chongqing,2025-02-24,11,5.00,0.34660000,346.600000
Chongqing,2025-02-24,12,5.50,0.34660000,346.600000
Chongqing,2025-02-24,13,6.00,0.30440000,304.400000
Chongqing,2025-02-24,14,6.50,0.30440000,304.400000
Chongqing,2025-02-24,15,7.00,0.06770000,67.700000
Chongqing,2025-02-24,16,7.50,0.06770000,67.700000
Chongqing,2025-02-24,17,8.00,0.27610000,276.100000
Chongqing,2025-02-24,18,8.50,0.27610000,276.100000
Chongqing,2025-02-24,19,9.00,0.23550000,235.500000
Chongqing,2025-02-24,20,9.50,0.23550000,235.500000
Chongqing,2025-02-24,21,10.00,0.21960000,219.600000
Chongqing,2025-02-24,22,10.50,0.21960000,219.600000
Chongqing,2025-02-24,23,11.00,0.17260000,172.600000
Chongqing,2025-02-24,24,11.50,0.17260000,172.600000
Chongqing,2025-02-24,25,12.00,0.14580000,145.800000
Chongqing,2025-02-24,26,12.50,0.14580000,145.800000
Chongqing,2025-02-24,27,13.00,0.14520000,145.200000
Chongqing,2025-02-24,28,13.50,0.14520000,145.200000
Chongqing,2025-02-24,29,14.00,0.14670000,146.700000
Chongqing,2025-02-24,30,14.50,0.14670000,146.700000
Chongqing,2025-02-24,31,15.00,0.15800000,158.000000
Chongqing,2025-02-24,32,15.50,0.15800000,158.000000
Chongqing,2025-02-24,33,16.00,0.17380000,173.800000
Chongqing,2025-02-24,34,16.50,0.17380000,173.800000
Chongqing,2025-02-24,35,17.00,0.23030000,230.300000
Chongqing,2025-02-24,36,17.50,0.23030000,230.300000
Chongqing,2025-02-24,37,18.00,0.00720000,7.200000
Chongqing,2025-02-24,38,18.50,0.00720000,7.200000
Chongqing,2025-02-24,39,19.00,0.00710000,7.100000
Chongqing,2025-02-24,40,19.50,0.00710000,7.100000
Chongqing,2025-02-24,41,20.00,0.00710000,7.100000
Chongqing,2025-02-24,42,20.50,0.00710000,7.100000
Chongqing,2025-02-24,43,21.00,0.00710000,7.100000
Chongqing,2025-02-24,44,21.50,0.00710000,7.100000
Chongqing,2025-02-24,45,22.00,0.01880000,18.800000
Chongqing,2025-02-24,46,22.50,0.01880000,18.800000
Chongqing,2025-02-24,47,23.00,0.05660000,56.600000
Chongqing,2025-02-24,48,23.50,0.05660000,56.600000
