instance,customer_id,shift,demand_quartile,demand_kg,geographic_owner,medium_owner,mixed_owner,restored_from_mixed,medium_differs_from_geographic,distance_to_geographic_owner_km,distance_to_medium_owner_km,distance_to_mixed_owner_km
L-main-threeshift-10c-01,C001,1,3,721.0,D0,D0,D1,1,0,37.93767560881926,37.93767560881926,68.14126017940754
L-main-threeshift-10c-01,C002,1,4,814.0,D0,D0,D0,0,0,26.798759530888734,26.798759530888734,26.798759530888734
L-main-threeshift-10c-01,C003,1,3,620.0,D1,D1,D0,1,0,37.2333412810187,37.2333412810187,57.606944059445645
L-main-threeshift-10c-01,C004,1,1,311.0,D1,D0,D0,0,1,49.55468704712547,94.39929680223524,94.39929680223524
L-main-threeshift-10c-01,C005,1,1,167.0,D0,D1,D1,0,1,13.644807152308895,73.21790955228015,73.21790955228015
L-main-threeshift-10c-01,C006,1,1,513.0,D1,D1,D1,0,0,5.091631056558502,5.091631056558502,5.091631056558502
L-main-threeshift-10c-01,C007,1,2,568.0,D1,D1,D1,0,0,12.145670331450537,12.145670331450537,12.145670331450537
L-main-threeshift-10c-01,C008,1,4,763.0,D0,D0,D0,0,0,25.627283563928504,25.627283563928504,25.627283563928504
L-main-threeshift-10c-01,C009,1,2,558.0,D1,D1,D1,0,0,9.125752737515837,9.125752737515837,9.125752737515837
L-main-threeshift-10c-01,C010,1,3,636.0,D1,D1,D1,0,0,63.24456557753358,63.24456557753358,63.24456557753358
L-main-threeshift-10c-01,C011,2,2,403.0,D1,D1,D1,0,0,57.55579606983682,57.55579606983682,57.55579606983682
L-main-threeshift-10c-01,C012,2,3,411.0,D0,D0,D0,0,0,42.76056736096119,42.76056736096119,42.76056736096119
L-main-threeshift-10c-01,C013,2,3,596.0,D1,D1,D1,0,0,39.29466776676845,39.29466776676845,39.29466776676845
L-main-threeshift-10c-01,C014,2,3,582.0,D0,D0,D0,0,0,70.44997146967556,70.44997146967556,70.44997146967556
L-main-threeshift-10c-01,C015,2,1,212.0,D1,D0,D0,0,1,48.93306127171462,69.13770645405732,69.13770645405732
L-main-threeshift-10c-01,C016,2,1,330.0,D1,D1,D1,0,0,29.578545401464748,29.578545401464748,29.578545401464748
L-main-threeshift-10c-01,C017,2,4,687.0,D0,D0,D0,0,0,18.817217726839957,18.817217726839957,18.817217726839957
L-main-threeshift-10c-01,C018,2,1,210.0,D0,D1,D1,0,1,39.38969288569029,92.08698169756123,92.08698169756123
L-main-threeshift-10c-01,C019,2,2,330.0,D1,D1,D1,0,0,40.06482228679142,40.06482228679142,40.06482228679142
L-main-threeshift-10c-01,C020,2,4,697.0,D1,D1,D1,0,0,33.72254195614625,33.72254195614625,33.72254195614625
L-main-threeshift-10c-01,C021,3,3,824.0,D1,D1,D1,0,0,62.82566317637492,62.82566317637492,62.82566317637492
L-main-threeshift-10c-01,C022,3,1,672.0,D1,D1,D1,0,0,35.82512745494579,35.82512745494579,35.82512745494579
L-main-threeshift-15c-01,C001,1,1,178.0,D0,D1,D1,0,1,47.666532417252675,67.51084845357899,67.51084845357899
L-main-threeshift-15c-01,C002,1,2,397.0,D0,D0,D1,1,0,89.04677412934451,89.04677412934451,128.28121991041132
L-main-threeshift-15c-01,C003,1,3,693.0,D0,D0,D0,0,0,97.0315114964273,97.0315114964273,97.0315114964273
L-main-threeshift-15c-01,C004,1,2,346.0,D1,D1,D0,1,0,41.30755389423323,41.30755389423323,102.96783841088438
L-main-threeshift-15c-01,C005,1,4,785.0,D1,D1,D1,0,0,35.10935792536236,35.10935792536236,35.10935792536236
L-main-threeshift-15c-01,C006,1,4,803.0,D1,D1,D1,0,0,32.20894336110846,32.20894336110846,32.20894336110846
L-main-threeshift-15c-01,C007,1,3,609.0,D0,D1,D1,0,1,48.73665282364496,55.11980153092533,55.11980153092533
L-main-threeshift-15c-01,C008,1,1,216.0,D1,D0,D0,0,1,30.653518922945178,70.34017323938006,70.34017323938006
L-main-threeshift-15c-01,C009,1,1,345.0,D0,D0,D0,0,0,58.217278239423905,58.217278239423905,58.217278239423905
L-main-threeshift-15c-01,C010,1,4,748.0,D1,D1,D1,0,0,48.597585072953834,48.597585072953834,48.597585072953834
L-main-threeshift-15c-01,C011,1,2,473.0,D0,D0,D0,0,0,25.901941210799244,25.901941210799244,25.901941210799244
L-main-threeshift-15c-01,C012,1,1,103.0,D0,D0,D0,0,0,45.10219868767042,45.10219868767042,45.10219868767042
L-main-threeshift-15c-01,C013,1,3,486.0,D1,D0,D0,0,1,29.550672098679627,94.9790600972867,94.9790600972867
L-main-threeshift-15c-01,C014,1,2,410.0,D1,D1,D1,0,0,15.5355992049061,15.5355992049061,15.5355992049061
L-main-threeshift-15c-01,C015,1,3,627.0,D0,D0,D0,0,0,98.41020007210737,98.41020007210737,98.41020007210737
L-main-threeshift-15c-01,C016,2,2,385.0,D0,D0,D0,0,0,6.315718684362058,6.315718684362058,6.315718684362058
L-main-threeshift-15c-01,C017,2,3,550.0,D1,D1,D1,0,0,47.38564330106367,47.38564330106367,47.38564330106367
L-main-threeshift-15c-01,C018,2,2,375.0,D0,D0,D0,0,0,10.38713570931371,10.38713570931371,10.38713570931371
L-main-threeshift-15c-01,C019,2,1,124.0,D1,D1,D0,1,0,7.146278714656934,7.146278714656934,78.49623294374452
L-main-threeshift-15c-01,C020,2,2,393.0,D0,D0,D0,0,0,30.216978807425473,30.216978807425473,30.216978807425473
L-main-threeshift-15c-01,C021,2,1,142.0,D0,D0,D1,1,0,45.825832662293216,45.825832662293216,48.256257833467174
L-main-threeshift-15c-01,C022,2,3,411.0,D0,D1,D1,0,1,32.88917557844982,113.17252175022027,113.17252175022027
L-main-threeshift-15c-01,C023,2,2,168.0,D1,D1,D1,0,0,35.55128352890286,35.55128352890286,35.55128352890286
L-main-threeshift-15c-01,C024,2,3,400.0,D1,D1,D1,0,0,40.005716799529075,40.005716799529075,40.005716799529075
