customer_id,owner_depot_id
C001,D1
C002,D1
C003,D1
C004,D0
C005,D0
C006,D0
C007,D1
C008,D0
C009,D1
C010,D0
C011,D0
C012,D1
C013,D1
C014,D0
C015,D1
C016,D1
C017,D0
C018,D0
C019,D0
C020,D0
C021,D1
C022,D1
C023,D0
C024,D1
C025,D1
C026,D0
C027,D0
C028,D0
C029,D1
C030,D0
C031,D1
C032,D1
C033,D0
C034,D0
C035,D0
C036,D0
C037,D1
C038,D1
C039,D0
C040,D0
C041,D1
C042,D0
C043,D0
C044,D1
C045,D0
C046,D1
C047,D1
C048,D1
C049,D1
C050,D0
C051,D0
C052,D0
C053,D1
C054,D1
C055,D0
