cross_site_customers,physical_vehicles,search_cost,seed,setting,strict_cooperation_win,total_cost
0,14,7047.480862104309,1,各自经营,False,7047.480862104309
4,14,6868.542497067367,1,允许合作,True,6868.542497067367
4,14,6868.542497067367,1,合作并择低碳时段充电,True,6868.542497067367
2,14,6881.299599739973,1,合作、择时充电且双方不吃亏,True,6881.299599739973
0,14,6230.227847813536,2,各自经营,False,6230.227847813536
4,14,7058.220428338569,2,允许合作,False,6230.227847813536
3,14,6794.975458161875,2,合作并择低碳时段充电,False,6230.227847813536
2,14,6085.795694225232,2,合作、择时充电且双方不吃亏,True,6085.795694225232
0,14,6211.496080961988,3,各自经营,False,6211.496080961988
1,14,7068.407944395445,3,允许合作,False,6211.496080961988
1,14,7068.407944395445,3,合作并择低碳时段充电,False,6211.496080961988
0,14,6278.341799991942,3,合作、择时充电且双方不吃亏,False,6278.341799991942
0,14,6281.392066098942,4,各自经营,False,6281.392066098942
3,14,7024.216941075316,4,允许合作,False,6281.392066098942
3,14,7024.216941075316,4,合作并择低碳时段充电,False,6281.392066098942
0,14,6160.3610736755245,4,合作、择时充电且双方不吃亏,False,6160.3610736755245
0,14,6304.171565809443,5,各自经营,False,6304.171565809443
2,14,6723.056230375893,5,允许合作,False,6304.171565809443
4,14,6638.719313954354,5,合作并择低碳时段充电,False,6304.171565809443
5,14,5968.240153720484,5,合作、择时充电且双方不吃亏,True,5968.240153720484
