run_id,size,instance,layer,seed,fee,budget
E3__200c__M0__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,1,0.0,4000
E3__200c__M1__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,1,0.0,4000
E3__200c__M2__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,1,0.0,4000
E3__200c__M3__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,1,0.0,4000
E3__200c__M4__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,1,0.0,4000
E3__200c__M5__seed1__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,1,0.0,4000
E3__100c__M0__seed1__fee0__eval4000,100c,L-main-threeshift-100c-01,M0,1,0.0,4000
E3__100c__M1__seed1__fee0__eval4000,100c,L-main-threeshift-100c-01,M1,1,0.0,4000
E3__100c__M3__seed1__fee0__eval4000,100c,L-main-threeshift-100c-01,M3,1,0.0,4000
E3__100c__M5__seed1__fee0__eval4000,100c,L-main-threeshift-100c-01,M5,1,0.0,4000
E3__200c__M5__seed1__fee10__eval4000,200c,L-main-threeshift-200c-01,M5,1,10.0,4000
E3__200c__M5__seed1__fee25__eval4000,200c,L-main-threeshift-200c-01,M5,1,25.0,4000
E3__200c__M5__seed1__fee50__eval4000,200c,L-main-threeshift-200c-01,M5,1,50.0,4000
E3__200c__M5__seed1__fee95__eval4000,200c,L-main-threeshift-200c-01,M5,1,95.0,4000
E3__200c__M0__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,2,0.0,4000
E3__200c__M1__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,2,0.0,4000
E3__200c__M2__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,2,0.0,4000
E3__200c__M3__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,2,0.0,4000
E3__200c__M4__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,2,0.0,4000
E3__200c__M5__seed2__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,2,0.0,4000
E3__100c__M0__seed2__fee0__eval4000,100c,L-main-threeshift-100c-01,M0,2,0.0,4000
E3__100c__M1__seed2__fee0__eval4000,100c,L-main-threeshift-100c-01,M1,2,0.0,4000
E3__100c__M3__seed2__fee0__eval4000,100c,L-main-threeshift-100c-01,M3,2,0.0,4000
E3__100c__M5__seed2__fee0__eval4000,100c,L-main-threeshift-100c-01,M5,2,0.0,4000
E3__200c__M5__seed2__fee10__eval4000,200c,L-main-threeshift-200c-01,M5,2,10.0,4000
E3__200c__M5__seed2__fee25__eval4000,200c,L-main-threeshift-200c-01,M5,2,25.0,4000
E3__200c__M5__seed2__fee50__eval4000,200c,L-main-threeshift-200c-01,M5,2,50.0,4000
E3__200c__M5__seed2__fee95__eval4000,200c,L-main-threeshift-200c-01,M5,2,95.0,4000
E3__200c__M0__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,3,0.0,4000
E3__200c__M1__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,3,0.0,4000
E3__200c__M2__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,3,0.0,4000
E3__200c__M3__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,3,0.0,4000
E3__200c__M4__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,3,0.0,4000
E3__200c__M5__seed3__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,3,0.0,4000
E3__100c__M0__seed3__fee0__eval4000,100c,L-main-threeshift-100c-01,M0,3,0.0,4000
E3__100c__M1__seed3__fee0__eval4000,100c,L-main-threeshift-100c-01,M1,3,0.0,4000
E3__100c__M3__seed3__fee0__eval4000,100c,L-main-threeshift-100c-01,M3,3,0.0,4000
E3__100c__M5__seed3__fee0__eval4000,100c,L-main-threeshift-100c-01,M5,3,0.0,4000
E3__200c__M5__seed3__fee10__eval4000,200c,L-main-threeshift-200c-01,M5,3,10.0,4000
