run_id,size,instance,layer,seed,fee,budget
E3__200c__M0__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,6,0.0,4000
E3__200c__M1__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,6,0.0,4000
E3__200c__M2__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,6,0.0,4000
E3__200c__M3__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,6,0.0,4000
E3__200c__M4__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,6,0.0,4000
E3__200c__M5__seed6__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,6,0.0,4000
E3__200c__M0__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,7,0.0,4000
E3__200c__M1__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,7,0.0,4000
E3__200c__M2__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,7,0.0,4000
E3__200c__M3__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,7,0.0,4000
E3__200c__M4__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,7,0.0,4000
E3__200c__M5__seed7__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,7,0.0,4000
E3__200c__M0__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,8,0.0,4000
E3__200c__M1__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,8,0.0,4000
E3__200c__M2__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,8,0.0,4000
E3__200c__M3__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,8,0.0,4000
E3__200c__M4__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,8,0.0,4000
E3__200c__M5__seed8__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,8,0.0,4000
E3__200c__M0__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,9,0.0,4000
E3__200c__M1__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,9,0.0,4000
E3__200c__M2__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,9,0.0,4000
E3__200c__M3__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,9,0.0,4000
E3__200c__M4__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,9,0.0,4000
E3__200c__M5__seed9__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,9,0.0,4000
E3__200c__M0__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M0,10,0.0,4000
E3__200c__M1__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M1,10,0.0,4000
E3__200c__M2__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M2,10,0.0,4000
E3__200c__M3__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M3,10,0.0,4000
E3__200c__M4__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M4,10,0.0,4000
E3__200c__M5__seed10__fee0__eval4000,200c,L-main-threeshift-200c-01,M5,10,0.0,4000
