arm,slot,slot_start_hour,energy_kwh,carbon_gco2_per_kwh
aware,0,0.0,0.0,59.0
aware,1,0.5,0.0,58.333333333333336
aware,2,1.0,0.0,56.611111111111114
aware,3,1.5,0.0,54.55555555555556
aware,4,2.0,0.0,52.44444444444444
aware,5,2.5,7.426909696750491,49.611111111111114
aware,6,3.0,22.0,49.05555555555556
aware,7,3.5,43.09720152002566,47.5
aware,8,4.0,70.27969293596726,51.5
aware,9,4.5,185.2166250297154,53.5
aware,10,5.0,254.74689916637618,55.111111111111114
aware,11,5.5,297.0,57.388888888888886
aware,12,6.0,297.0,64.05555555555556
aware,13,6.5,297.0,67.38888888888889
aware,14,7.0,297.0,74.11111111111111
aware,15,7.5,291.49489849904273,80.61111111111111
aware,16,8.0,273.00911731920405,79.27777777777777
aware,17,8.5,260.59724358676795,76.94444444444444
aware,18,9.0,220.5531661124363,76.77777777777777
aware,19,9.5,180.2531249730529,75.88888888888889
aware,20,10.0,132.78305338417545,77.55555555555556
aware,21,10.5,99.97384818816722,80.83333333333333
aware,22,11.0,89.51397888097367,85.55555555555556
aware,23,11.5,80.2620489818573,90.33333333333333
aware,24,12.0,61.520781228798064,98.27777777777777
aware,25,12.5,41.052759954480635,111.44444444444444
aware,26,13.0,33.0,124.27777777777777
aware,27,13.5,30.57738210979383,140.05555555555554
aware,28,14.0,14.935532016518106,157.33333333333334
aware,29,14.5,11.0,172.44444444444446
aware,30,15.0,11.0,184.16666666666666
aware,31,15.5,11.0,188.61111111111111
aware,32,16.0,11.0,187.94444444444446
aware,33,16.5,11.0,188.94444444444446
aware,34,17.0,11.0,184.44444444444446
aware,35,17.5,9.89901599244896,184.72222222222223
aware,36,18.0,0.0,181.72222222222223
aware,37,18.5,0.0,179.88888888888889
aware,38,19.0,0.0,174.44444444444446
aware,39,19.5,0.0,166.38888888888889
aware,40,20.0,0.0,154.66666666666666
aware,41,20.5,0.0,147.83333333333334
aware,42,21.0,0.0,134.33333333333334
aware,43,21.5,0.0,119.88888888888889
aware,44,22.0,0.0,103.05555555555556
aware,45,22.5,0.0,80.77777777777777
aware,46,23.0,0.0,75.55555555555556
aware,47,23.5,0.0,69.88888888888889
immediate,0,0.0,0.0,59.0
immediate,1,0.5,0.0,58.333333333333336
immediate,2,1.0,0.0,56.611111111111114
immediate,3,1.5,0.0,54.55555555555556
immediate,4,2.0,0.0,52.44444444444444
immediate,5,2.5,7.426909696750491,49.611111111111114
immediate,6,3.0,22.0,49.05555555555556
immediate,7,3.5,43.09720152002566,47.5
immediate,8,4.0,70.27969293596726,51.5
immediate,9,4.5,185.2166250297154,53.5
immediate,10,5.0,254.74689916637618,55.111111111111114
immediate,11,5.5,297.0,57.388888888888886
immediate,12,6.0,297.0,64.05555555555556
immediate,13,6.5,297.0,67.38888888888889
immediate,14,7.0,297.0,74.11111111111111
immediate,15,7.5,291.49489849904273,80.61111111111111
immediate,16,8.0,273.00911731920405,79.27777777777777
immediate,17,8.5,260.59724358676795,76.94444444444444
immediate,18,9.0,220.5531661124363,76.77777777777777
immediate,19,9.5,180.2531249730529,75.88888888888889
immediate,20,10.0,132.78305338417545,77.55555555555556
immediate,21,10.5,99.97384818816722,80.83333333333333
immediate,22,11.0,89.51397888097367,85.55555555555556
immediate,23,11.5,80.2620489818573,90.33333333333333
immediate,24,12.0,61.520781228798064,98.27777777777777
immediate,25,12.5,41.052759954480635,111.44444444444444
immediate,26,13.0,33.0,124.27777777777777
immediate,27,13.5,30.57738210979383,140.05555555555554
immediate,28,14.0,14.935532016518106,157.33333333333334
immediate,29,14.5,11.0,172.44444444444446
immediate,30,15.0,11.0,184.16666666666666
immediate,31,15.5,11.0,188.61111111111111
immediate,32,16.0,11.0,187.94444444444446
immediate,33,16.5,11.0,188.94444444444446
immediate,34,17.0,11.0,184.44444444444446
immediate,35,17.5,9.89901599244896,184.72222222222223
immediate,36,18.0,0.0,181.72222222222223
immediate,37,18.5,0.0,179.88888888888889
immediate,38,19.0,0.0,174.44444444444446
immediate,39,19.5,0.0,166.38888888888889
immediate,40,20.0,0.0,154.66666666666666
immediate,41,20.5,0.0,147.83333333333334
immediate,42,21.0,0.0,134.33333333333334
immediate,43,21.5,0.0,119.88888888888889
immediate,44,22.0,0.0,103.05555555555556
immediate,45,22.5,0.0,80.77777777777777
immediate,46,23.0,0.0,75.55555555555556
immediate,47,23.5,0.0,69.88888888888889
