slot,start_time,end_time,tariff_band,electricity_yuan_per_kWh
1,00:00,00:30,valley,
2,00:30,01:00,valley,
3,01:00,01:30,valley,
4,01:30,02:00,valley,
5,02:00,02:30,valley,
6,02:30,03:00,valley,
7,03:00,03:30,valley,
8,03:30,04:00,valley,
9,04:00,04:30,valley,
10,04:30,05:00,valley,
11,05:00,05:30,valley,
12,05:30,06:00,valley,
13,06:00,06:30,valley,
14,06:30,07:00,valley,
15,07:00,07:30,valley,
16,07:30,08:00,valley,
17,08:00,08:30,flat,
18,08:30,09:00,flat,
19,09:00,09:30,flat,
20,09:30,10:00,flat,
21,10:00,10:30,peak,
22,10:30,11:00,peak,
23,11:00,11:30,sharp_peak,
24,11:30,12:00,sharp_peak,
25,12:00,12:30,flat,
26,12:30,13:00,flat,
27,13:00,13:30,flat,
28,13:30,14:00,flat,
29,14:00,14:30,peak,
30,14:30,15:00,peak,
31,15:00,15:30,sharp_peak,
32,15:30,16:00,sharp_peak,
33,16:00,16:30,sharp_peak,
34,16:30,17:00,sharp_peak,
35,17:00,17:30,peak,
36,17:30,18:00,peak,
37,18:00,18:30,peak,
38,18:30,19:00,peak,
39,19:00,19:30,flat,
40,19:30,20:00,flat,
41,20:00,20:30,flat,
42,20:30,21:00,flat,
43,21:00,21:30,flat,
44,21:30,22:00,flat,
45,22:00,22:30,flat,
46,22:30,23:00,flat,
47,23:00,23:30,flat,
48,23:30,00:00,flat,
