run_id,check,scope,observed,expected,search_evaluations,status
shape,source_rows,all,17520,17520,0,PASS
shape,source_dates,all,365,365,0,PASS
conservation,slots_per_day,each_date,48,48,0,PASS
conservation,duplicated_half_hour_pairs,all,8760,8760,0,PASS
metrics,daily_metrics,each_region,365,365,0,PASS
selection,selected_rows,all_regions,36,36,0,PASS
selection,rows_per_region,Beijing|Guangdong|Chongqing,12,12,0,PASS
selection,rows_per_quarter_rule,each_region_quarter_rule,1,1,0,PASS
replay,selection_rule_replay,all_regions,36,36,0,PASS
blindness,optimization_result_files_read,all,0,0,0,PASS
