quarter,selection_rule,date,day_index,daily_mean_tCO2_per_MWh,intraday_range_tCO2_per_MWh,daily_min_tCO2_per_MWh,daily_max_tCO2_per_MWh,result_blind_selection
1,median_daily_mean,2025-02-17,48,0.42708750,0.14630000,0.34240000,0.48870000,1
1,maximum_intraday_range,2025-02-08,39,0.42010417,0.47070000,0.17940000,0.65010000,1
1,minimum_intraday_range,2025-02-23,54,0.44601250,0.04660000,0.42100000,0.46760000,1
2,median_daily_mean,2025-06-03,154,0.44090833,0.16680000,0.35890000,0.52570000,1
2,maximum_intraday_range,2025-05-01,121,0.40442500,0.31400000,0.18520000,0.49920000,1
2,minimum_intraday_range,2025-04-24,114,0.46197500,0.04080000,0.43890000,0.47970000,1
3,median_daily_mean,2025-07-20,201,0.48614583,0.07160000,0.43660000,0.50820000,1
3,maximum_intraday_range,2025-09-02,245,0.46947500,0.17810000,0.38900000,0.56710000,1
3,minimum_intraday_range,2025-09-13,256,0.51220000,0.04960000,0.48510000,0.53470000,1
4,median_daily_mean,2025-11-24,328,0.44564583,0.14230000,0.37410000,0.51640000,1
4,maximum_intraday_range,2025-10-04,277,0.42479167,0.27790000,0.29790000,0.57580000,1
4,minimum_intraday_range,2025-11-23,327,0.46526250,0.03540000,0.44650000,0.48190000,1
