instance,condition,arm,seed,operating_day,curve,curve_role,nonlinear_feasible,fixed_start_feasible,linear_early_actual_kg,linear_carbon_actual_kg,linear_saving_kg,nl_early_actual_kg,nl_carbon_actual_kg,nl_saving_kg,nl_saving_pct,total_operational_reduction_pct,fixed_start_regret_kg,direction_reversal,infeasible_nl_early_actions,infeasible_nl_carbon_actions,infeasible_fixed_start_actions,exact_capacity_excess,half_hour_capacity_excess
L-main-threeshift-50c-01,mixed,reassignment_allowed,1,2025-11-19,NL80_stress,secondary_stress,True,False,172.25876213038006,171.07476429151137,1.1839978388686916,172.10043881974022,173.61606973938163,-1.51563091964141,-0.8806665049988033,-0.11189526143155576,,True,0,0,1,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,1,2025-11-28,NL80_stress,secondary_stress,True,True,488.9589077487251,489.4030242955808,-0.444116546855696,488.8530197728685,487.4308143206558,1.4222054522126655,0.2909270056004671,0.01940434479369863,1.9846115562577324,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,2,2025-11-28,NL80_stress,secondary_stress,True,True,488.9589077487251,489.4030242955808,-0.444116546855696,488.8530197728685,487.4308143206558,1.4222054522126655,0.2909270056004671,0.01940434479369863,1.9846115562577324,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,3,2025-11-28,NL80_stress,secondary_stress,True,True,488.9589077487251,489.4030242955808,-0.444116546855696,488.8530197728685,487.4308143206558,1.4222054522126655,0.2909270056004671,0.01940434479369863,1.9846115562577324,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,reassignment_allowed,3,2025-11-28,NL80_stress,secondary_stress,True,True,491.7549133333256,492.14186831066024,-0.38695497733465345,491.5855438428269,490.8099044305337,0.7756394122931738,0.1577832021319908,0.01474301875942614,1.2565004428474822,True,0,0,0,0,0
L-main-threeshift-20c-01,geographic,reassignment_allowed,1,2025-11-19,NL80_stress,secondary_stress,True,False,79.83880526228789,77.76134389839989,2.0774613638880055,79.76348121017362,80.40125750426658,-0.6377762940929586,-0.7995843265822905,-0.17184365589979042,,True,0,0,1,0,0
L-main-threeshift-20c-01,mixed,reassignment_allowed,1,2025-11-19,NL80_stress,secondary_stress,True,False,79.06799837895643,76.8156709886049,2.252327390351539,79.07339469641636,79.52578072669985,-0.4523860302834919,-0.5721090286060455,-0.12632290778094504,,True,0,0,1,0,0
L-main-threeshift-10c-01,mixed,ownership_fixed,3,2025-11-19,NL80_stress,secondary_stress,True,False,74.31435404438949,71.87445300144323,2.4399010429462606,74.1418510958759,74.39626144723702,-0.25441035136113044,-0.3431400047351689,-0.09560901194738992,,True,0,0,1,0,0
L-main-threeshift-50c-01,geographic,ownership_fixed,3,2025-11-16,NL80_stress,secondary_stress,True,True,91.06234911699235,91.07344799023932,-0.011098873246965013,91.06234911699235,90.81052563077387,0.25182348621848405,0.27653963318577895,0.035074477002043185,0.26292235946544906,True,0,0,0,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,2,2025-11-06,NL80_stress,secondary_stress,True,True,226.63320006108066,226.639889082676,-0.006689021595349232,227.34291671007537,227.13225607463374,0.21066063544162716,0.09266206244299985,0.01084135834204687,0.2173496570369764,True,0,0,0,0,0
L-main-threeshift-50c-01,geographic,reassignment_allowed,1,2025-11-09,NL80_stress,secondary_stress,True,True,101.97867085046107,101.99989524924547,-0.021224398784397636,102.05675134700945,101.87661373987675,0.180137607132707,0.17650729104653742,0.021045017505089785,0.2593663753698223,True,0,0,0,0,0
L-main-threeshift-100c-01,geographic,reassignment_allowed,1,2025-11-09,NL80_stress,secondary_stress,True,True,306.21205533303413,306.4759815401368,-0.26392620710265646,306.9021992646709,306.79524667172075,0.10695259295016513,0.03484908000217025,0.005063916795716921,0.5276626721586126,True,0,0,0,0,0
L-main-threeshift-150c-01,geographic,ownership_fixed,1,2025-11-06,NL80_stress,secondary_stress,True,True,440.2352708402674,440.4324405191504,-0.1971696788830286,440.3231219562736,440.2221732570171,0.10094869925649164,0.022926050035254875,0.00338565470008664,0.29811837813952025,True,0,0,0,0,0
L-main-threeshift-25c-01,mixed,reassignment_allowed,3,2025-11-28,NL80_stress,secondary_stress,True,True,29.003310995674706,29.220947004855294,-0.21763600918058756,28.995894533760424,28.92152808591241,0.07436644784801416,0.2564723352867352,0.022460638724885906,0.28483538085716376,True,0,0,0,0,0
L-main-threeshift-25c-01,mixed,ownership_fixed,3,2025-11-03,NL80_stress,secondary_stress,True,True,39.86561056914638,39.954661849099324,-0.08905127995294748,40.063304259337656,40.03135553929061,0.03194872004704763,0.07974559422317559,0.006699603585249757,0.28026216058607645,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,1,2025-11-02,NL80_stress,secondary_stress,True,True,303.577203606577,303.5862460381489,-0.009042431571913312,304.5822020258276,304.5517636780158,0.030438347811809763,0.009993475524623296,0.0004260064635239944,0.26860117767347447,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,2,2025-11-02,NL80_stress,secondary_stress,True,True,303.577203606577,303.5862460381489,-0.009042431571913312,304.5822020258276,304.5517636780158,0.030438347811809763,0.009993475524623296,0.0004260064635239944,0.26860117767347447,True,0,0,0,0,0
L-main-threeshift-200c-01,mixed,ownership_fixed,3,2025-11-02,NL80_stress,secondary_stress,True,True,303.577203606577,303.5862460381489,-0.009042431571913312,304.5822020258276,304.5517636780158,0.030438347811809763,0.009993475524623296,0.0004260064635239944,0.26860117767347447,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,ownership_fixed,3,2025-11-19,NL80_stress,secondary_stress,True,False,96.46446237487388,93.80014746469864,2.6643149101752357,96.29001380865924,96.31877604916201,-0.028762240502771874,-0.029870429305292427,-0.004901142959353846,,True,0,0,1,0,0
L-main-threeshift-20c-01,mixed,ownership_fixed,2,2025-11-19,NL80_stress,secondary_stress,True,False,108.09850341300854,102.71845940039405,5.380044012614491,107.80590598723737,107.82554899946368,-0.01964301222631093,-0.01822071995632259,-0.002983687313055778,,True,0,0,2,0,0
L-main-threeshift-10c-01,geographic,ownership_fixed,1,2025-11-19,NL80_stress,secondary_stress,True,True,59.46434812852034,59.66769917274817,-0.2033510442278299,59.46434812852034,59.44625542055289,0.018092707967454658,0.030426143625338117,0.011826276587935778,0.22144375219529167,True,0,0,0,0,0
L-main-threeshift-10c-01,geographic,ownership_fixed,3,2025-11-19,NL80_stress,secondary_stress,True,True,46.49877281860054,46.70212386282838,-0.203351044227837,46.49877281860055,46.480680110633095,0.018092707967454658,0.03891007626811426,0.010698232868512876,0.22144375219528456,True,0,0,0,0,0
L-main-threeshift-20c-01,geographic,reassignment_allowed,1,2025-11-28,NL80_stress,secondary_stress,True,True,36.36460033628788,36.42108815123903,-0.05648781495115429,36.340775230967246,36.32715091454063,0.013624316426614769,0.03749043970587895,0.004157369630581028,0.08742489467936565,True,0,0,0,0,0
L-main-threeshift-10c-01,mixed,ownership_fixed,3,2025-11-04,NL80_stress,secondary_stress,True,True,27.304938725625465,27.26695888561087,0.03797984001459653,27.326687251368664,27.33701585714786,-0.01032860577919692,-0.03779677237927773,-0.004710249733688757,-0.0319491629348434,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,reassignment_allowed,2,2025-11-02,NL80_stress,secondary_stress,True,True,24.033634782645255,24.20011468504966,-0.16647990240440436,24.55278237010179,24.543051893921323,0.009730476180468628,0.03963084930169683,0.003317332649207721,0.5448097754490071,True,0,0,0,0,0
L-main-threeshift-75c-01,mixed,ownership_fixed,1,2025-11-28,NL80_stress,secondary_stress,True,True,188.8350882122187,189.16260811615717,-0.3275199039384802,188.84416644471463,188.84178253818374,0.0023839065308948193,0.0012623670488612756,8.298756995748551e-05,0.3559809525997082,True,0,0,0,0,0
L-main-threeshift-75c-01,mixed,ownership_fixed,2,2025-11-28,NL80_stress,secondary_stress,True,True,188.8350882122187,189.16260811615717,-0.3275199039384802,188.84416644471463,188.84178253818374,0.0023839065308948193,0.0012623670488612756,8.298756995748551e-05,0.3559809525997082,True,0,0,0,0,0
L-main-threeshift-75c-01,mixed,ownership_fixed,3,2025-11-28,NL80_stress,secondary_stress,True,True,188.8350882122187,189.16260811615717,-0.3275199039384802,188.84416644471463,188.84178253818374,0.0023839065308948193,0.0012623670488612756,8.298756995748551e-05,0.3559809525997082,True,0,0,0,0,0
L-main-threeshift-50c-01,mixed,reassignment_allowed,1,2025-11-19,NL90_mild,primary,True,False,172.25876213038006,171.07476429151137,1.1839978388686916,172.25513337187,173.77076429151137,-1.5156309196413815,-0.8798756182025578,-0.11188248365301326,,True,0,0,1,0,0
L-main-threeshift-20c-01,geographic,reassignment_allowed,1,2025-11-19,NL90_mild,primary,True,False,79.83880526228789,77.76134389839989,2.0774613638880055,79.81956760430694,80.4573438983999,-0.6377762940929586,-0.7990224868852147,-0.1718176907681793,,True,0,0,1,0,0
L-main-threeshift-20c-01,mixed,reassignment_allowed,1,2025-11-19,NL90_mild,primary,True,False,79.06799837895643,76.8156709886049,2.252327390351539,79.0699760112314,79.5223620415149,-0.4523860302834919,-0.5721337644256187,-0.12632411370039098,,True,0,0,1,0,0
L-main-threeshift-10c-01,mixed,ownership_fixed,3,2025-11-19,NL90_mild,primary,True,False,74.31435404438949,71.87445300144323,2.4399010429462606,74.3113540443895,74.56576439575063,-0.25441035136113044,-0.3423573081566509,-0.09554814751434662,,True,0,0,1,0,0
L-main-threeshift-50c-01,geographic,ownership_fixed,3,2025-11-16,NL90_mild,primary,True,True,91.06234911699235,91.07344799023932,-0.011098873246965013,91.06234911699235,90.81052563077387,0.25182348621848405,0.27653963318577895,0.035074477002043185,0.26292235946544906,True,0,0,0,0,0
L-main-threeshift-100c-01,geographic,ownership_fixed,2,2025-11-06,NL90_mild,primary,True,True,226.63320006108066,226.639889082676,-0.006689021595349232,226.69788428910582,226.4872236536642,0.21066063544162716,0.09292571745970664,0.010844958402089534,0.2173496570369764,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,ownership_fixed,1,2025-11-10,NL90_mild,primary,True,True,70.20927913038246,70.26547780513356,-0.05619867475110141,70.34017049108677,70.18136983640012,0.15880065468664384,0.22576097495636074,0.030064837502700108,0.23979551974419167,True,0,0,0,0,0
L-main-threeshift-150c-01,geographic,ownership_fixed,1,2025-11-06,NL90_mild,primary,True,True,440.2352708402674,440.4324405191504,-0.1971696788830286,440.2352708402674,440.1343221410109,0.10094869925649164,0.022930625041426844,0.0033857544573845707,0.29811837813952025,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,ownership_fixed,3,2025-11-19,NL90_mild,primary,True,False,96.46446237487388,93.80014746469864,2.6643149101752357,96.46146237487389,96.49022461537666,-0.028762240502771874,-0.02981733823502951,-0.004899711499990502,,True,0,0,1,0,0
L-main-threeshift-15c-01,geographic,ownership_fixed,2,2025-11-02,NL90_mild,primary,True,True,21.88659703503785,21.92669485772019,-0.04009782268234119,21.886597035037838,21.861899481734795,0.02469755330304224,0.11284327693110262,0.009472221762174472,0.06479537598539409,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,ownership_fixed,2,2025-11-19,NL90_mild,primary,True,False,108.09850341300854,102.71845940039405,5.380044012614491,108.08334783480822,108.10299084703453,-0.01964301222631093,-0.018173948734760508,-0.00298243045129437,,True,0,0,2,0,0
L-main-threeshift-10c-01,geographic,ownership_fixed,1,2025-11-19,NL90_mild,primary,True,True,59.46434812852034,59.66769917274817,-0.2033510442278299,59.46434812852034,59.44625542055289,0.018092707967454658,0.030426143625338117,0.011826276587935778,0.22144375219529167,True,0,0,0,0,0
L-main-threeshift-10c-01,geographic,ownership_fixed,3,2025-11-19,NL90_mild,primary,True,True,46.49877281860054,46.70212386282838,-0.203351044227837,46.49877281860055,46.480680110633095,0.018092707967454658,0.03891007626811426,0.010698232868512876,0.22144375219528456,True,0,0,0,0,0
L-main-threeshift-20c-01,mixed,reassignment_allowed,1,2025-11-04,NL90_mild,primary,True,True,28.82315865742877,28.88698918243858,-0.06383052500980924,28.85123181615874,28.845466814713554,0.005765001445187323,0.019981820817641875,0.0018723823221378265,0.052522367725025276,True,0,0,0,0,0
