cap_cv,cap_ev,common_start_canonical_sha256,common_start_sha256,condition,customer_count,depot_id,distance_matrix_max_abs_error,global_cap_cv,global_cap_ev,instance,ownership_sha256,status,subbundle_carbon_sha256,subbundle_instance_sha256,subbundle_matrix_sha256
1,1,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,geographic,8,D0,0.0,2,2,L-main-threeshift-10c-01,6a763f89d6874d377eb90928a7823f670854bc600dfe7849598c1393c267594f,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,bb9c062150d1d080baaddfdd303bf502ce18b536858285d0c92d101bf2217f55,9a5b6daf28ccdcdcc99dce99dc1b7afcddcacfb94419b83531837c35a1df9c57
1,1,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,geographic,14,D1,0.0,2,2,L-main-threeshift-10c-01,6a763f89d6874d377eb90928a7823f670854bc600dfe7849598c1393c267594f,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,a59b8e8694a4db8e4371e9b1d8f3f767ce2168fec695b6dbba0df6beeed2e788,5aa101cf02a8cd0e06e3c5225d4e53802b0a61eb1cda0d52aab5f5ff44690ae2
1,1,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,mixed,8,D0,0.0,2,2,L-main-threeshift-10c-01,6839a2a879e610b4a958140bb8753bdee40d4c3c42463f25b07800e633b8d733,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,9ccbe358354a6db570777a53563b6be9ba0ddfd23366529cbb7640d8c3576efc,50e01609deb077f03eb72a6420cddbc5f49bf8f15c0cb353182c8bf19a190f59
1,1,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,mixed,14,D1,0.0,2,2,L-main-threeshift-10c-01,6839a2a879e610b4a958140bb8753bdee40d4c3c42463f25b07800e633b8d733,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,32ace6e0d2832c61c1396b32202b08128815cfb73c0af3c40007923266edd688,c2987c8f859b5e621be6c9fee7649961432e1446b8a5b69c523b9558d2a41444
1,1,d96015dbaf10352c4f44e4e3c0440a93c16c6eed12c83bd8561f20d6bad85710,d96015dbaf10352c4f44e4e3c0440a93c16c6eed12c83bd8561f20d6bad85710,geographic,19,D0,0.0,2,2,L-main-threeshift-15c-01,f631b4140833e25b0b9773523e222f8b56a4d3fae14a474bcf66b002c59a7872,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,43039b497eecf0d985fa5dc52fae04eaff6d9765120ee3b1bc384a8f661cae74,84c24d384a3c59eb529e514d7962eb05d1bd155eb688f44809feb5d85027d2ca
1,1,d96015dbaf10352c4f44e4e3c0440a93c16c6eed12c83bd8561f20d6bad85710,d96015dbaf10352c4f44e4e3c0440a93c16c6eed12c83bd8561f20d6bad85710,geographic,15,D1,0.0,2,2,L-main-threeshift-15c-01,f631b4140833e25b0b9773523e222f8b56a4d3fae14a474bcf66b002c59a7872,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,d0d5c6beb57b2bd0a10333968ff5cf69c5b1f1d03e1d9cd688670be3b57fb775,127a48e6efc88a86ec5b86daf292e479ddf566e2910871a2f4aa34768deb6ac1
1,1,d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,mixed,19,D0,0.0,2,2,L-main-threeshift-15c-01,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,996fc9e4eb996a4ac05e3a026483d4abf9fac995e579573333c994f65d41b8ce,c37116a5854b3b0303b6e24a869b1af0da8ad51cd48e8ebc4c7dd2f5ec1251f5
1,1,d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,d6a67b21a7fa01b2f005fbd481cf06dc1f26509c7bd2a20d2b7b1fee5aabb4d9,mixed,15,D1,0.0,2,2,L-main-threeshift-15c-01,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,25a66c2802323d15f4203b6c3824c78bdd7db55af1b2507ba361860d674c9647,ee1757187c8f40fa7db0877f0a3411a20121275bd7ce0accb9b958a7aff2d06e
2,1,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,geographic,27,D0,0.0,3,2,L-main-threeshift-20c-01,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,2846e0bd0994a9f54a739cc8270e915860c59ce966ff34118b95a3cb44c3858f,493f53a1353707aa234cb550b9da2e42e85b861291593b21d1280d238b881643
1,1,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,geographic,18,D1,0.0,3,2,L-main-threeshift-20c-01,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,a98baa385a6e6013c5448cc9d05c60e77f600b7217358ff4d4c6500705bfe7e0,b4959fda59a6064a32f7d59b0cb532cbe4af0e94af58475853bb95e5aa5c6a21
2,1,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,mixed,27,D0,0.0,3,2,L-main-threeshift-20c-01,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,a51beb2aa7be74a77bff40d42d728eddeca90422c61b7a0dd1080ae8ddcc2a8d,2c7a152fa162f288e6566a0763079ff0234a5cbb4e1c1c830b14e4c516ed59d2
1,1,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,mixed,18,D1,0.0,3,2,L-main-threeshift-20c-01,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,c079df48e5e7961c1fc45660c61d2d6483a033afc5f1763365828a1ba2d4ec54,4e67f9256cd28dd1bae7be5c6ba2ebc11e4c09d85f2131b90671225c4751cb16
2,1,8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,geographic,29,D0,0.0,4,2,L-main-threeshift-25c-01,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,8930d3d6d0246fca352421ada740c78297a5b978892ca821e4b1ed85fedee4ee,7bf55a6de4fd9d5293649f4e42b1cbe9237c6f3ab6786307b47a9005e627985f
2,1,8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,8752643a20d153b7e80fc0eadc63836968ca70005a9b69a0f77f1b2f05cf348c,geographic,26,D1,0.0,4,2,L-main-threeshift-25c-01,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,65061a969f95f7382c5f0cb7b5dc4658609ffcabbac85b26c5e12329a9c2bb78,a87b14f8a74c1b7cf652a0250c6192f3f5c6707b2982a89d17725afbd9b65c89
2,1,3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,mixed,29,D0,0.0,4,2,L-main-threeshift-25c-01,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,f8482a6ffff98e8d1abacd377b44804032f9b733951dc2b43d5d33836f43fb72,76987bc29b115ccb9767454c34fe2390b271fc6bb67522900043912e3baa895a
2,1,3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,3d3e2d4bd18c9887c21581cfa5ac1d7b72b5e5037f140a943e7b533d11c1c5aa,mixed,26,D1,0.0,4,2,L-main-threeshift-25c-01,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,6f00db58dbd8503a2a65937a433c87c55f7994606a9026813ad8f3b9220f348e,f172d6501088a22c1d930a9b45167896bc937b92aaca8adf8d4c851cee2ef429
3,3,63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,geographic,60,D0,0.0,5,5,L-main-threeshift-50c-01,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,5cb4613a6c831ea787c539285761fb8d49b908671dd0563f5d4b88c378f57581,108c8c614dec2ba09176f6b888ea244f013a9bd1887a2ab9111d2ace25e8a46b
2,2,63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,63da2beb80fb13d8d2794bb57a46beb8ccef8db84f4ee97629fb001a17baa5ba,geographic,54,D1,0.0,5,5,L-main-threeshift-50c-01,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,8f5093b53026dede4586f6adc25d21b63bb57c1f77f72a48fb16f9b2b4ca2b3c,b808aa2526e6d5caa51310d8e714baf2e6249918ec54e493cc69cce10d56e681
3,3,4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,mixed,60,D0,0.0,5,5,L-main-threeshift-50c-01,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,8fd7078c6c528a48871a4eeb6fa9976c62aae2e5bb15f7ee0568444338b98265,58bec8b6f3ee5c1c2c10168d71ea878cf6c803ad81d24825dc1848c23c5d79e4
2,2,4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,4ce30e28816835e58fcd04438a3c7ff3ff217983b694aed209f4a13113d97bd3,mixed,54,D1,0.0,5,5,L-main-threeshift-50c-01,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,ec30d09547c2fc26ffbd77d8703ae3e96fbfecd894d5a2031a6e1583fea1d159,a59614f7217ac6792092a2fb9ed134464119e4a167661bf0f12450c1e9e39a78
4,5,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,84,D0,0.0,8,9,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,0020cf684ce34438e161e25e43324c08dbeb8aeab04f1e392bf414c55dffa627,a30291262fa9491314e72b40e0b1d3b90c99ca30597ac7ba3bb9c596c0a4ad78
4,4,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,79,D1,0.0,8,9,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,f0149b5999109d1ca232cdd96cc9b77be21130683cbf4070b795c94ab9368e90,748e015250ec7868a16584019b816304aa77dcbb498efbca1f1c32e20a87016b
4,5,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,84,D0,0.0,8,9,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,fa171c74e0b24c0118fdaae92aafec897fcaf64e58ef36d9d2391ba4b825691e,e0f4225d6989375a6ffa78ee62573fe6a6da66ab9c46e4b2ad738a24112f0c11
4,4,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,79,D1,0.0,8,9,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,693d0818a1064acebfaa5d8b9e34a54fafb730a9451cf26ab6f819e96a568dde,941e26dfe552cef553d23bda8bd6109e83ff08c924e94b849b9bc2a53df559e5
