stream_seed,arm,served_customer_count,served_demand_kg,full_day_revenue,full_day_total_cost,full_day_operating_net_benefit,event_disposition_count,applied_event_count,ignored_locked_event_count,workload_fingerprint,audit_ledger_fingerprint,cost_closure_pass,cost_closure_error,component_closure_error
1,cooperative,234,103093.13418683824690,19521.7158896196904329840,10005.372757074345,9516.3431325453454329840,55,53,2,e24c073c3c2fa83ac722a2ed5443fa81244530a8f42540a883a5f7a3f67d9c54,685de1eab99b5684300c41e7ee76c912d04f32081e4896fad7ec5ffcc953226c,True,0E-12,2.3E-13
1,independent,233,102625.13418683824690,19433.0954096196904329840,9947.047219405435,9486.0481902142554329840,55,54,1,d3d31decfb1df2d5230c223f82e933bc35efa259991899b8424e2dcf8a26ff9d,f646e421042668c5a0dd73d95a03c324fe74af0dedb70afa9cbea0d9a9dfb0a5,True,0E-12,1.0E-12
2,cooperative,234,103531.96960336556666,19604.8137640933037027376,9069.56060925144,10535.2531548418637027376,55,49,6,9576fd43535fd96ad16b05cb730f4109bdb567210595e2bb443bf845d73bbe43,065330411b033f88f145f5f59ba5081c548197647e3f1b341db27951545ee8b2,True,0E-11,1.05E-12
2,independent,232,102699.27268644966756,19447.1342759061090491616,8868.870554082532,10578.2637218235770491616,55,50,5,dce88b11075ed809824c72b58f1c9e6868f90c9be22b30ac66540af17ce8f3b5,625aee11597a093120f35d3ac55f8396c136060162755607bf595f174df4b259,True,0E-12,3E-13
3,cooperative,234,103464.35987311675368,19592.0111855733884768448,9097.864875505426,10494.1463100679624768448,55,51,4,5c34fe7ce0bab25193807dbb45003c3c1f02582aad525f9f7675ed488b7284e9,ffa14db903ace64b27cd2bd3398d913d6f47f5bd32bf719fba22e534e40ce820,True,0E-12,2E-13
3,independent,234,103455.42220935028295,19590.3187495625695794120,9154.578724399353,10435.7400251632165794120,55,52,3,651b48fe671f06053320773149267ea404bff260967e21b1eecab4fffd01374e,df86abfde63670e02bfab48acac69231e8eb3c8fc3dc76968da2abb225d8328c,True,0E-12,1.8E-12
4,cooperative,233,102443.01653744148730,19398.6096115299200351280,9114.642733425235,10283.9668781046850351280,55,54,1,b6e6f65f4bd0b32bbe1de73c56bebc49fc1f7ad04358c8691430676c1363d2b0,c470ecc4f93f2d7f857532088b8dcfc0d9fc891d7e256093d73d1b345b6150ec,True,0E-12,5E-13
4,independent,234,103020.22362873304142,19507.9095463368887232912,9473.712257178528,10034.1972891583607232912,55,50,5,4cd448b2944765052bf9ebcccc84b8021d4f810148a841efb79d0597211c7f6b,97a69632d24e26e31aa5b8728aa3736acdf1dbb5ed6be83175e39d2b3d4b4215,True,0E-12,9E-13
5,cooperative,232,104738.12974653648553,19833.2122488041488999608,8224.79672416924,11608.4155246349088999608,55,53,2,20cb8bf9acbebbcf298998675d7abe814d7792c149787c78ca0f1015bd532087,e94afdcc9cd3d574f481c9219c801514ec3732fc99d8fc1cf569ce1dfb45a511,True,0E-11,8E-13
5,independent,232,104784.51926385294888,19841.9965678031943999168,8530.755790843661,11311.2407769595333999168,55,52,3,52e04e6072825f2363b629d54c75e5bc98c8a2952c5b83c5eb081edf5c48d523,991ca91786eabfd948369b0f72b02af161bb880abb3a6b844a80a05b04cb9955,True,0E-12,1.1E-12
