network,condition,stream,arm,operating_day,route_sha256,energy_sha256,charging_kwh,completed_demand,direct_emissions_kg,immediate_actual_charging_emissions_kg,aware_actual_charging_emissions_kg,actual_charging_saving_kg,charging_reduction_pct,total_operational_reduction_pct,timing_shifted_action_count,route_hash_preserved,energy_hash_preserved
N114,geographic,1,full,2025-11-02,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,84.41360853975746,84.16746238326628,0.24614615649117866,0.29159534907839857,0.016760183627378272,5,True,True
N114,geographic,1,full,2025-11-03,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,91.82213609736925,92.45888929926268,-0.636753201893427,-0.6934637212297114,-0.04313914790093095,6,True,True
N114,geographic,1,full,2025-11-04,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,93.85159086834017,94.12611901123326,-0.27452814289308947,-0.29251304144456286,-0.01857336459161025,5,True,True
N114,geographic,1,full,2025-11-05,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,116.04314458159081,116.15154349080028,-0.10839890920946971,-0.09341259201507902,-0.007225312994340148,3,True,True
N114,geographic,1,full,2025-11-06,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,188.82887853495836,188.83589968982704,-0.0070211548686813785,-0.003718263288515763,-0.0004463397502043886,3,True,True
N114,geographic,1,full,2025-11-07,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,235.76221378195197,235.74935715923058,0.012856622721386657,0.005453215981962778,0.0007936260351539395,1,True,True
N114,geographic,1,full,2025-11-08,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,261.7179947109234,265.75419012126406,-4.036195410340667,-1.5421925476690226,-0.2452211803975698,5,True,True
N114,geographic,1,full,2025-11-09,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,212.11760568918757,212.23072925259112,-0.11312356340354768,-0.053330586603596575,-0.007086431190650522,2,True,True
N114,geographic,1,full,2025-11-10,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,182.93553531730723,172.49916704649942,10.436368270807804,5.704943138961824,0.665942178969454,6,True,True
N114,geographic,1,full,2025-11-11,34e3beafc5b99e1f078c20dbde71ef22bdf3f480e6563a0cf9b901a1c5fac6e5,37de40ed058d5d49180753430be4a7670fe2c9a24c4e741137f38a1afa19747b,1352.273933536589,51033.01033670824,1384.2227856885934,137.96293410170867,138.6760209260294,-0.713086824320726,-0.5168684103188368,-0.04684624320473599,6,True,True
