event_id	event_type	t_appear	customer_id	old_demand	new_demand	x	y	delta_demand	old_ready_time	old_due_time	new_ready_time	new_due_time	time_window_action	demand_source	time_window_source	donor_instance_id	donor_customer_id	new_service_time	service_time_source	source	seed
1	demand_change	2438.3573418846017	C127	634.0	650.657831288505	-81040.99	40779.89	16.657831288505008	36102.0	55780.0	36102.0	55780.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
2	add	2835.020637284834	N_S1_001	0.0	630.0	47697.41	-59704.69	630.0	33239.0	52735.0	33239.0	52735.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C256	1260.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
3	demand_change	5251.3492612478585	C129	122.0	134.67082551447623	-47691.44	13155.22	12.670825514476235	33696.0	53232.0	33696.0	53232.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
4	cancel	11759.072077013858	C141	587.0	0.0	70289.73	12913.85	-587.0	35262.0	55480.0	35262.0	55480.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
5	demand_change	12613.980540792674	C213	195.0	195.3091035039066	-37849.66	29099.07	0.3091035039066128	66914.0	85353.0	66914.0	85353.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
6	demand_change	14745.281352165026	C194	553.0	567.7654745993053	54558.64	-27585.82	14.765474599305321	34301.0	54842.0	34301.0	54842.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
7	cancel	18115.51349031892	C209	180.0	0.0	-9586.39	-54768.56	-180.0	66521.0	85064.0	66521.0	85064.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
8	cancel	18878.473587099266	C173	566.0	0.0	43957.45	60773.76	-566.0	35692.0	55835.0	35692.0	55835.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
9	add	20036.47987443943	N_S1_002	0.0	385.0	57218.67	-15575.5	385.0	3342.0	23136.0	3342.0	23136.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C035	770.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
10	demand_change	21802.27513829107	C122	153.0	152.09241806150797	26426.5	12339.32	-0.9075819384920294	34462.0	53036.0	34462.0	53036.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
11	add	22627.899845063224	N_S1_003	0.0	142.0	-52219.05	-36274.2	142.0	36924.0	55303.0	36924.0	55303.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C392	284.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
12	demand_change	22919.27175037537	C156	254.0	276.66220366363785	-38608.82	45301.34	22.662203663637854	35440.0	54405.0	35440.0	54405.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
13	add	24109.78266774262	N_S1_004	0.0	122.0	-56195.3	-4878.77	122.0	35424.0	53705.0	35424.0	53705.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C308	244.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
14	cancel	25171.059583264654	C217	681.0	0.0	-42167.63	18980.0	-681.0	66100.0	85752.0	66100.0	85752.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
15	add	25254.31809277624	N_S1_005	0.0	556.0	-40211.84	-6268.27	556.0	37208.0	57367.0	37208.0	57367.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C373	1112.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
16	demand_change	28808.511893805982	C211	132.0	119.05109310253042	92900.77	-15626.8	-12.948906897469584	66515.0	85239.0	66515.0	85239.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
17	demand_change	29867.999825680097	C134	117.0	118.71283652472417	-71080.89	1677.17	1.7128365247241675	33290.0	51710.0	33290.0	51710.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
18	add	30046.982129089396	N_S1_006	0.0	511.0	-47856.67	20374.53	511.0	34067.0	53884.0	34067.0	53884.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C383	1022.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
19	add	30177.560303284587	N_S1_007	0.0	127.0	-41768.49	-46929.75	127.0	66817.0	85973.0	66817.0	85973.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C404	254.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
20	add	30560.410653005256	N_S1_008	0.0	587.0	29463.56	-21968.66	587.0	34063.0	53938.0	34063.0	53938.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C376	1174.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
21	demand_change	30955.8723280057	C201	472.0	505.73130972577593	109.91	-50342.2	33.73130972577593	66876.0	86368.0	66876.0	86368.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
22	add	31463.789264893567	N_S1_009	0.0	527.0	-17838.07	54591.62	527.0	34696.0	54846.0	34696.0	54846.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C223	1054.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
