event_id,event_type,t_appear,customer_id,old_demand,new_demand,x,y,delta_demand,old_ready_time,old_due_time,new_ready_time,new_due_time,time_window_action,demand_source,time_window_source,donor_instance_id,donor_customer_id,new_service_time,service_time_source,source,seed
1,demand_change,7134.129943771906,C158,163.0,163.04112796263902,-9643.01,-59554.15,0.04112796263902396,35876.0,55398.0,35876.0,55398.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
2,demand_change,7409.323913855321,C126,146.0,160.5207726528814,75801.22,2012.82,14.52077265288139,36075.0,55187.0,36075.0,55187.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
3,demand_change,7504.012221636786,C154,169.0,161.5939571868439,48834.87,36186.2,-7.406042813156091,34179.0,52982.0,34179.0,52982.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
4,cancel,7525.677809271005,C120,645.0,0.0,56555.37,20303.65,-645.0,33386.0,53423.0,33386.0,53423.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
5,add,9133.424872766942,N_S2_001,0.0,193.0,-39572.23,2240.22,193.0,36202.0,54753.0,36202.0,54753.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C233,386.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,2
6,demand_change,13037.068050803175,C204,206.0,230.70149638515946,4538.08,-8678.85,24.70149638515946,65701.0,85325.0,65701.0,85325.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
7,add,13167.79629810445,N_S2_002,0.0,148.0,-28665.72,-68982.65,148.0,36942.0,57029.0,36942.0,57029.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C242,296.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,2
8,demand_change,14699.65087032547,C188,401.0,383.0482092216232,66330.57,-33588.36,-17.95179077837679,34395.0,54095.0,34395.0,54095.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
9,add,14969.995719847924,N_S2_003,0.0,164.0,48239.62,-46278.64,164.0,36464.0,55080.0,36464.0,55080.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C378,328.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,2
10,demand_change,15636.081387505084,C174,729.0,820.9262670512747,8379.15,15362.45,91.92626705127475,35381.0,55216.0,35381.0,55216.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
11,cancel,17342.514917489883,C129,122.0,0.0,-47691.44,13155.22,-122.0,33696.0,53232.0,33696.0,53232.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
12,add,17587.440813103087,N_S2_004,0.0,360.0,3694.34,41218.48,360.0,37514.0,57968.0,37514.0,57968.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C377,720.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,2
13,demand_change,17695.418989034486,C180,249.0,245.75436835475008,50202.8,-39410.15,-3.245631645249915,34937.0,53774.0,34937.0,53774.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,2
14,add,18047.059282477137,N_S2_005,0.0,550.0,54969.92,-40248.82,550.0,37581.0,56731.0,37581.0,56731.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C371,1100.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,2
