customer_id,owner_depot_id
C001,D0
C002,D0
C003,D1
C004,D1
C005,D0
C006,D1
C007,D0
C008,D1
C009,D0
C010,D1
C011,D0
C012,D1
C013,D0
C014,D0
C015,D0
C016,D1
C017,D1
C018,D1
C019,D0
C020,D0
C021,D1
C022,D1
C023,D0
C024,D1
C025,D1
C026,D0
C027,D0
C028,D0
C029,D0
C030,D1
C031,D0
C032,D0
C033,D1
C034,D1
C035,D1
C036,D1
C037,D1
C038,D1
C039,D0
C040,D1
C041,D0
C042,D1
C043,D0
C044,D0
C045,D1
C046,D1
C047,D1
C048,D0
C049,D1
C050,D0
C051,D1
C052,D0
C053,D1
C054,D1
C055,D0
C056,D1
C057,D1
C058,D0
C059,D0
C060,D0
C061,D1
C062,D0
C063,D0
C064,D0
C065,D1
C066,D1
C067,D1
C068,D1
C069,D0
C070,D1
C071,D0
C072,D0
C073,D0
C074,D0
C075,D0
C076,D0
C077,D1
C078,D0
C079,D0
C080,D0
C081,D0
C082,D1
C083,D0
C084,D0
C085,D1
C086,D0
C087,D1
C088,D0
C089,D1
C090,D0
C091,D1
C092,D0
C093,D0
C094,D0
C095,D1
C096,D0
C097,D0
C098,D1
C099,D0
C100,D1
C101,D0
C102,D0
C103,D1
C104,D0
C105,D0
C106,D1
C107,D0
C108,D0
C109,D0
C110,D0
C111,D0
C112,D0
C113,D1
C114,D1
C115,D1
C116,D1
C117,D0
C118,D0
C119,D1
C120,D1
C121,D0
C122,D1
C123,D0
C124,D0
C125,D0
C126,D0
C127,D1
C128,D0
C129,D1
C130,D1
C131,D0
C132,D1
C133,D1
C134,D0
C135,D0
C136,D1
C137,D1
C138,D1
C139,D1
C140,D1
C141,D1
C142,D0
C143,D1
C144,D1
C145,D0
C146,D1
C147,D0
C148,D0
C149,D1
C150,D0
C151,D1
C152,D1
C153,D0
C154,D1
C155,D1
C156,D0
C157,D1
C158,D1
C159,D1
C160,D1
C161,D1
C162,D0
C163,D1
C164,D1
C165,D1
C166,D0
C167,D0
C168,D0
C169,D1
C170,D0
C171,D1
C172,D0
C173,D0
C174,D0
C175,D1
C176,D0
C177,D0
C178,D1
C179,D1
C180,D0
C181,D1
C182,D0
C183,D0
C184,D0
C185,D1
C186,D1
C187,D1
C188,D0
C189,D1
C190,D1
C191,D0
C192,D0
C193,D0
C194,D0
C195,D1
C196,D0
C197,D1
C198,D0
C199,D1
C200,D0
C201,D1
C202,D0
C203,D1
C204,D0
C205,D0
C206,D0
C207,D0
C208,D0
C209,D0
C210,D1
C211,D0
C212,D1
C213,D1
C214,D1
C215,D1
C216,D0
C217,D1
C218,D1
C219,D0
C220,D1
C221,D0
C222,D0
C223,D0
C224,D1
C225,D1
C226,D0
C227,D1
C228,D0
C229,D0
C230,D1
C231,D0
C232,D1
C233,D1
C234,D0
C235,D0
C236,D0
C237,D0
C238,D1
C239,D0
C240,D0
C241,D1
C242,D0
C243,D1
C244,D1
C245,D0
C246,D1
C247,D1
C248,D1
C249,D1
C250,D1
C251,D0
C252,D0
C253,D1
C254,D1
C255,D0
C256,D0
C257,D1
C258,D1
C259,D0
C260,D1
C261,D0
C262,D0
C263,D1
C264,D1
C265,D0
C266,D0
C267,D1
C268,D0
C269,D0
C270,D1
C271,D0
C272,D1
C273,D1
C274,D0
C275,D0
C276,D0
C277,D0
C278,D1
C279,D0
C280,D1
C281,D0
C282,D1
C283,D0
C284,D0
C285,D0
C286,D0
C287,D0
C288,D1
C289,D0
C290,D1
C291,D1
C292,D0
C293,D1
C294,D1
C295,D1
C296,D1
C297,D1
C298,D0
C299,D0
C300,D0
C301,D1
C302,D1
C303,D1
C304,D0
C305,D0
C306,D1
C307,D0
C308,D0
C309,D1
C310,D0
C311,D0
C312,D0
C313,D1
C314,D0
C315,D1
C316,D1
C317,D0
C318,D0
C319,D0
C320,D1
C321,D1
C322,D1
N_S3_001,D0
N_S3_002,D1
N_S3_003,D1
N_S3_004,D1
N_S3_005,D0
N_S3_006,D1
N_S3_007,D0
N_S3_008,D0
N_S3_009,D1
N_S3_010,D1
N_S3_011,D0
N_S3_012,D1
N_S3_013,D0
