customer_id,donor_customer_id,donor_fields_inherited_exactly,donor_instance_id,donor_service_time,event_id,event_type,minimum_formal_trip_departure_second,minimum_uncommitted_margin_seconds,modifiable_in_both_fixed_seed1_plans,network,new_demand,new_due_time,new_ready_time,new_service_time,old_customer_owner,old_demand,old_due_time,old_ready_time,owner_depot_id,owner_rule_verified,reused_from_sealed_n221,search_evaluations,seed,service_time_source,status,stream_id,t_appear,trigger_second,x,y
C065,,,,,1,demand_change,13032.378452474411,2232.3784524744115,True,N114,707.896355841877,58749.0,37498.0,,D0,656.0,58749.0,37498.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,2835.020637284834,10800.0,80042.34,62233.5
C107,,,,,2,demand_change,12362.351499407405,1562.3514994074048,True,N114,871.4475813771236,86355.0,66121.0,,D0,770.0,86355.0,66121.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,5251.3492612478585,10800.0,-28772.18,27914.16
N_S1_001,C142,True,L-main-threeshift-75c-01,1364.0,3,add,,,True,N114,682.0,53400.0,33602.0,1364.0,,0.0,53400.0,33602.0,D0,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,10213.836148227529,10800.0,39279.94,-9843.4
C056,,,,,4,demand_change,21795.626289689524,195.62628968952413,True,N114,482.9608009155677,57459.0,37611.0,,D0,525.0,57459.0,37611.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,11759.072077013858,21600.0,16583.26,14493.79
C110,,,,,5,cancel,45524.58673525433,23924.58673525433,True,N114,0.0,85728.0,65424.0,,D1,258.0,85728.0,65424.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,13947.818324319094,21600.0,-28015.84,9211.52
C080,,,,,6,cancel,21795.626289689524,195.62628968952413,True,N114,0.0,53591.0,33403.0,,D0,261.0,53591.0,33403.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,16912.785293290224,21600.0,17468.21,27907.31
N_S1_002,C077,True,L-main-threeshift-75c-01,318.0,7,add,,,True,N114,159.0,51660.0,33298.0,318.0,,0.0,51660.0,33298.0,D1,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,20036.47987443943,21600.0,-55684.93,-29523.69
C097,,,,,8,demand_change,45524.58673525433,23924.58673525433,True,N114,803.4806307716591,57776.0,37182.0,,D1,763.0,57776.0,37182.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,20528.925007666272,21600.0,-51816.47,-4097.86
N_S1_003,C135,True,L-main-threeshift-75c-01,1654.0,9,add,,,True,N114,827.0,57117.0,36271.0,1654.0,,0.0,57117.0,36271.0,D0,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,23201.98589107773,32400.0,-5805.78,6486.85
N_S1_004,C114,True,L-main-threeshift-75c-01,730.0,10,add,,,True,N114,365.0,53623.0,34597.0,730.0,,0.0,53623.0,34597.0,D0,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,25358.84670543437,32400.0,41353.22,-20455.09
C060,,,,,11,demand_change,33840.04394754282,1440.0439475428211,True,N114,371.096203767665,54976.0,35908.0,,D1,329.0,54976.0,35908.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,26407.229337973662,32400.0,-24146.21,-26447.02
N_S1_005,C131,True,L-main-threeshift-75c-01,844.0,12,add,,,True,N114,422.0,56307.0,36177.0,844.0,,0.0,56307.0,36177.0,D0,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,29173.907366942887,32400.0,71179.94,-36325.23
C108,,,,,1,demand_change,17151.986366638608,6351.986366638608,True,N114,211.34643389669046,86319.0,66541.0,,D0,235.0,86319.0,66541.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,3246.3517208400144,10800.0,-23632.01,33498.36
C091,,,,,2,demand_change,15556.94623884581,4756.9462388458105,True,N114,248.38850592807069,54824.0,35340.0,,D1,275.0,54824.0,35340.0,D1,True,False,0,2,existing_customer,PASS,stream_seed2,6949.497996505321,10800.0,12892.62,-48879.59
