event_id	event_type	t_appear	customer_id	old_demand	new_demand	x	y	delta_demand	old_ready_time	old_due_time	new_ready_time	new_due_time	time_window_action	demand_source	time_window_source	donor_instance_id	donor_customer_id	new_service_time	service_time_source	source	seed
1	demand_change	2835.020637284834	C187	828.0	893.5033271906619	3897.33	-24016.69	65.50332719066193	34134.0	55107.0	34134.0	55107.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
2	demand_change	5251.3492612478585	C269	468.0	529.6590494603815	-93017.82	12038.26	61.65904946038154	36920.0	56120.0	36920.0	56120.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
3	add	10213.836148227529	N_S1_001	0.0	103.0	35189.06	19950.6	103.0	37517.0	57185.0	37517.0	57185.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C218	206.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
4	demand_change	11759.072077013858	C155	285.0	289.5194937730485	64820.85	68841.24	4.519493773048509	33994.0	53314.0	33994.0	53314.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
5	cancel	13947.818324319094	C276	305.0	0.0	-19976.31	48185.78	-305.0	33706.0	52960.0	33706.0	52960.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
6	demand_change	16912.785293290224	C200	288.0	274.6685158308362	40489.64	-211.46	-13.331484169163787	34430.0	53911.0	34430.0	53911.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
7	cancel	20036.47987443943	C256	667.0	0.0	-61796.99	68434.74	-667.0	35175.0	55178.0	35175.0	55178.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
8	demand_change	20528.925007666272	C151	159.0	167.43567535084378	78500.72	19258.8	8.43567535084378	34405.0	53960.0	34405.0	53960.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
9	cancel	23201.98589107773	C263	702.0	0.0	56703.17	24993.52	-702.0	36749.0	56960.0	36749.0	56960.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
10	add	25358.84670543437	N_S1_002	0.0	104.0	39444.28	4896.47	104.0	37451.0	56027.0	37451.0	56027.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C337	208.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
11	demand_change	26407.229337973662	C284	445.0	479.83652296183305	45035.26	10635.2	34.836522961833055	34334.0	54320.0	34334.0	54320.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
12	add	29173.907366942887	N_S1_003	0.0	106.0	57336.69	-84513.69	106.0	33861.0	52865.0	33861.0	52865.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C290	212.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
