customer_id,owner_depot_id
C001,D0
C002,D0
C003,D0
C004,D1
C005,D0
C006,D0
C007,D0
C008,D0
C009,D0
C010,D1
C011,D1
C012,D1
C013,D0
C014,D1
C015,D1
C016,D0
C017,D1
C018,D1
C019,D1
C020,D0
C021,D0
C022,D0
C023,D0
C024,D1
C025,D1
C026,D1
C027,D0
C028,D0
C029,D0
C030,D0
C031,D1
C032,D1
C033,D1
C034,D1
C035,D1
C036,D1
C037,D0
C038,D1
C039,D0
C040,D1
C041,D0
C042,D1
C043,D0
C044,D1
C045,D0
C046,D0
C047,D0
C048,D0
C049,D1
C050,D1
C051,D1
C052,D0
C053,D1
C054,D0
C055,D1
C056,D0
C057,D1
C058,D1
C059,D1
C060,D0
C061,D0
C062,D0
C063,D1
C064,D0
C065,D0
C066,D0
C067,D0
C068,D0
C069,D0
C070,D1
C071,D1
C072,D0
C073,D1
C074,D0
C075,D0
C076,D1
C077,D0
C078,D1
C079,D1
C080,D0
C081,D0
C082,D0
C083,D1
C084,D1
C085,D0
C086,D0
C087,D0
C088,D0
C089,D1
C090,D1
C091,D0
C092,D1
C093,D0
C094,D0
C095,D0
C096,D0
C097,D0
C098,D1
C099,D0
C100,D1
C101,D1
C102,D0
C103,D1
C104,D1
C105,D1
C106,D1
C107,D0
C108,D0
C109,D1
C110,D1
C111,D0
C112,D0
C113,D0
C114,D0
C115,D1
C116,D1
C117,D0
C118,D1
C119,D0
C120,D0
C121,D1
C122,D1
C123,D1
C124,D0
C125,D1
C126,D0
C127,D0
C128,D1
C129,D0
C130,D0
C131,D0
C132,D1
C133,D0
C134,D1
C135,D1
C136,D0
C137,D0
C138,D1
C139,D1
C140,D1
C141,D0
C142,D1
C143,D1
C144,D0
C145,D1
C146,D0
C147,D1
C148,D1
C149,D0
C150,D0
C151,D0
C152,D1
C153,D1
C154,D1
C155,D0
C156,D0
C157,D0
C158,D1
C159,D1
C160,D1
C161,D0
C162,D0
C163,D1
C164,D1
C165,D1
C166,D0
C167,D0
C168,D0
C169,D0
C170,D0
C171,D0
C172,D1
C173,D0
C174,D0
C175,D1
C176,D0
C177,D1
C178,D1
C179,D1
C180,D1
C181,D1
C182,D0
C183,D0
C184,D1
C185,D0
C186,D1
C187,D1
C188,D0
C189,D1
C190,D0
C191,D0
C192,D0
C193,D1
C194,D0
C195,D1
C196,D1
C197,D0
C198,D1
C199,D1
C200,D0
C201,D0
C202,D0
C203,D0
C204,D0
C205,D1
C206,D0
C207,D1
C208,D1
C209,D0
C210,D1
C211,D1
C212,D1
C213,D0
C214,D1
C215,D1
C216,D0
C217,D1
C218,D0
C219,D0
C220,D0
C221,D0
C222,D0
C223,D0
C224,D0
C225,D1
C226,D0
C227,D0
C228,D1
C229,D1
C230,D0
C231,D0
C232,D1
C233,D0
C234,D0
C235,D1
C236,D1
C237,D1
C238,D1
C239,D1
C240,D0
C241,D0
C242,D0
C243,D0
C244,D0
C245,D1
C246,D0
C247,D1
C248,D1
C249,D1
C250,D1
C251,D1
C252,D1
C253,D1
C254,D0
C255,D0
C256,D0
C257,D1
C258,D1
C259,D0
C260,D0
C261,D1
C262,D0
C263,D0
C264,D1
C265,D0
C266,D0
C267,D1
C268,D0
C269,D0
C270,D1
C271,D1
C272,D1
C273,D0
C274,D0
C275,D1
C276,D0
C277,D1
C278,D1
C279,D1
C280,D0
C281,D1
C282,D1
C283,D1
C284,D0
C285,D1
C286,D0
C287,D1
C288,D0
C289,D0
C290,D1
C291,D1
C292,D1
C293,D1
C294,D0
C295,D0
C296,D0
C297,D0
C298,D1
C299,D0
C300,D0
C301,D1
C302,D1
C303,D0
C304,D0
C305,D1
C306,D0
C307,D0
C308,D0
C309,D0
C310,D0
C311,D1
C312,D1
C313,D1
C314,D0
C315,D1
C316,D1
C317,D1
C318,D1
C319,D0
C320,D1
C321,D0
C322,D0
N_S3_001,D0
N_S3_002,D0
N_S3_003,D1
