arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
full,3,PASS,27,1484.592186407663,114,51033.01033670824,0,"{""D0"": 2270.4223262594546, ""D1"": 2177.5681684483197}",41e37b605653a56788af661c9ec11255b62424389fc0802e0df5ffea1a877eb9,4447.990494707774,1476.2587080024505,5215.620342651299,9663.610837359072,1.0,N114,geographic,1
no_cooperation,3,PASS,0,1634.6911092459097,114,51033.01033670824,0,"{""D0"": 2253.046394290419, ""D1"": 2162.392702241232}",96b6096d818e939f939ba0b6498827e6f9d2b20cbf3b102c59606778e8bb4211,4415.439096531651,1626.3474153478662,5248.171740827422,9663.610837359072,0.9993511183813906,N114,geographic,1
no_participation,3,PASS,24,1445.5863228734797,114,51033.01033670824,2,"{""D0"": 2368.761101188544, ""D1"": 2307.661695422688}",d8e6b19748333a4e830ae63d7a67709e0d20e082a02a155b077a0e4a297ea27b,4676.422796611232,1436.8930173449694,4987.188040747843,9663.610837359076,0.9445224363234291,N114,geographic,1
simple_insertion,3,PASS,0,1631.2834767804463,114,51033.01033670824,0,"{""D0"": 2478.6748695779097, ""D1"": 2129.501310412869}",9a6ad427b3f58b637df5db2a7fbf961ff79bc7ce1ec17c4da9ee618be4d2481a,4608.176179990778,1624.0735122590359,5055.434657368293,9663.610837359072,0.9633406810559438,N114,geographic,1
full,3,PASS,42,1245.228896342215,114,51101.742094351204,0,"{""D0"": 2808.3147570245474, ""D1"": 2317.0437564567364}",b4ce0bbe6bb8fc5e6813ef5aba34b396dbd552753ce6c966f0b61a77314c86b9,5125.358513481284,1238.977555151792,4551.267369505058,9676.625882986344,1.0,N114,geographic,2
no_cooperation,3,PASS,0,1242.9859132971412,114,51101.742094351204,0,"{""D0"": 2808.3147570245474, ""D1"": 2320.613591730048}",894eefff180dacd24299e05fdf75144395a58e4e0c36eff071ad9f9bac2491f6,5128.928348754595,1236.7827526409442,4547.697534231747,9676.625882986344,1.0,N114,geographic,2
no_participation,3,PASS,42,1250.5799158721188,114,51101.742094351204,1,"{""D0"": 2724.3532714363273, ""D1"": 2403.9990485857033}",ac0fc912533f8293c8a0318bf35b93b6ea00bc3d608c42d46de41b936b2545ab,5128.352320022031,1243.082986605799,4548.273562964311,9676.625882986344,0.9701025373390912,N114,geographic,2
simple_insertion,3,PASS,0,1398.8245260774895,114,51101.742094351204,0,"{""D0"": 2485.093798795696, ""D1"": 2259.8633940019013}",c29b833cfeb449ea512334faf8b610a3867b52d5a7967b240f5ce429aaa6735a,4744.957192797598,1390.087696481043,4931.668690188748,9676.625882986344,0.8395800241922929,N114,geographic,2
full,2,PASS,27,1424.7270019768166,114,50616.075888500294,0,"{""D0"": 2161.385096808936, ""D1"": 2393.038410207977}",bc117b31a654cd3cabcb7d34d5954cbb30aea465bd00346080667c6722fc917c,4554.4235070169125,1415.979528034433,5030.236623229505,9584.660130246419,1.0,N114,geographic,3
no_cooperation,2,PASS,0,1346.1887985313629,114,50616.075888500294,0,"{""D0"": 2366.124891069571, ""D1"": 2347.300842045755}",b3f2100837dfd57e8e01b81e76084e7f0488d5fcd78f25090cd50cab951ad932,4713.425733115326,1339.49207836845,4871.234397131094,9584.660130246419,0.9993523500039893,N114,geographic,3
