arm,checkpoint_path,checkpoint_sha256,condition,lineage,network,payload_sha256,selection_reason,source_contract_sha256,stream,task_id
full,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream1__full.json,c74c28bf8a3c01a51168cc43a727709424f9a7a7ea5f2e19bef451e2d890d7e9,geographic,parent,N114,edf642e45c6950ad78bf724eac19758349cee84c4b4ee5bd5d0cb41f55c72846,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,1,N114__geographic__stream1__full
no_cooperation,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream1__no_cooperation.json,d4f8ddee2b8d08a746c868551256d75708981f30b8bb6afa3fe6ba2dd1913811,geographic,parent,N114,1ca2d3d5064d58ca7e362c41a5897551aebe058e07dfb4b543857995fd96cb95,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,1,N114__geographic__stream1__no_cooperation
no_participation,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream1__no_participation.json,55a170aaf9e90f07ece0049dba971378ff280d9d5a084248abb78be2dcb003c2,geographic,parent,N114,b5936d665f3ba323c0f6ba09213f2f8df0612022ec406d7b451b52721a350909,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,1,N114__geographic__stream1__no_participation
simple_insertion,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream1__simple_insertion.json,9b54898d6efd18894735bba0e7f2d0dae25919bd739b9fb6069df36a6a3b0321,geographic,parent,N114,329bd7ae5ecc660f87ee95b0de5ed6edc4bc5f7ee16115f38c8c2111ac1589c6,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,1,N114__geographic__stream1__simple_insertion
full,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream2__full.json,29c40d9b0cd8c476e7bc46e6cc2cf7db68742c74fa1f90cb842c567fa2566b35,geographic,parent,N114,d6d26c0988ac6f00cce539de6b76b8dc91b90a1cd4f9157cb196c4aa27c0135d,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,2,N114__geographic__stream2__full
no_cooperation,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream2__no_cooperation.json,8fcca70bbcdb0c54bd2ff54251dcdde3312cdd5d7dc2e126fcb486b353a7f247,geographic,parent,N114,bcc597458a35c2d361cdf6a615558a446ba854d9fe20fb8db4d691578ede3a62,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,2,N114__geographic__stream2__no_cooperation
no_participation,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream2__no_participation.json,fd71447504aafe0c914b492320c6fc0f92e1e88ef15cbbadf7262916df665546,geographic,parent,N114,d8d2aca198a58568ee08c016b35af6563b122eb49f13e8b80e4f7e3114b0b939,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,2,N114__geographic__stream2__no_participation
simple_insertion,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream2__simple_insertion.json,8aca99d81c582ae13875b3e81361aca8d2cd0e6e4cb0d9ff532461a1ad9fd4de,geographic,parent,N114,ff6ab0bed48188dce2680062d57145fa97d61b508859ce82135cc3f3766bcb06,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,2,N114__geographic__stream2__simple_insertion
full,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream3__full.json,9581a4e12e51dd9af19803b6940c60e746dd1d194e2153d4822be617cb536774,geographic,parent,N114,d3732a496f6a51c95cff4a536c1d3130bc96556679c88eb784afc630306641ea,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,3,N114__geographic__stream3__full
no_cooperation,baselines/e7_dynamic/e7_multinetwork_formal_20260715/.tasks/N114__geographic__stream3__no_cooperation.json,6faa1d003e5a6b30ed1b27861094416901b137a8ad002ca45c7815ead3de2686,geographic,parent,N114,1901767e579f8ae690f221c629c20110d1623b7140ba092f39ba17c94aa279d5,present_before_preserved_anomaly,bffdc512b8b39fe5c11bb80b63204a39f2a529d7810741354c401644cc3be16f,3,N114__geographic__stream3__no_cooperation
