arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
full,3,PASS,2,1507.84265431644,114,51033.01033670824,0,"{""D0"": 2270.013894472202, ""D1"": 2177.5681684483197}",da20c704dbc65647b28ab428517f61971f5c5b9e184999c7e2521ce2cf307a76,4447.582062920522,1499.8180428007365,5216.028774438551,9663.610837359072,1.0,N114,geographic,1
no_cooperation,3,PASS,0,1631.2834767804463,114,51033.01033670824,0,"{""D0"": 2478.6748695779097, ""D1"": 2129.501310412869}",9a6ad427b3f58b637df5db2a7fbf961ff79bc7ce1ec17c4da9ee618be4d2481a,4608.176179990778,1624.0735122590359,5055.434657368293,9663.610837359072,0.9993511183813906,N114,geographic,1
no_participation,3,PASS,2,1454.2047471758788,114,51033.01033670824,3,"{""D0"": 2298.0906204075013, ""D1"": 2305.1439904989084}",916201add29eb42d00373b25895ea8e3a8cd46632dd4d9b55c789b24c57f9673,4603.234610906409,1444.5640025281593,5060.376226452664,9663.610837359072,0.9856386432107664,N114,geographic,1
simple_insertion,3,PASS,0,1631.2834767804463,114,51033.01033670824,0,"{""D0"": 2478.6748695779097, ""D1"": 2129.501310412869}",9a6ad427b3f58b637df5db2a7fbf961ff79bc7ce1ec17c4da9ee618be4d2481a,4608.176179990778,1624.0735122590359,5055.434657368293,9663.610837359072,0.9993511183813906,N114,geographic,1
full,3,PASS,4,1439.5765240221822,114,51101.742094351204,0,"{""D0"": 2514.8153962411034, ""D1"": 2177.1593370742803}",2a60afaf9ebca064102ac617e1d945f3ce341fa3601109d1bd376e6457f2e6ac,4691.974733315384,1432.5055351287256,4984.651149670961,9676.625882986344,1.0,N114,geographic,2
no_cooperation,3,PASS,0,1402.5695444607384,114,51101.742094351204,0,"{""D0"": 2493.3438640637282, ""D1"": 2177.1593370742803}",6e2f5aa57ff1fa48da3e1f85326932d4c8ca9b7543a38297c499710a3eb8b50f,4670.503201138008,1395.969689221363,5006.122681848337,9676.625882986345,1.0,N114,geographic,2
no_participation,3,PASS,4,1439.5765240221822,114,51101.742094351204,0,"{""D0"": 2514.8153962411034, ""D1"": 2177.1593370742803}",2a60afaf9ebca064102ac617e1d945f3ce341fa3601109d1bd376e6457f2e6ac,4691.974733315384,1432.5055351287256,4984.651149670961,9676.625882986344,1.0,N114,geographic,2
simple_insertion,3,PASS,0,1398.8245260774895,114,51101.742094351204,0,"{""D0"": 2485.093798795696, ""D1"": 2259.8633940019013}",c29b833cfeb449ea512334faf8b610a3867b52d5a7967b240f5ce429aaa6735a,4744.957192797598,1390.087696481043,4931.668690188748,9676.625882986344,0.9543354256212266,N114,geographic,2
full,2,PASS,1,1424.7270019768166,114,50616.075888500294,0,"{""D0"": 2161.385096808936, ""D1"": 2393.038410207977}",bc117b31a654cd3cabcb7d34d5954cbb30aea465bd00346080667c6722fc917c,4554.4235070169125,1415.979528034433,5030.236623229505,9584.660130246419,1.0,N114,geographic,3
no_cooperation,2,PASS,0,1406.2032932124746,114,50616.075888500294,0,"{""D0"": 2297.983415906689, ""D1"": 2338.805896997755}",d8075b616edd6726062e7208d2de1d2b91d67817da3dbe1b0e1f123a988bb630,4636.789312904444,1399.5065730495617,4947.870817341976,9584.660130246419,0.9993523500039893,N114,geographic,3
no_participation,2,PASS,1,1349.567627607075,114,50616.075888500294,1,"{""D0"": 2135.341670894644, ""D1"": 2553.7469705162066}",43e956f760c2e5fe76d5a8e0d3afa810e480697d60637415e345d40b9da2d72b,4689.08864141085,1341.5057759439344,4895.571488835569,9584.660130246419,0.985665902068256,N114,geographic,3
simple_insertion,2,PASS,0,1409.717225975626,114,50616.075888500294,0,"{""D0"": 2297.983415906689, ""D1"": 2252.100682057106}",0c9917ef9da356b4fb53f84816a94f1a4503852c88424193fbe9b9211fb33d27,4550.084097963795,1403.020505812713,5034.576032282625,9584.660130246419,0.9631362380730683,N114,geographic,3
full,3,PASS,3,1543.843664199018,115,51141.867241071246,2,"{""D0"": 2279.857517007918, ""D1"": 2300.342072481071}",105a6679be517cadba0e4b155d2f6bb60b9a3f03821ed6d3d740eebe59327bce,4580.19958948899,1535.5287902041364,5104.024391280262,9684.223980769251,1.0,N114,geographic,4
no_cooperation,3,PASS,0,1461.4845005904017,115,51141.867241071246,0,"{""D0"": 2329.2164337622276, ""D1"": 2349.9560174103412}",dd1e4b06f09f1c0652470fa291f848b6ebc6e73b066f59da9bf583a91fbdfa47,4679.172451172569,1453.1275522005928,5005.051529596682,9684.223980769251,1.0,N114,geographic,4
no_participation,3,PASS,3,1543.843664199018,115,51141.867241071246,2,"{""D0"": 2279.857517007918, ""D1"": 2300.342072481071}",105a6679be517cadba0e4b155d2f6bb60b9a3f03821ed6d3d740eebe59327bce,4580.19958948899,1535.5287902041364,5104.024391280262,9684.223980769251,1.0,N114,geographic,4
simple_insertion,3,PASS,0,1461.875736564656,115,51141.867241071246,0,"{""D0"": 2329.2164337622276, ""D1"": 2345.746054477586}",b0492f3e409f5f7f817ec76eb5d245354174c6371354a0117febe07a18d9da04,4674.962488239813,1453.3090453080565,5009.261492529438,9684.223980769251,1.0,N114,geographic,4
full,1,PASS,2,944.3872018603695,114,50657.29413198773,0,"{""D0"": 2999.8667393457335, ""D1"": 2678.7728401409818}",82d719d0b8d825997a6f749eda4d8c521893a71990e2893275e7171e08971e60,5678.639579486715,939.16679385418,3913.8256373464806,9592.465216833196,1.0,N114,geographic,5
no_cooperation,1,PASS,0,944.3872018603695,114,50657.29413198773,0,"{""D0"": 2999.8667393457335, ""D1"": 2678.7728401409818}",82d719d0b8d825997a6f749eda4d8c521893a71990e2893275e7171e08971e60,5678.639579486715,939.16679385418,3913.8256373464806,9592.465216833196,1.0,N114,geographic,5
no_participation,1,PASS,2,900.934791323542,114,50657.29413198773,1,"{""D0"": 2968.748036867601, ""D1"": 2764.8174666918435}",bab361ac1b0f510c43d4a4ba7ee9069c4e700782943c28d3bc4453b439008e2b,5733.565503559445,895.7143833173525,3858.899713273752,9592.465216833196,0.9896266383869706,N114,geographic,5
simple_insertion,1,PASS,0,944.3872018603695,114,50657.29413198773,0,"{""D0"": 2999.8667393457335, ""D1"": 2678.7728401409818}",82d719d0b8d825997a6f749eda4d8c521893a71990e2893275e7171e08971e60,5678.639579486715,939.16679385418,3913.8256373464806,9592.465216833196,1.0,N114,geographic,5
full,3,PASS,2,1921.5794018118813,114,51033.01033670824,0,"{""D0"": 1834.4622174052429, ""D1"": 1984.357795000653}",11d8966d6aade747bbf756670340a8b75a0d41a2c23332f27e0dbd82df3a919c,3818.820012405896,1911.0919604129126,5844.790824953175,9663.61083735907,1.0,N114,historical_mixed,1
no_cooperation,3,PASS,0,1818.541211377072,114,51033.01033670824,0,"{""D0"": 2010.5007056157256, ""D1"": 2079.14967872719}",062f659fea35a9e9b527edd9529cfec00bff5643a43fb2f1ec7e86e3e5c806a7,4089.6503843429155,1809.3614130382223,5573.960453016154,9663.610837359069,1.0,N114,historical_mixed,1
simple_insertion,3,PASS,0,1818.541211377072,114,51033.01033670824,0,"{""D0"": 2010.5007056157256, ""D1"": 2079.14967872719}",062f659fea35a9e9b527edd9529cfec00bff5643a43fb2f1ec7e86e3e5c806a7,4089.6503843429155,1809.3614130382223,5573.960453016154,9663.610837359069,0.9955509252542215,N114,historical_mixed,1
full,3,PASS,2,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,1.0,N114,historical_mixed,2
no_cooperation,3,PASS,0,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,1.0,N114,historical_mixed,2
no_participation,3,PASS,2,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,1.0,N114,historical_mixed,2
simple_insertion,3,PASS,0,1789.5133242704617,114,51177.58109715464,0,"{""D0"": 2031.911575863745, ""D1"": 2225.6012106566945}",3fef8280cfa6a4d5b60d11e107c4f49f24e1327798547ef87d2be04c241b768d,4257.5127865204395,1779.1821398841369,5433.473970036762,9690.986756557202,0.976478437030331,N114,historical_mixed,2
full,2,PASS,1,1848.9764490816485,114,50616.075888500294,0,"{""D0"": 1909.762681035345, ""D1"": 1952.792223404375}",aa6ae3f81407ba3697cacfc4417d86b7d7f582f8ddf4ed1cf736eada6ecbb4bb,3862.55490443972,1840.4886040771746,5722.105225806696,9584.660130246415,1.0,N114,historical_mixed,3
no_cooperation,2,PASS,0,1834.908133235882,114,50616.075888500294,0,"{""D0"": 1842.680498177353, ""D1"": 1952.792223404375}",a6964c268b84089cdc71539bfebb5fadfa84e8aa9a4e6749288ba2989ea1352f,3795.472721581728,1826.7899053254819,5789.187408664686,9584.660130246415,1.0,N114,historical_mixed,3
simple_insertion,2,PASS,0,1834.908133235882,114,50616.075888500294,0,"{""D0"": 1842.680498177353, ""D1"": 1952.792223404375}",a6964c268b84089cdc71539bfebb5fadfa84e8aa9a4e6749288ba2989ea1352f,3795.472721581728,1826.7899053254819,5789.187408664686,9584.660130246415,0.9669874037909217,N114,historical_mixed,3
full,3,PASS,3,1934.1769928598887,114,50378.867241071246,0,"{""D0"": 1925.8671496253587, ""D1"": 2083.928967720984}",fcca834a40c837040e14c7709153abd0dcd0478f990432c2addb94ce37d01586,4009.7961173463427,1924.5544520586323,5529.946183422909,9539.742300769252,1.0,N114,historical_mixed,4
no_cooperation,3,PASS,0,1864.0463135232112,114,50378.867241071246,0,"{""D0"": 2075.6246742470394, ""D1"": 2089.7362207739075}",b01c0baf77b7ff57a034e7e24635245d392bd94c15112e3365a2b6b5da94f210,4165.360895020947,1854.216781499249,5374.381405748304,9539.74230076925,1.0,N114,historical_mixed,4
no_participation,3,PASS,3,1922.973982161022,114,50378.867241071246,2,"{""D0"": 1947.9120733867485, ""D1"": 2076.210315864552}",ccb798a7272c3aa440ab8f7490d41e0520ad1a672902e2397a96e1e3dd4951b0,4024.1223892513003,1913.355799799459,5515.619911517952,9539.742300769252,0.9963725979063214,N114,historical_mixed,4
simple_insertion,3,PASS,0,1835.0788258458253,114,50378.867241071246,0,"{""D0"": 2091.8826681142577, ""D1"": 2089.7362207739075}",933c57d75eb140363bd03b0b85ef9c02184272bac515c89e4c6f2edda57abafd,4181.618888888165,1825.2048745944107,5358.123411881085,9539.74230076925,0.9833094126237881,N114,historical_mixed,4
full,1,PASS,1,1322.3691788191609,114,50657.29413198773,0,"{""D0"": 3099.0715128497204, ""D1"": 2289.9239966528257}",b7e6f04f845ae312164c01ee9480c4fe6741913afc4016d6c3998f49946f3055,5388.995509502546,1315.1664257086159,4203.469707330651,9592.465216833196,1.0,N114,historical_mixed,5
no_cooperation,1,PASS,0,1322.3691788191609,114,50657.29413198773,0,"{""D0"": 3099.0715128497204, ""D1"": 2289.9239966528257}",b7e6f04f845ae312164c01ee9480c4fe6741913afc4016d6c3998f49946f3055,5388.995509502546,1315.1664257086159,4203.469707330651,9592.465216833196,1.0,N114,historical_mixed,5
no_participation,1,PASS,1,1322.3691788191609,114,50657.29413198773,0,"{""D0"": 3099.0715128497204, ""D1"": 2289.9239966528257}",b7e6f04f845ae312164c01ee9480c4fe6741913afc4016d6c3998f49946f3055,5388.995509502546,1315.1664257086159,4203.469707330651,9592.465216833196,1.0,N114,historical_mixed,5
simple_insertion,1,PASS,0,1322.3691788191609,114,50657.29413198773,0,"{""D0"": 3099.0715128497204, ""D1"": 2289.9239966528257}",b7e6f04f845ae312164c01ee9480c4fe6741913afc4016d6c3998f49946f3055,5388.995509502546,1315.1664257086159,4203.469707330651,9592.465216833196,1.0,N114,historical_mixed,5
full,3,PASS,3,2663.827309130476,221,97232.54246947868,0,"{""D0"": 4313.958967653648, ""D1"": 4789.5453707209645}",ffe23eae5c0d9dd8c550dcf0f605ce24dfc4ec58c3abe19c59bbdc548b92a43e,9103.504338374612,2648.112225926191,9308.449903645864,18411.954242020474,1.0,N221,geographic,1
no_cooperation,3,PASS,0,2664.0750262933393,221,97232.54246947868,0,"{""D0"": 4313.958967653648, ""D1"": 4789.966575252416}",a0442e177653fe2901ac525d50f8a53e691c489bdd9f22f1e6de9b2792df304b,9103.925542906065,2648.3599430890545,9308.028699114411,18411.954242020474,1.0,N221,geographic,1
no_participation,3,PASS,3,2663.827309130476,221,97232.54246947868,0,"{""D0"": 4313.958967653648, ""D1"": 4789.5453707209645}",ffe23eae5c0d9dd8c550dcf0f605ce24dfc4ec58c3abe19c59bbdc548b92a43e,9103.504338374612,2648.112225926191,9308.449903645864,18411.954242020474,1.0,N221,geographic,1
simple_insertion,3,PASS,0,2659.6463322121144,221,97232.54246947868,0,"{""D0"": 4313.958967653648, ""D1"": 4796.350403819631}",ebc352083ab2de4740b584b5fc5ead30587ccdfe786d8d16277364acad7ba790,9110.309371473279,2643.9312490078296,9301.644870547198,18411.954242020474,1.0,N221,geographic,1
full,3,PASS,5,2708.84809494837,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4844.1831604618665}",52e392e999f0cf39a4fd045e2f8b9e5b42cf8eccb8aca6b1c720b6fbef1e3948,9152.632782456647,2693.03986262451,9138.044482935524,18290.677265392165,1.0,N221,geographic,2
no_cooperation,3,PASS,0,2708.84809494837,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4844.1831604618665}",52e392e999f0cf39a4fd045e2f8b9e5b42cf8eccb8aca6b1c720b6fbef1e3948,9152.632782456647,2693.03986262451,9138.044482935524,18290.677265392165,1.0,N221,geographic,2
no_participation,3,PASS,5,2708.84809494837,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4844.1831604618665}",52e392e999f0cf39a4fd045e2f8b9e5b42cf8eccb8aca6b1c720b6fbef1e3948,9152.632782456647,2693.03986262451,9138.044482935524,18290.677265392165,1.0,N221,geographic,2
simple_insertion,3,PASS,0,2690.367327879773,221,96592.08526294978,0,"{""D0"": 4308.44962199478, ""D1"": 4845.777813867796}",3ee3209091523ecddcdf2f6a0b1de8fcf80f673cf69bb77f65819fbac858ceaf,9154.227435862576,2674.543870094348,9136.449829529596,18290.67726539217,1.0,N221,geographic,2
full,3,PASS,3,2636.7979435992715,221,96965.54982996854,0,"{""D0"": 4179.54987148522, ""D1"": 5072.223914029714}",a587c457081dd6a3e11ef1c8321fbceb635e9004180b174ce3efa8cb46f97882,9251.773785514935,2621.413042786131,9109.622730287905,18361.396515802837,1.0,N221,geographic,3
no_cooperation,3,PASS,0,2704.348370674582,221,96965.54982996854,0,"{""D0"": 4185.4738818732885, ""D1"": 4870.978280304146}",df48ded3085d154e019b34a8e8a0e417fc6c705b902cd0fbdfaf1c45128c1e52,9056.452162177435,2688.9634698614414,9304.944353625406,18361.39651580284,1.0,N221,geographic,3
no_participation,3,PASS,3,2636.7979435992715,221,96965.54982996854,0,"{""D0"": 4179.54987148522, ""D1"": 5072.223914029714}",a587c457081dd6a3e11ef1c8321fbceb635e9004180b174ce3efa8cb46f97882,9251.773785514935,2621.413042786131,9109.622730287905,18361.396515802837,1.0,N221,geographic,3
simple_insertion,3,PASS,0,2704.348370674582,221,96965.54982996854,0,"{""D0"": 4185.4738818732885, ""D1"": 4870.978280304146}",df48ded3085d154e019b34a8e8a0e417fc6c705b902cd0fbdfaf1c45128c1e52,9056.452162177435,2688.9634698614414,9304.944353625406,18361.39651580284,1.0,N221,geographic,3
full,3,PASS,5,2603.236317230919,221,97187.3498175205,2,"{""D0"": 4581.5928860884505, ""D1"": 4732.398642718408}",e87d1b427f798edcab92297a08f8712c464fed4285537269990b2b7117b7ecb0,9313.991528806859,2587.5887701730817,9089.405032638819,18403.396561445676,1.0,N221,geographic,4
no_cooperation,3,PASS,0,2561.7057297744614,221,97187.3498175205,0,"{""D0"": 4625.748229699067, ""D1"": 4844.342688198834}",b12eaf9ffb37d9773dedba53586c4a502321ed21c007c55a5b24a6d2498703a0,9470.090917897902,2546.001361097646,8933.305643547781,18403.396561445683,1.0,N221,geographic,4
no_participation,3,PASS,5,2603.236317230919,221,97187.3498175205,2,"{""D0"": 4581.5928860884505, ""D1"": 4732.398642718408}",e87d1b427f798edcab92297a08f8712c464fed4285537269990b2b7117b7ecb0,9313.991528806859,2587.5887701730817,9089.405032638819,18403.396561445676,1.0,N221,geographic,4
