arm,executable_stream_count,expected_stream_count,failed_stream_count,feasible_cross_candidate_count_sum,full_day_actual_total_emissions_kg_max,full_day_actual_total_emissions_kg_mean,full_day_actual_total_emissions_kg_min,full_day_cross_site_customer_count_mean,full_day_cross_site_customer_count_sum,full_day_net_profit_max,full_day_net_profit_mean,full_day_net_profit_min,minimum_stage_bilateral_profit_ratio,network,responsibility_condition
full,5,5,0,12,1543.843664199018,1372.0754092749653,944.3872018603695,0.4,2,5678.639579486715,4790.563894445704,4447.582062920522,1.0,N114,geographic
no_cooperation,5,5,0,0,1631.2834767804463,1369.185603380886,944.3872018603695,0.0,0,5678.639579486715,4854.656144938503,4608.176179990778,0.9993511183813906,N114,geographic
no_participation,5,5,0,12,1543.843664199018,1337.6254708655392,900.934791323542,1.4,7,5733.565503559445,4859.612615736215,4580.19958948899,0.9856386432107664,N114,geographic
simple_insertion,5,5,0,0,1631.2834767804463,1369.2176334517176,944.3872018603695,0.0,0,5678.639579486715,4851.36390769574,4550.084097963795,0.9543354256212266,N114,geographic
full,5,5,0,9,1934.1769928598887,1763.3230693686085,1322.3691788191609,0.0,0,5388.995509502546,4267.535866042989,3818.820012405896,1.0,N114,historical_mixed
no_cooperation,5,5,0,0,1864.0463135232112,1725.8756322451577,1322.3691788191609,0.0,0,5388.995509502546,4339.398459393715,3795.472721581728,1.0,N114,historical_mixed
no_participation,3,5,2,6,1922.973982161022,1678.285495083548,1322.3691788191609,0.6666666666666666,2,5388.995509502546,4556.876895091428,4024.1223892513003,0.9963725979063214,N114,historical_mixed
simple_insertion,5,5,0,0,1835.0788258458253,1720.0821347096803,1322.3691788191609,0.0,0,5388.995509502546,4342.650058167159,3795.472721581728,0.9669874037909217,N114,historical_mixed
full,5,5,0,19,2776.200731391235,2677.782079260054,2603.236317230919,0.4,2,9313.991528806859,9169.630282981496,9026.24897975443,1.0,N221,geographic
no_cooperation,5,5,0,0,2766.564929063288,2681.108430150808,2561.7057297744614,0.0,0,9470.090917897902,9150.240166751553,8968.099428319718,1.0,N221,geographic
no_participation,5,5,0,19,2776.200731391235,2677.782079260054,2603.236317230919,0.4,2,9313.991528806859,9169.630282981496,9026.24897975443,1.0,N221,geographic
simple_insertion,5,5,0,0,2759.0230666933576,2693.3470461614675,2653.3501333475097,0.0,0,9281.504763318995,9125.80700764222,9026.541305378803,0.996871700172344,N221,geographic
full,5,5,0,19,3509.4766155208,3452.894139624831,3375.867793496667,0.4,2,8005.45423701323,7828.080151587788,7495.176500625232,1.0,N221,historical_mixed
no_cooperation,5,5,0,0,3517.6597909357874,3454.411616197545,3375.867793496667,0.0,0,8005.45423701323,7818.985934484942,7495.176500625232,1.0,N221,historical_mixed
no_participation,5,5,0,19,3509.580594457782,3452.4437843787687,3375.9247679994423,0.4,2,8002.364341380266,7833.22430007246,7524.0539754148285,0.995636897310092,N221,historical_mixed
simple_insertion,5,5,0,0,3569.521831191502,3460.650497019432,3339.520849611483,0.0,0,7877.826630215286,7734.15561136256,7557.645812725291,0.9561305358541914,N221,historical_mixed
full,5,5,0,27,3843.7467332434708,3797.5439077809124,3768.884919510857,0.0,0,13960.358684620045,13844.895241690698,13754.406620416805,1.0,N322,geographic
no_cooperation,5,5,0,0,3843.7467332434708,3797.5439077809124,3768.884919510857,0.0,0,13960.358684620045,13844.895241690698,13754.406620416805,1.0,N322,geographic
no_participation,5,5,0,27,3843.7467332434708,3801.250762452409,3780.04470769773,0.2,1,13961.338240973377,13846.037558709015,13754.406620416805,0.9975809855381762,N322,geographic
simple_insertion,5,5,0,0,3843.372642896622,3797.991965813151,3768.884919510857,0.0,0,13960.358684620045,13833.08918813195,13726.346353074574,0.9992891133549205,N322,geographic
full,5,5,0,27,4640.794744049663,4557.508033889541,4518.498648631096,0.6,3,12391.60843478627,12260.668191481203,12099.981124173679,1.0,N322,historical_mixed
no_cooperation,5,5,0,0,4604.240039482099,4562.712090871438,4491.871494229532,0.0,0,12367.87552913787,12182.195783151288,11995.099840866229,1.0,N322,historical_mixed
no_participation,5,5,0,27,4627.9536384699995,4568.976352229167,4502.912954893166,3.2,16,12526.888856119533,12349.320842315867,12155.146588931822,0.9920447024892735,N322,historical_mixed
simple_insertion,5,5,0,0,4623.026707696701,4588.92042194338,4491.871494229532,0.0,0,12306.42413047159,12182.67712313271,11995.099840866229,0.99577023596406,N322,historical_mixed
