arm,checkpoint_status,condition,error,evaluations,execution_status,network,stages,stream,task_id
full,PRESENT_VALID,geographic,,50,PASS,N114,3,1,N114__geographic__stream1__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N114,3,1,N114__geographic__stream1__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N114,3,1,N114__geographic__stream1__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N114,3,1,N114__geographic__stream1__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N114,3,2,N114__geographic__stream2__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N114,3,2,N114__geographic__stream2__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N114,3,2,N114__geographic__stream2__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N114,3,2,N114__geographic__stream2__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N114,2,3,N114__geographic__stream3__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N114,2,3,N114__geographic__stream3__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N114,2,3,N114__geographic__stream3__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N114,2,3,N114__geographic__stream3__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N114,3,4,N114__geographic__stream4__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N114,3,4,N114__geographic__stream4__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N114,3,4,N114__geographic__stream4__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N114,3,4,N114__geographic__stream4__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N114,1,5,N114__geographic__stream5__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N114,1,5,N114__geographic__stream5__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N114,1,5,N114__geographic__stream5__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N114,1,5,N114__geographic__stream5__simple_insertion
full,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,1,N114__historical_mixed__stream1__full
no_cooperation,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,1,N114__historical_mixed__stream1__no_cooperation
no_participation,PRESENT_VALID,historical_mixed,,50,HALT_NO_EXECUTABLE_CONTINUATION,N114,1,1,N114__historical_mixed__stream1__no_participation
simple_insertion,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,1,N114__historical_mixed__stream1__simple_insertion
full,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,2,N114__historical_mixed__stream2__full
no_cooperation,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,2,N114__historical_mixed__stream2__no_cooperation
no_participation,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,2,N114__historical_mixed__stream2__no_participation
simple_insertion,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,2,N114__historical_mixed__stream2__simple_insertion
full,PRESENT_VALID,historical_mixed,,50,PASS,N114,2,3,N114__historical_mixed__stream3__full
no_cooperation,PRESENT_VALID,historical_mixed,,50,PASS,N114,2,3,N114__historical_mixed__stream3__no_cooperation
no_participation,PRESENT_VALID,historical_mixed,,50,HALT_NO_EXECUTABLE_CONTINUATION,N114,1,3,N114__historical_mixed__stream3__no_participation
simple_insertion,PRESENT_VALID,historical_mixed,,50,PASS,N114,2,3,N114__historical_mixed__stream3__simple_insertion
full,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,4,N114__historical_mixed__stream4__full
