stream_seed,condition,customer_count,base_customer_count,new_customer_count,base_owner_changes_from_geographic,new_owner_changes_from_nearest,d0_customer_count,d1_customer_count,ownership_path,ownership_sha256,status
1,geographic,243,221,22,0,0,132,111,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed1__geographic.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,PASS
1,historical_mixed,243,221,22,112,17,133,110,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed1__historical_mixed.csv,a8f730746da78f75de4c1e5dac9f90f7f840e906e8c7a176f9062c1b7587b614,PASS
2,geographic,243,221,22,0,0,133,110,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed2__geographic.csv,d50c8b3a67d9be1ea298b16ba15bb627afd6592dc2ded9942e73421e0a393451,PASS
2,historical_mixed,243,221,22,112,13,126,117,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed2__historical_mixed.csv,8ea04180b94d882aa390c6fd2fb51374ceb15be610507ccc83e25d26cbf5461e,PASS
3,geographic,243,221,22,0,0,133,110,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed3__geographic.csv,1e54dc314b43747ea01e8c40d71be58a02c6a5cc286eabdfaaa73b4e67b27855,PASS
3,historical_mixed,243,221,22,112,9,132,111,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed3__historical_mixed.csv,67fda548bfd977e0fc5992f3384bb3b9a637fda9d33195ca37f8df6322ee062c,PASS
4,geographic,243,221,22,0,0,131,112,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed4__geographic.csv,e8069e607643fdb52869f37bd90881a3ce5a73de67cb87495b8e067502ecd13a,PASS
4,historical_mixed,243,221,22,112,12,133,110,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed4__historical_mixed.csv,ef9a899f53f72abf946d39a19ead5851185bc90f3e8c49a789cee41178f64345,PASS
5,geographic,243,221,22,0,0,129,114,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed5__geographic.csv,9d1b1aeee60c71c7fcfb127820e91be9cc0094a8a7ce0894689c869eeeb4f5f4,PASS
5,historical_mixed,243,221,22,112,13,134,109,baselines/e7_dynamic/e7_responsibility_scenario_design_20260714/ownership_maps/stream_seed5__historical_mixed.csv,9ed7a997c418fbb73fd59752324ed9a0bfc11e888b3a0c7fc16f7f1836bbc286,PASS
