event_id	event_type	t_appear	customer_id	old_demand	new_demand	x	y	delta_demand	old_ready_time	old_due_time	new_ready_time	new_due_time	time_window_action	demand_source	time_window_source	donor_instance_id	donor_customer_id	new_service_time	service_time_source	source	seed
1	cancel	2381.970953031277	C146	562.0	0.0	-2504.21	1645.14	-562.0	35422.0	55565.0	35422.0	55565.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
2	add	3309.8745990333464	N_S1_001	0.0	408.0	-64512.0	-5973.79	408.0	65892.0	85549.0	65892.0	85549.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C409	816.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
3	add	3502.364276284161	N_S1_002	0.0	238.0	32560.07	10383.38	238.0	65488.0	84482.0	65488.0	84482.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C437	476.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
4	demand_change	3850.7858490617864	C185	728.0	797.1099217304549	-86685.24	33703.65	69.10992173045486	34636.0	54655.0	34636.0	54655.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
5	demand_change	6860.201637249754	C026	429.0	397.50634295923624	61491.0	32557.52	-31.493657040763765	2302.0	21778.0	2302.0	21778.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
6	add	8783.176773748888	N_S1_003	0.0	313.0	-26125.13	31466.49	313.0	66437.0	86362.0	66437.0	86362.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C432	626.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
7	demand_change	8886.5277733935	C192	575.0	651.5158687801069	60990.05	22532.0	76.51586878010687	34989.0	54668.0	34989.0	54668.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
8	cancel	11187.007859090007	C122	153.0	0.0	26426.5	12339.32	-153.0	34462.0	53036.0	34462.0	53036.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
9	demand_change	11597.73017135447	C219	253.0	220.3974186049213	-40150.32	-1907.89	-32.60258139507869	65620.0	84288.0	65620.0	84288.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
10	demand_change	12629.586082922457	C207	352.0	390.8690463435838	-25550.31	-26459.78	38.86904634358382	67622.0	86353.0	67622.0	86353.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
11	add	13954.967705071836	N_S1_004	0.0	420.0	-32741.54	-60379.31	420.0	35717.0	55474.0	35717.0	55474.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C235	840.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
12	cancel	15095.18880680182	C120	645.0	0.0	56555.37	20303.65	-645.0	33386.0	53423.0	33386.0	53423.0	none	frozen_base_customer	frozen_base_customer				existing_customer	frozen_e3_base_overlay	1
13	add	16728.453437103773	N_S1_005	0.0	380.0	-38103.4	1514.02	380.0	4944.0	24132.0	4944.0	24132.0	none	frozen_sister_bundle_exact	frozen_sister_bundle_exact	L-main-threeshift-200c-01	C008	760.0	frozen_sister_bundle_exact	frozen_e3_sister_bundle_overlay	1
