arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,initial_type_trial_count,changed_candidate_count,search_exact_check_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,26,4590.539044823395,6309.636834938572,6,True,1,389,389,5,3,400,8.29300033301115,True,True
cooperative,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,16,35,6370.562160955028,9201.895383783058,42,False,0,400,400,1,1,400,23.497486584004946,True,True
cooperative,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,26,5101.121916889724,9357.462957080104,39,True,1,380,380,3,3,400,12.556191959010903,True,True
cooperative,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,27,28,5275.074759083997,9621.085365252737,38,True,1,387,387,3,3,400,8.289374374959152,True,True
cooperative,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38;39,,8,35060.1556284928,4109.382976418128,27,31,5673.08411280658,10019.09471897532,37,True,1,386,386,2,2,400,7.351876959030051,True,True
cooperative,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;45;46;47,44,8,40386.33844900012,5326.182820507318,32,28,4451.49366798583,10398.303793654864,21,True,1,386,386,1,1,400,4.6017555829603225,True,True
cooperative,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,49;50;51;52;53;54;55,48,8,,,35,27,4021.333101854123,10703.342895104379,15,True,1,386,386,1,1,400,5.087865624984261,,True
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,4896.986981885955,6463.869646758878,0,True,1,400,400,3,3,400,6.642227125004865,True,True
independent,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,17,33,5418.200296890512,8382.466572080895,0,False,0,400,400,1,1,400,11.67934954201337,True,True
independent,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,24,4316.725760424883,8549.279988310616,0,True,1,400,400,5,5,400,12.221283457998652,True,True
independent,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,27,25,4357.104082966857,8635.975880683822,0,True,1,400,400,4,3,400,8.512129125010688,True,True
independent,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38,39,8,35060.1556284928,4109.382976418128,28,26,4236.339964004557,8899.390854426701,0,True,1,400,400,2,2,400,5.595972250041086,True,True
independent,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;44;45;46;47,,8,40386.33844900012,5326.182820507318,31,25,3864.982167479617,9312.967070136307,0,True,1,400,400,2,2,400,4.075610457977746,True,True
independent,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,49;50;51;52;53;54;55,48,8,,,37,21,3092.823288274906,9734.42758161624,0,True,1,400,400,2,2,400,2.8258314169943333,,True
