arm,stream_seed,stage,trigger_second,event_count,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,changed_candidate_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,customer_accounting_pass
cooperative,1,1,2381.970953031277,1,5,28,4836.527586043295,5817.011679870668,4,True,395,0,0,400,10.369998750044033,True
cooperative,1,2,3309.8745990333464,1,5,28,4846.770522696242,5841.968046722952,4,True,400,48,15,400,7.885704499960411,True
cooperative,1,3,3502.364276284161,1,5,28,4847.615146175585,5842.812670202295,4,True,399,64,31,400,15.777736666961573,True
cooperative,1,4,3850.7858490617864,1,5,29,5025.534476284338,6020.732000311047,4,True,396,101,101,400,9.117977207992226,True
cooperative,1,5,6860.201637249754,1,7,27,4670.096050223537,6020.336294664174,4,True,398,42,16,400,6.233499083027709,True
cooperative,1,6,8783.176773748888,1,8,26,4409.017525287643,6035.420713334822,4,True,397,52,24,400,6.463427958020475,True
cooperative,1,7,8886.5277733935,1,8,26,4406.755663713932,6033.158851761111,4,True,396,87,21,400,6.621384500002023,True
cooperative,1,8,11187.007859090007,1,8,26,4401.006301916901,6033.541714313229,4,True,383,0,0,400,7.839677500014659,True
cooperative,1,9,11597.73017135447,1,9,25,4224.993624258895,6030.305077095069,4,True,397,80,29,400,6.79974291700637,True
cooperative,1,10,12629.586082922457,1,9,25,4217.998105200019,6029.259243618509,4,True,396,52,14,400,7.8564364580088295,True
cooperative,1,11,13954.967705071836,1,10,24,4006.6855416094713,6073.778923449739,2,False,400,3,2,400,26.013742082985118,True
cooperative,1,12,15095.18880680182,1,11,23,3897.0277113979027,6073.596846074299,2,True,400,0,0,400,5.691461584006902,True
cooperative,1,13,16728.453437103773,1,16,18,3130.482219526746,6090.679937181743,2,True,400,28,28,400,2.88495483295992,True
cooperative,1,14,17449.758092209107,1,17,17,3024.3559338658297,6099.51808044716,2,True,400,41,18,400,3.3135043749934994,True
cooperative,1,15,17463.155806373295,1,17,17,3068.8527457664777,6144.014892347808,2,True,400,74,23,400,3.2521037500118837,True
cooperative,1,16,18268.528292814102,1,18,16,2892.7998200473403,6147.340081037979,1,True,400,43,12,400,3.213193457981106,True
cooperative,1,17,18571.520158499825,1,19,15,2743.27225799622,6148.038879418818,1,True,400,86,17,400,2.8169831670238636,True
cooperative,1,18,19226.828176132614,1,21,13,2360.531717834533,6148.011150903067,1,True,400,71,27,400,2.493056458013598,True
cooperative,1,19,20011.041736686784,1,23,11,2046.437928344659,6182.054437618617,1,True,400,60,17,400,2.1097047079820186,True
cooperative,1,20,21199.2840755726,1,23,11,2046.2799713633954,6181.896480637353,1,True,400,74,14,400,2.216764000011608,True
cooperative,1,21,21687.035151893822,1,23,11,2042.9582721371376,6178.574781411096,1,True,400,0,0,400,3.50850287504727,True
cooperative,1,22,21805.434944134864,1,23,11,2042.8913278393184,6178.507837113277,1,True,400,63,14,400,2.1659862920059822,True
cooperative,1,23,21927.621863159293,1,25,9,1788.6792477925846,6177.704067154415,1,True,400,27,0,400,2.962668708001729,True
cooperative,1,24,22135.442264735328,1,25,9,1792.632429950369,6181.6572493121985,1,True,400,98,14,400,1.985113833041396,True
cooperative,1,25,22414.085676799084,1,25,9,1793.4873566998726,6182.512176061702,1,True,400,111,10,400,2.276537708006799,True
cooperative,1,26,23140.3263957274,1,25,9,1793.4472172929654,6182.472036654795,1,True,400,96,16,400,2.1090772909810767,True
cooperative,1,27,23466.096512047756,1,25,9,1793.5627074784807,6182.587526840311,1,True,400,90,20,400,1.9304192090057768,True
cooperative,1,28,23497.29584277139,1,26,8,1614.234940467036,6181.736715660434,1,True,400,99,21,400,1.9519278340158053,True
cooperative,1,29,24624.662127310774,1,26,8,1613.5388722923308,6181.040647485729,1,True,400,17,0,400,3.026180832996033,True
cooperative,1,30,25005.13396686159,1,26,8,1613.5475364092406,6181.049311602639,1,True,400,114,27,400,1.9891248329658993,True
cooperative,1,31,25060.40779036161,1,26,8,1613.5370777167761,6181.038852910175,1,True,400,102,13,400,2.0805756250047125,True
cooperative,1,32,25222.983437176637,1,26,8,1615.9544915230308,6183.456266716429,1,True,400,88,19,400,1.9121133330045268,True
cooperative,1,33,28221.48042217908,1,26,8,1615.9321527288662,6183.433927922264,1,True,400,49,20,400,1.8241012079524808,True
cooperative,1,34,28384.00908993048,1,26,8,1622.004507924965,6189.506283118363,1,True,400,91,16,400,1.8236036250018515,True
cooperative,1,35,29494.224829111754,1,26,8,1711.4458079807646,6278.947583174163,1,True,400,25,11,400,1.8361489590024576,True
cooperative,1,36,29507.495604917145,1,26,8,1711.3841168211038,6278.885892014502,1,True,400,63,18,400,1.9824893749901094,True
cooperative,1,37,29811.136005752473,1,26,9,1842.935858731887,6410.437633925285,1,True,400,102,102,400,1.8632744579808787,True
cooperative,1,38,30211.313766837473,1,26,9,1834.7590145509532,6402.260789744351,1,True,400,0,0,400,2.9670862919883803,True
cooperative,1,39,30950.772652074673,1,26,9,1834.7162174079608,6402.21799260136,1,True,400,75,12,400,1.90078208304476,True
cooperative,1,40,32117.939676621525,1,26,9,1835.5439921076472,6403.045767301046,1,True,400,67,16,400,2.1372764999978244,True
cooperative,1,41,32425.848871205668,1,26,9,1809.9151535558246,6402.9046424298285,1,True,400,57,21,400,1.7140961249824613,True
cooperative,1,42,32628.515444086355,1,26,9,1908.935938427722,6501.925427301726,2,True,389,28,15,400,1.7726740410435013,True
cooperative,1,43,33163.077144911294,1,27,9,1856.9259744605715,6700.010564844413,2,True,388,101,101,400,1.8134574170107953,True
cooperative,1,44,33619.35934592201,1,27,9,1856.5501871636154,6699.634777547457,2,True,371,9,0,400,2.8065250409999862,True
cooperative,1,45,34060.49225566274,1,27,9,1856.5802186351038,6699.664809018946,2,True,390,91,23,400,1.987656583019998,True
cooperative,1,46,34431.787754505836,1,27,6,1436.1862378060373,6279.2708281898795,9,True,215,124,33,400,1.8440193749847822,True
cooperative,1,47,35060.1556284928,1,27,6,1373.032153121018,6216.116743504859,6,True,198,117,21,400,1.522520833008457,True
cooperative,1,48,35608.06660443097,1,27,6,1356.1015298708032,6199.186120254645,6,True,183,96,10,400,1.4825283749960363,True
cooperative,1,49,36470.783552342626,1,27,6,1494.3929116285385,6337.47750201238,6,True,321,95,24,400,0.9649100830429234,True
cooperative,1,50,36614.6621025152,1,27,7,1421.8894545479848,6264.974044931827,1,True,285,150,124,400,1.025040541018825,True
cooperative,1,51,38568.81001476299,1,28,6,1189.5272044223289,6266.965545066629,1,True,277,116,20,400,1.2109685000032187,True
cooperative,1,52,39191.93205587032,1,28,6,1188.2051373123252,6265.643477956625,1,True,279,140,16,400,1.1088240829994902,True
cooperative,1,53,39372.68102317362,1,28,6,1188.2388846042172,6265.677225248517,1,True,292,168,22,400,1.2697595829959027,True
cooperative,1,54,40343.13966749821,1,28,6,1182.5505924004335,6259.988933044734,1,True,288,147,13,400,1.1265637499745935,True
cooperative,1,55,40386.33844900012,1,28,6,1183.008869319563,6260.447209963863,1,True,281,69,15,400,1.1445708340033889,True
independent,1,1,2381.970953031277,1,6,28,4988.170458332476,6059.75111325167,0,True,400,0,0,400,9.380449208023492,True
independent,1,2,3309.8745990333464,1,6,28,4995.069981835714,6066.650636754908,0,True,400,47,19,400,11.137109040981159,True
independent,1,3,3502.364276284161,1,6,28,4995.732337091341,6067.312992010535,0,True,400,102,60,400,7.418268334004097,True
independent,1,4,3850.7858490617864,1,6,28,4995.682395538325,6067.263050457519,0,True,400,37,37,400,6.772073749976698,True
independent,1,5,6860.201637249754,1,8,26,4610.804431760806,6067.263050457519,0,True,400,69,26,400,5.974926916998811,True
independent,1,6,8783.176773748888,1,8,26,4603.563167724009,6076.844432338628,0,True,400,37,21,400,8.22236520901788,True
independent,1,7,8886.5277733935,1,8,26,4603.587207355723,6076.868471970343,0,True,400,80,27,400,6.026396124972962,True
independent,1,8,11187.007859090007,1,9,25,4413.362720673528,6073.87021767931,0,True,400,0,0,400,7.342608416976873,True
independent,1,9,11597.73017135447,1,10,24,4188.279233067059,6073.395268691165,0,True,400,62,25,400,5.4151444580056705,True
independent,1,10,12629.586082922457,1,13,21,3757.762987685819,6073.484980646235,0,True,400,25,17,400,4.262696709018201,True
independent,1,11,13954.967705071836,1,14,21,3623.3708353512893,6215.487932726043,0,True,400,107,107,400,4.359220540965907,True
independent,1,12,15095.18880680182,1,14,21,3612.634257171162,6215.325646100034,0,True,400,0,0,400,4.808706082985736,True
independent,1,13,16728.453437103773,1,15,20,3499.081225253737,6231.258230513022,0,False,400,1,1,400,8.644029374991078,True
independent,1,14,17449.758092209107,1,18,17,3134.5925952902194,6240.0963737784405,0,True,400,24,16,400,2.6531967089977115,True
independent,1,15,17463.155806373295,1,18,17,3135.5922312992357,6241.096009787458,0,True,400,45,44,400,2.6363249159767292,True
independent,1,16,18268.528292814102,1,19,16,3055.264256316952,6268.179041076783,0,True,400,17,17,400,2.3004669999936596,True
independent,1,17,18571.520158499825,1,20,15,2843.687012889208,6268.393065132127,0,True,400,64,31,400,2.2707514579524286,True
independent,1,18,19226.828176132614,1,20,15,2843.687012889208,6268.393065132127,0,True,400,36,36,400,2.2043533329851925,True
independent,1,19,20011.041736686784,1,21,14,2595.2917755045264,6268.427676950621,0,True,400,71,16,400,2.055890834017191,True
independent,1,20,21199.2840755726,1,23,12,2209.1840403830624,6268.269925305336,0,True,400,94,21,400,1.9227232919656672,True
independent,1,21,21687.035151893822,1,23,12,2205.849638914838,6264.935523837112,0,True,400,0,0,400,2.661568209005054,True
independent,1,22,21805.434944134864,1,23,12,2205.7624976807347,6264.848382603008,0,True,400,85,15,400,1.7616664579836652,True
independent,1,23,21927.621863159293,1,23,12,2203.702820248438,6262.788705170711,0,True,400,0,0,400,2.5577509999857284,True
independent,1,24,22135.442264735328,1,23,13,2296.863224404462,6355.949109326735,0,True,400,112,112,400,2.1115872079972178,True
independent,1,25,22414.085676799084,1,24,12,2157.1337442830572,6362.815717322157,0,True,400,20,20,400,1.7147004169528373,True
independent,1,26,23140.3263957274,1,24,12,2157.09360487615,6362.77557791525,0,True,400,32,19,400,1.7032372500398196,True
independent,1,27,23466.096512047756,1,24,12,2172.0229267436266,6377.704899782726,0,False,400,2,2,400,3.1697012910153717,True
independent,1,28,23497.29584277139,1,24,12,2170.686095110808,6376.368068149908,0,True,400,94,38,400,1.8003414999693632,True
independent,1,29,24624.662127310774,1,25,11,2059.038710527526,6374.624820986786,0,True,400,0,0,400,2.8207572500105016,True
independent,1,30,25005.13396686159,1,25,11,2058.4746171472493,6374.060727606509,0,True,400,91,31,400,1.8754727919586003,True
independent,1,31,25060.40779036161,1,25,11,2058.4677052772613,6374.053815736522,0,True,400,102,29,400,1.9755984169896692,True
independent,1,32,25222.983437176637,1,25,11,2058.6152576306476,6374.201368089908,0,True,400,90,32,400,1.863291500019841,True
independent,1,33,28221.48042217908,1,25,11,2058.605406350643,6374.191516809904,0,True,400,61,26,400,1.6448811249574646,True
independent,1,34,28384.00908993048,1,25,11,2070.989007611309,6386.575118070569,0,True,400,32,25,400,1.8272523329942487,True
independent,1,35,29494.224829111754,1,25,11,2094.665185332004,6410.251295791264,0,True,400,37,13,400,1.8591583330417052,True
independent,1,36,29507.495604917145,1,25,11,2094.6034941723433,6410.189604631603,0,True,400,68,33,400,1.854083875019569,True
independent,1,37,29811.136005752473,1,25,12,2213.5013757502,6529.087486209461,0,True,400,102,102,400,2.0008424590341747,True
independent,1,38,30211.313766837473,1,25,12,2205.324531569266,6520.910642028526,0,True,400,0,0,400,2.923802166013047,True
independent,1,39,30950.772652074673,1,25,12,2205.269374849396,6520.855485308657,0,True,400,61,25,400,1.863866625004448,True
independent,1,40,32117.939676621525,1,25,12,2205.877942826574,6521.464053285834,0,True,400,64,16,400,1.9672054999973625,True
independent,1,41,32425.848871205668,1,25,12,2205.7332051029825,6521.319315562243,0,True,400,57,23,400,1.9487860419903882,True
independent,1,42,32628.515444086355,1,25,12,2273.983824885742,6589.569935345002,0,True,400,9,9,400,1.7921525000128895,True
independent,1,43,33163.077144911294,1,27,11,1913.7698262043496,6787.655072887689,0,True,400,101,101,400,1.6581055419519544,True
independent,1,44,33619.35934592201,1,27,11,1913.6488900963666,6787.534136779706,0,True,400,0,0,400,2.333244916982949,True
independent,1,45,34060.49225566274,1,27,11,1913.6666359654362,6787.551882648776,0,True,400,78,23,400,1.6889203749597073,True
independent,1,46,34431.787754505836,1,27,11,1911.9226314164196,6785.807878099759,0,True,400,0,0,400,2.2852687500417233,True
independent,1,47,35060.1556284928,1,28,10,1683.8202969040915,6785.6024764481235,0,True,400,0,0,400,2.0634122919873334,True
