arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,dynamic_added_customer_count,dynamic_added_cross_site_customer_count,dynamic_added_cross_site_customer_ids,active_customer_count,committed_customer_count,future_customer_count,asset_state_count,asset_states_sha256,locked_routes_sha256,locked_charging_actions_sha256,active_customer_ids_sha256,committed_customer_ids_sha256,future_customer_ids_sha256,stage_solution_sha256,stage_certificate_sha256,stage_certificate_status,initial_continuation_feasible,initial_type_trial_count,changed_candidate_count,search_exact_check_count,executable_candidate_count,accepted_candidate_count,evaluations,stage_search_seed,operator_pairs,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,4947.918958146791,6514.801623019714,1,3,0,,223,50,173,20,d08320d012b3e3afcd12cc9e265ceecba890cb63338dc48644ed5a8eb32f3daa,337b52e0fe0839d841e446f953ec365bd30023362eb726b0479cc984cc0d4805,5f113f8455ccf0d545ddfff8f2b7292d988f7684ba2b53e363d0f46e9c32d425,c6c521c820c2f12ceee1416ae0c1203ebb64392e94adfb8de4bbee0e3407cd24,9dde89658431f7b3a209571e9ca2b1e70f8a532c89fdaa84b7742b2f1e251351,e6fa9f95a9bc9b108a4c0ff5b25a67b06453e51305223afcb88b573ea052da85,a527d893d3502ca5487d2cc3724bbecff537e91c5f15709c43d5348698a47869,dab4cce6d9a0478ce7435bed095cf2255c71bf0be3325ace43fb70be2cc7be5c,PASS,True,1,400,400,3,3,400,1001,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,9.131873834005091,True,True
cooperative,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,18,32,5691.210236799474,8784.153252989245,44,7,3,N_S1_002;N_S1_004;N_S1_007,225,108,117,20,7f4fe7de247d152519f2d7ccb1d5dabdba00621a0fe932af2875ac3f667d1614,1170995200435e31538a9b9463754b4286330c2504d54c032666aa4db957436e,ff2e78fe064a96334b817deaf611ebed79859bed94a6e808892533c78a14a00c,998965905fed3a538e4d60f916e8af3a87c0c826bf6ff4a6ce8e97663a3997bf,c4636db825d144111e356313839bfae447248a5ea890074d27188c364ebc29d3,9eb6b3f9234c522efca276c5707c16380abf08e92db67b3292a0f08e03b261c4,4f70b69a83492195780fc305396596aac7fae1fb077e374be95f6aa751d18275,2ce6435b0d49606dbfac802377ce40eca31ac499cfc72f11dbaee24f117736b3,PASS,False,0,400,400,1,1,400,1002,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,21.313371040974744,True,True
cooperative,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,25,4736.6920952978335,9014.59440967195,43,9,3,N_S1_002;N_S1_004;N_S1_007,225,124,101,20,6c70f75f98207e25d1849ae0b62bbdd80c9d7b1ac841966e3ba8dd7b3aaad6d7,463c3db8f3e58ac2a19c2a7ed44550356dfa0895027086408b68ff15b343544f,cd8cb21cbdee067b74cd284775b32e80045507911310304862169e36f69012ed,c446be69a9dfe60bae2da2f732cae6b97b88f159d4480c909a138f6803eea97b,67328c4657d2c5b26c451bdf69fb0789f3f6e07ad67bd3426cd1cbaf3b1cac38,7faecd59c96dc95017a844d722c2b9033f7f9416eaac1c2f7dd8bb404e5657db,556766f5152374c36b3c7a1ccd52e640b7289f9efa35f323187d1b008da3ad8b,b852126a9667d5645103c94dc1640c89c7bb55a1bc6011b7f384284e3a940143,PASS,True,1,391,391,1,1,400,1003,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,86.27606691699475,True,True
cooperative,1,4,25060.40779036161,q_bar,24;25;26;27;28;29;30;31,add;add;demand_change;demand_change;demand_change;cancel;demand_change;demand_change,24;25;26;27;28;29;30;31,,8,30950.772652074673,5890.364861713064,27,26,4971.902574953273,9274.226682548782,42,11,3,N_S1_002;N_S1_004;N_S1_007,226,124,102,20,3363e367ba5f37347d14bd137cc88f9aef85d38de202ff9d816f14ce971d0e91,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,084daf32cf54f093d51a4cd5fc5c73637c0d32fd391e010a00683cadb47810b9,72a81b30a486440df42846c894bdb1613c08c4856436abe725e7b93cf8cedfd8,67328c4657d2c5b26c451bdf69fb0789f3f6e07ad67bd3426cd1cbaf3b1cac38,a7098efb28c426abc094bc10ba8a2ed717c4bc763babd2571637bf68c6694d76,f92d92340ef772d0382ede4f496ac26ac0354aa20a38bb6b5f4eae871abc5f97,6848a54291f486e43fde64043763fc573b4a277708586eafb74e25fd150978aa,PASS,True,1,388,388,2,2,400,1004,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,8.407790583034512,True,True
cooperative,1,5,30950.772652074673,q_bar,32;33;34;35;36;37;38;39,add;demand_change;add;add;demand_change;add;cancel;demand_change,32;33;34;35;36;37;38;39,,8,35060.1556284928,4109.382976418128,29,25,4530.266719780685,9547.752278619628,32,15,5,N_S1_002;N_S1_004;N_S1_007;N_S1_014;N_S1_015,229,140,89,20,19d19475daf57ef090fbf7ef51b831bb043989b3524bab5ec888f4cda88e3b51,62107e4768b7fa00d0a7e7acd3d3a446bbe1d419169cd092b9cbb5d2bd9cfe7f,296698afbc88e6d60e14e45b176d0d453b0baf6ac7160cdab33c960416a4c1ba,94fe83be898a83ea48f81f5f5fc9a600b58e9b13301c2bbaf06ec9f7b6dce777,e7048fbec91fc66bc36168ed30c3af859230f05a74edc451636159cb60d6ff06,10b019367f6bcf52cbb58302569996e0c67daf3d7339d9d65f3b2ddea61a3fc6,d3938b070f245f7904c53de0511bed6f41a6f1119fa696582c1db5f6a05b8267,65a04d221502609526728c4487af182b9382213f32fa74681f6cd356a1a9b2c2,PASS,True,1,389,389,1,1,400,1005,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,6.4783019999740645,True,True
cooperative,1,6,35060.1556284928,q_bar,40;41;42;43;44;45;46;47,add;demand_change;add;add;cancel;demand_change;cancel;cancel,40;41;42;43;44;45;47,46,8,40386.33844900012,5326.182820507318,33,23,3619.145944785073,9852.513253946265,27,18,4,N_S1_001;N_S1_003;N_S1_004;N_S1_007,230,156,74,20,ad28a3c97761ad8181ea22492215db6d0fbf90b7e8a75a4253cd6281c6809de1,b17e8e30f4dc6fae2fd3d6136d7f1c1da32056ab8a99f041643480d29d8239a3,296698afbc88e6d60e14e45b176d0d453b0baf6ac7160cdab33c960416a4c1ba,2c584e659e9b929636be64409c21fda7036f046cf545637381cf0f0474a61f76,39528dbfe69bc7820f6d9ea0722b04e335674b62ee0c3cd915d746c3f0c6cb9d,e241688805959ae0137600f546c298e941340e9c95a9cbfb56504c0ee834ea0b,76c5f0fa01a69319ae7123b250438d397362be4c1d2de8231a7cbca017cd3010,957473a73ee89f44ca0f160ae2b84b13439b680c93c2516100f56b60be827fad,PASS,False,0,400,400,3,2,400,1006,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,10.027185791986994,True,True
cooperative,1,7,40386.33844900012,q_bar,48;49;50;51;52;53;54;55,cancel;add;add;add;demand_change;demand_change;demand_change;add,49;50;51;52;53;54;55,48,8,,,38,20,2965.2824241165963,10078.692029821472,13,22,7,N_S1_003;N_S1_004;N_S1_007;N_S1_014;N_S1_016;N_S1_017;N_S1_022,234,179,55,20,554087bcb93dc371d0c848242b69aec8753968ef96075efc64113200dd9f43e3,9ac0be7dea6e4a7f8dbe193fe5f7216d09d66e6753bc1486adaac2a77d8a8b1d,85fb940a413b6f0410b06f0323174cbaecb0081e58fdd7aa253ea449510b0d88,c1bf4cb32a6817ab6a123da1f66003d2eec171ef27417d72ef3c88f6db67dfe7,aae7b7c386a9049d81843649a2630ae69553a28ea2042c52f3963b1da60f1908,d9d83a19ff946963dd2756cf796506e131773b5549749fc287d92718f5de6bb6,e3a42028225195dbed8ade76f9b60d8298a407f84c4cc5091555a398006e32c4,b8bf78455974edd5af0933e7d1c3ef27a21ffe9deff09690695c61e3e44ba928,PASS,False,0,400,400,1,1,400,1007,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,7.869578375015408,,True
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,4896.986981885955,6463.869646758878,0,3,0,,223,50,173,20,d08320d012b3e3afcd12cc9e265ceecba890cb63338dc48644ed5a8eb32f3daa,337b52e0fe0839d841e446f953ec365bd30023362eb726b0479cc984cc0d4805,5f113f8455ccf0d545ddfff8f2b7292d988f7684ba2b53e363d0f46e9c32d425,c6c521c820c2f12ceee1416ae0c1203ebb64392e94adfb8de4bbee0e3407cd24,9dde89658431f7b3a209571e9ca2b1e70f8a532c89fdaa84b7742b2f1e251351,e6fa9f95a9bc9b108a4c0ff5b25a67b06453e51305223afcb88b573ea052da85,ba9c415f0ab7add2b5423027f8fe162c37b143a9e48544d5454d1b0a88b44f90,9edfc56724f12940e0607dcce22786c6bb3cd32f12ac6f770f72c500e1c0a901,PASS,True,1,400,400,3,3,400,1001,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,7.098923459008802,True,True
independent,1,2,17463.155806373295,q_bar,8;9;10;11;12;13;14;15,cancel;demand_change;demand_change;add;cancel;add;add;add,8;9;10;11;12;13;14;15,,8,21927.621863159293,4464.466056785997,17,33,5418.200296890512,8382.466572080895,0,7,0,,225,107,118,20,f344eba15c465bbd8ebf546c664b4f493b08c31797cfb8f46d6006f67fea5ca2,7275fbb3d747bcee7ac245ecb0a965fdb511951f56d745f050f6dc20d8012207,dbd863e73d3b42fd9f4f28fadee28ac0871ced74a204429acac76379b14117c2,998965905fed3a538e4d60f916e8af3a87c0c826bf6ff4a6ce8e97663a3997bf,110757c5b5aa5736897705f69b7a572c4e26bd1acc8ef3c4b4dff5d7dcc72fc3,9431f8aae34261feb71b96a715c673c163939119b34419d9111a5f6a21f71093,022a6477f4bda4aeb77d42dbd61ad24f9ca3fdbab54d88fbe9036b3251df6723,5f9c675a3f695ebd42db624132968313f50523c07bb522965d025e5895159816,PASS,False,0,400,400,1,1,400,1002,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,11.265049374953378,True,True
independent,1,3,21927.621863159293,q_bar,16;17;18;19;20;21;22;23,add;add;demand_change;demand_change;demand_change;cancel;demand_change;cancel,16;17;18;19;20;21;22;23,,8,25060.40779036161,3132.785927202316,27,24,4316.725760424883,8549.279988310616,0,9,0,,225,124,101,20,9c02018a57fd2697c5dd2376f037eeb6f6e79c6ee281c8438a48b2303b6bcfb5,9af609532bfcb86fff3c93018294c567d335183f814be9884ea944bb335bc690,2a6500dff0815c648c7a8331b66dd36b721f9ddf14c5c96407326aa0f6f2aada,c446be69a9dfe60bae2da2f732cae6b97b88f159d4480c909a138f6803eea97b,67328c4657d2c5b26c451bdf69fb0789f3f6e07ad67bd3426cd1cbaf3b1cac38,7faecd59c96dc95017a844d722c2b9033f7f9416eaac1c2f7dd8bb404e5657db,160c1456d3cb64bf54b1f9baf8806336f421096d887d5edc866b373f4b1c3f1f,a989cf07f98791e7703e7ddc9c2e372cb48ef2fc5f1dc92bb17248a589e4f461,PASS,True,1,400,400,5,5,400,1003,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,11.886892749986146,True,True
