algorithm,baseline,instance,mean_diff_alg_minus_baseline,method,n_pairs,p_value_less,wins_alg_lower
ACO,winner-kernel ALNS,100-01-24h,1486.502552934719,scipy_wilcoxon_less,10,1.0,0
ACO,fair-SA,100-01-24h,984.3118764765386,scipy_wilcoxon_less,10,1.0,0
GA,winner-kernel ALNS,100-01-24h,1486.502552934719,scipy_wilcoxon_less,10,1.0,0
GA,fair-SA,100-01-24h,984.3118764765386,scipy_wilcoxon_less,10,1.0,0
GA-VNS,winner-kernel ALNS,100-01-24h,864.0354305315402,scipy_wilcoxon_less,10,1.0,0
GA-VNS,fair-SA,100-01-24h,361.84475407336015,scipy_wilcoxon_less,10,1.0,0
GWO,winner-kernel ALNS,100-01-24h,1486.502552934719,scipy_wilcoxon_less,10,1.0,0
GWO,fair-SA,100-01-24h,984.3118764765386,scipy_wilcoxon_less,10,1.0,0
IWD,winner-kernel ALNS,100-01-24h,1486.502552934719,scipy_wilcoxon_less,10,1.0,0
IWD,fair-SA,100-01-24h,984.3118764765386,scipy_wilcoxon_less,10,1.0,0
LNS,winner-kernel ALNS,100-01-24h,67.34903548215989,scipy_wilcoxon_less,10,0.9580078125,3
LNS,fair-SA,100-01-24h,-434.84164097602036,scipy_wilcoxon_less,10,0.0009765625,10
PSO,winner-kernel ALNS,100-01-24h,1486.502552934719,scipy_wilcoxon_less,10,1.0,0
PSO,fair-SA,100-01-24h,984.3118764765386,scipy_wilcoxon_less,10,1.0,0
VNS,winner-kernel ALNS,100-01-24h,869.0897430630308,scipy_wilcoxon_less,10,1.0,0
VNS,fair-SA,100-01-24h,366.8990666048506,scipy_wilcoxon_less,10,1.0,0
fair-SA,winner-kernel ALNS,100-01-24h,502.19067645818023,scipy_wilcoxon_less,10,1.0,0
winner-kernel ALNS,fair-SA,100-01-24h,-502.19067645818023,scipy_wilcoxon_less,10,0.0009765625,10
ACO,winner-kernel ALNS,L-main,1335.6646822588662,scipy_wilcoxon_less,10,1.0,0
ACO,fair-SA,L-main,1346.5209838050582,scipy_wilcoxon_less,10,1.0,0
GA,winner-kernel ALNS,L-main,1335.6646822588662,scipy_wilcoxon_less,10,1.0,0
GA,fair-SA,L-main,1346.5209838050582,scipy_wilcoxon_less,10,1.0,0
GA-VNS,winner-kernel ALNS,L-main,1141.6839407083544,scipy_wilcoxon_less,10,1.0,0
GA-VNS,fair-SA,L-main,1152.5402422545465,scipy_wilcoxon_less,10,1.0,0
GWO,winner-kernel ALNS,L-main,1335.6646822588662,scipy_wilcoxon_less,10,1.0,0
GWO,fair-SA,L-main,1346.5209838050582,scipy_wilcoxon_less,10,1.0,0
IWD,winner-kernel ALNS,L-main,1335.6646822588662,scipy_wilcoxon_less,10,1.0,0
IWD,fair-SA,L-main,1346.5209838050582,scipy_wilcoxon_less,10,1.0,0
LNS,winner-kernel ALNS,L-main,-448.06437814274466,scipy_wilcoxon_less,10,0.0009765625,10
LNS,fair-SA,L-main,-437.2080765965526,scipy_wilcoxon_less,10,0.0009765625,10
PSO,winner-kernel ALNS,L-main,1335.6646822588662,scipy_wilcoxon_less,10,1.0,0
PSO,fair-SA,L-main,1346.5209838050582,scipy_wilcoxon_less,10,1.0,0
VNS,winner-kernel ALNS,L-main,1290.9552954381527,scipy_wilcoxon_less,10,1.0,0
VNS,fair-SA,L-main,1301.8115969843448,scipy_wilcoxon_less,10,1.0,0
fair-SA,winner-kernel ALNS,L-main,-10.856301546192118,scipy_wilcoxon_less,10,0.5390625,5
winner-kernel ALNS,fair-SA,L-main,10.856301546192118,scipy_wilcoxon_less,10,0.5,5
