task_id,draft_status,comparison,arm,baseline_arm,budget,seed,arm_run_id,baseline_run_id,arm_route_signature_sha256,baseline_route_signature_sha256,route_signature_changed,route_count_same,arm_route_count,baseline_route_count,route_multiset_symmetric_difference,customer_to_vehicle_assignment_changes,changed_customer_ids,vehicle_relabel_map_to_baseline,directed_arc_set_symmetric_difference,arm_directed_arc_count,baseline_directed_arc_count,slot_energy_l1_kwh,energy_relocated_half_l1_kwh,midday_12_15_kwh_arm,midday_12_15_kwh_baseline,delta_midday_12_15_kwh,system_emissions_reduction_vs_O_kg,delta_full_model_objective_cny,delta_operating_cost_cny,delta_carbon_cost_cny,delta_fuel_direct_emissions_kg,delta_charging_emissions_kg,delta_system_emissions_kg,delta_enabled_physical_vehicles,delta_assigned_cv,delta_assigned_ev,delta_total_trips,delta_total_distance_m,delta_total_distance_km,delta_charging_energy_kwh,delta_charging_cost_cny,delta_completed_customer_count,delta_completed_demand
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,100,1,C_seed1_budget100,O_seed1_budget100,96b6380e321052c787cd6a73b5b2e0a6e1e071804c4d7565f8055cbb6821dee7,96b6380e321052c787cd6a73b5b2e0a6e1e071804c4d7565f8055cbb6821dee7,False,True,8,8,0,0,[],"{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",0,58,58,107.8901635696781,53.94508178483905,38.902770090728104,38.902770090728104,0.0,1.9775683379340876,-0.14835717671167004,4.547473508864641e-13,-0.1483571767118157,0.0,-1.9775683379341018,-1.9775683379340876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400124791776761e-13,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,100,1,P_seed1_budget100,O_seed1_budget100,3875a8cc3958cf0d21ede1cdb822164d3e775615d5c6c73eb47c90c454c28031,96b6380e321052c787cd6a73b5b2e0a6e1e071804c4d7565f8055cbb6821dee7,True,True,8,8,16,29,"[""C001"",""C002"",""C003"",""C004"",""C005"",""C006"",""C008"",""C009"",""C010"",""C011"",""C012"",""C013"",""C018"",""C019"",""C023"",""C024"",""C025"",""C026"",""C027"",""C028"",""C030"",""C031"",""C032"",""C037"",""C039"",""C040"",""C046"",""C047"",""C048""]","{""D_beijing:cv:001"":""D_beijing:cv:003"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:001"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",78,58,58,41.00213063182641,20.501065315913205,0.0,38.902770090728104,-38.902770090728104,-26.941218526679933,47.90601904459345,45.88488883072205,2.021130213871528,34.77047915503721,-7.829260628357282,26.941218526679933,0.0,0.0,0.0,0.0,-30275.141158499988,-30.27514115849999,-41.00213063182639,-40.37363028948483,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,100,2,C_seed2_budget100,O_seed2_budget100,60e08bc8f03ecdd5841ec1479dc1d650f2cf79d26e244d915d0d40ff0a30feea,60e08bc8f03ecdd5841ec1479dc1d650f2cf79d26e244d915d0d40ff0a30feea,False,True,8,8,0,0,[],"{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",0,58,58,105.22525429510722,52.61262714755361,0.0,0.0,0.0,1.9887329825102995,-0.14919474834778157,0.0,-0.1491947483479219,0.0,-1.9887329825103137,-1.9887329825102995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,100,2,P_seed2_budget100,O_seed2_budget100,60e08bc8f03ecdd5841ec1479dc1d650f2cf79d26e244d915d0d40ff0a30feea,60e08bc8f03ecdd5841ec1479dc1d650f2cf79d26e244d915d0d40ff0a30feea,False,True,8,8,0,0,[],"{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",0,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,100,3,C_seed3_budget100,O_seed3_budget100,21890cfc6810d94578f0f81b90434c68fddd23e4047265370392ec3413985e0d,82670aaa2a3818e07afd30626ce73134dc39c8bd889e1f4c134afa3e39a4c963,True,True,8,8,12,25,"[""C002"",""C003"",""C004"",""C007"",""C008"",""C009"",""C010"",""C011"",""C012"",""C014"",""C015"",""C017"",""C018"",""C022"",""C023"",""C024"",""C026"",""C027"",""C028"",""C030"",""C033"",""C034"",""C035"",""C036"",""C037""]","{""D_beijing:cv:001"":""D_beijing:cv:002"",""D_beijing:cv:002"":""D_beijing:cv:003"",""D_beijing:cv:003"":""D_beijing:cv:004"",""D_beijing:cv:004"":""D_beijing:cv:001"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",68,58,58,143.6185096683384,71.8092548341692,0.0,35.46738793970575,-35.46738793970575,-24.50157213273505,50.809520765861635,48.971412824464096,1.8381079413977837,32.10659182905562,-7.605019696320554,24.50157213273505,0.0,0.0,0.0,0.0,-19346.4741463979,-19.346474146397895,-35.345178545859675,-36.46553869353434,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,100,3,P_seed3_budget100,O_seed3_budget100,465d5ae7d33e9588304e98f3f3ce7251ac1434e85315866b473f7747d801848f,82670aaa2a3818e07afd30626ce73134dc39c8bd889e1f4c134afa3e39a4c963,True,True,8,8,12,21,"[""C004"",""C005"",""C009"",""C010"",""C011"",""C013"",""C016"",""C017"",""C018"",""C019"",""C020"",""C021"",""C023"",""C024"",""C025"",""C026"",""C027"",""C031"",""C033"",""C036"",""C037""]","{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",56,58,58,37.42180219035804,18.71090109517902,0.0,35.46738793970575,-35.46738793970575,-31.980815573490446,78.88442814042719,76.48522735610413,2.399200784323254,38.93578739099411,-6.954971817503662,31.980815573490446,0.0,0.0,0.0,0.0,-8200.893069136888,-8.200893069136896,-37.42180219035805,-37.63527120059368,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,1000,1,C_seed1_budget1000,O_seed1_budget1000,f064404eb2f7b0e8c7e5852c473cad99308a8642d898cc3fb0a92245ad9aeed7,f064404eb2f7b0e8c7e5852c473cad99308a8642d898cc3fb0a92245ad9aeed7,False,True,8,8,0,0,[],"{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",0,58,58,108.24612355546755,54.123061777733774,0.0,33.60786430780563,-33.60786430780563,-14.239577815049131,-14.97990826304249,-16.048161390727273,1.0682531276849865,0.0,14.239577815049145,14.239577815049131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.048161390727266,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,1000,1,P_seed1_budget1000,O_seed1_budget1000,90e38dd084ec39d9bc1a81d613d38c07bea4822f0632352ce66b3a55a407210c,f064404eb2f7b0e8c7e5852c473cad99308a8642d898cc3fb0a92245ad9aeed7,True,True,8,8,12,16,"[""C004"",""C006"",""C008"",""C011"",""C014"",""C015"",""C017"",""C018"",""C022"",""C024"",""C025"",""C026"",""C027"",""C029"",""C031"",""C033""]","{""D_beijing:cv:001"":""D_beijing:cv:003"",""D_beijing:cv:002"":""D_beijing:cv:004"",""D_beijing:cv:003"":""D_beijing:cv:001"",""D_beijing:cv:004"":""D_beijing:cv:002"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",52,58,58,6.617167246149924,3.308583623074962,36.91716277341156,33.60786430780563,3.3092984656059343,0.23316452048811698,-12.624803321564286,-12.607311319236942,-0.01749200232701753,-2.8730641218302537,2.639899601342151,-0.23316452048811698,0.0,0.0,0.0,0.0,12570.03561122599,12.57003561122599,6.617167246149933,-12.320805375604273,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,1000,2,C_seed2_budget1000,O_seed2_budget1000,25c101852d55b79f80f0772f16c8956b5361352c2ba62ea35443ed344b273e8b,990f2c34ef6f2b193e3bf49dca2bd19c69674a5bbfcb3c40e2b8787b75cba6fa,True,True,8,8,12,23,"[""C003"",""C004"",""C007"",""C008"",""C009"",""C010"",""C013"",""C015"",""C016"",""C017"",""C019"",""C022"",""C023"",""C024"",""C026"",""C027"",""C028"",""C029"",""C030"",""C031"",""C032"",""C035"",""C037""]","{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:004"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:002"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",62,58,58,146.93805856209943,73.46902928104971,40.10765748336113,0.0,40.10765748336113,35.570671764,-84.86809351861166,-82.1995817228767,-2.668511795735279,-46.415025564400295,10.844353800400292,-35.570671764,0.0,0.0,0.0,0.0,21114.957209745073,21.114957209745057,50.42396660040355,46.22672723966619,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,1000,2,P_seed2_budget1000,O_seed2_budget1000,97b456107b300449eaa03552c959b5eacc7e13d6da258f3ac6dde4373f1c395b,990f2c34ef6f2b193e3bf49dca2bd19c69674a5bbfcb3c40e2b8787b75cba6fa,True,True,8,8,12,27,"[""C001"",""C003"",""C005"",""C006"",""C007"",""C008"",""C009"",""C011"",""C012"",""C013"",""C014"",""C016"",""C017"",""C018"",""C019"",""C021"",""C022"",""C023"",""C026"",""C027"",""C028"",""C029"",""C030"",""C031"",""C033"",""C035"",""C037""]","{""D_beijing:cv:001"":""D_beijing:cv:003"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:001"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",64,58,58,39.93926483091203,19.969632415456015,13.273321735547142,0.0,13.273321735547142,34.79457302497923,-99.24394968556044,-96.63366081722643,-2.6102888683339422,-43.94156254175576,9.146989516776507,-34.79457302497923,0.0,0.0,0.0,0.0,4202.174369287095,4.20217436928715,39.939264830912016,35.37461074472891,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,C-O,C,O,1000,3,C_seed3_budget1000,O_seed3_budget1000,ed26b6e27574145008f723dd65560a42d0a35dd619a125fdef035e3af00fbc63,64d289223e0da4c730d5702bc4d543ab9ac1a8cf177060699cca6ae25d5e36a7,True,True,8,8,12,15,"[""C003"",""C004"",""C005"",""C006"",""C008"",""C009"",""C015"",""C017"",""C018"",""C023"",""C025"",""C027"",""C029"",""C031"",""C036""]","{""D_beijing:cv:001"":""D_beijing:cv:002"",""D_beijing:cv:002"":""D_beijing:cv:001"",""D_beijing:cv:003"":""D_beijing:cv:004"",""D_beijing:cv:004"":""D_beijing:cv:003"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",52,58,58,108.07926958537664,54.03963479268832,38.131757426254694,36.60679113179487,1.5249662944598228,2.895712078667742,-3.3011018460106243,-3.083865525868987,-0.2172363201416534,-2.0189817128301115,-0.8767303658376449,-2.895712078667742,0.0,0.0,0.0,0.0,1405.750053912052,1.4057500539120156,2.8700060053895413,2.033188703346866,0.0,0.0
T5-CARBON-OBJ-PROBE,DRAFT_METHOD_AWAITING_USER_APPROVAL,P-O,P,O,1000,3,P_seed3_budget1000,O_seed3_budget1000,2692d97947a2bd2f792c91ee2f70f4a20f500b2213771612e9e9e0c22da6f055,64d289223e0da4c730d5702bc4d543ab9ac1a8cf177060699cca6ae25d5e36a7,True,True,8,8,2,6,"[""C006"",""C007"",""C016"",""C018"",""C026"",""C037""]","{""D_beijing:cv:001"":""D_beijing:cv:001"",""D_beijing:cv:002"":""D_beijing:cv:002"",""D_beijing:cv:003"":""D_beijing:cv:003"",""D_beijing:cv:004"":""D_beijing:cv:004"",""D_beijing:ev:001"":""D_beijing:ev:001"",""D_tianjin:cv:001"":""D_tianjin:cv:001"",""D_tianjin:ev:001"":""D_tianjin:ev:001""}",0,58,58,36.60679113179487,18.303395565897436,0.0,36.60679113179487,-36.60679113179487,-34.27129036945894,88.29161515858141,85.72058295506486,2.5710322035168094,40.14339688286853,-5.872106513409591,34.27129036945894,0.0,0.0,0.0,0.0,-223.4893080209149,-0.22348930802093037,-36.60679113179485,-37.48742304295412,0.0,0.0
