记录类型,面板,节点ID,节点类型,纬度,经度,所属企业,路线ID,弧序号,起点,终点,实体车,车型,所属车场,来源文件,来源字段,源文件SHA256
节点,(a)节点分布,D_OSM_WAY_1003511503,depot,39.6730255,116.1309875,ENT_A,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,D_OSM_WAY_1071205721,depot,40.0035989,116.5162931,ENT_B,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10198894117,station,40.0072412,116.3284188,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10198894118,station,40.0064420,116.3282552,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10656979546,station,40.0048950,116.3795552,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10672051857,station,39.9669843,116.4023808,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10687655075,station,39.9917035,116.3937199,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10687662818,station,39.9999433,116.3751376,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10687677378,station,39.9683225,116.3361436,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10692618118,station,39.8961969,116.3186345,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10694688073,station,39.9742665,116.4856885,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10701788551,station,39.8711984,116.2341016,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10707336550,station,39.9922784,116.3230560,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
