city,city_zh,region,region_zh,hourly_calendar_row,minute_of_day,time,tariff_period,tariff_period_varies_by_date,carbon_mean_kgco2e_per_kwh,carbon_std_kgco2e_per_kwh,carbon_min_kgco2e_per_kwh,carbon_max_kgco2e_per_kwh,depot_energy_mean_cny_per_kwh,public_total_mean_cny_per_kwh,n_dates
chengdu,成都,cy,成渝,1,0,00:00,valley,False,0.04189643,0.00546969,0.03580000,0.05510000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,2,30,00:30,valley,False,0.04189643,0.00546969,0.03580000,0.05510000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,3,60,01:00,valley,False,0.04085357,0.00674407,0.03300000,0.05760000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,4,90,01:30,valley,False,0.04085357,0.00674407,0.03300000,0.05760000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,5,120,02:00,valley,False,0.04203929,0.00749935,0.03220000,0.05910000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,6,150,02:30,valley,False,0.04203929,0.00749935,0.03220000,0.05910000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,7,180,03:00,valley,False,0.04277857,0.00749382,0.03160000,0.05880000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,8,210,03:30,valley,False,0.04277857,0.00749382,0.03160000,0.05880000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,9,240,04:00,valley,False,0.04246786,0.00724160,0.03020000,0.06040000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,10,270,04:30,valley,False,0.04246786,0.00724160,0.03020000,0.06040000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,11,300,05:00,valley,False,0.04007857,0.00653422,0.02870000,0.05230000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,12,330,05:30,valley,False,0.04007857,0.00653422,0.02870000,0.05230000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,13,360,06:00,valley,False,0.03041071,0.00412487,0.02530000,0.03910000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,14,390,06:30,valley,False,0.03041071,0.00412487,0.02530000,0.03910000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,15,420,07:00,flat,False,0.02432857,0.00165807,0.02190000,0.02910000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,16,450,07:30,flat,False,0.02432857,0.00165807,0.02190000,0.02910000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,17,480,08:00,flat,False,0.02469286,0.00292085,0.02040000,0.03040000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,18,510,08:30,flat,False,0.02469286,0.00292085,0.02040000,0.03040000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,19,540,09:00,flat,False,0.01982143,0.00303413,0.01550000,0.02810000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,20,570,09:30,flat,False,0.01982143,0.00303413,0.01550000,0.02810000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,21,600,10:00,peak,False,0.00462143,0.00606932,0.00000000,0.01640000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,22,630,10:30,peak,False,0.00462143,0.00606932,0.00000000,0.01640000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,23,660,11:00,peak,False,0.00060357,0.00197565,0.00000000,0.00880000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,24,690,11:30,peak,False,0.00060357,0.00197565,0.00000000,0.00880000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,25,720,12:00,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,26,750,12:30,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,27,780,13:00,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,28,810,13:30,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,29,840,14:00,flat,False,0.00002143,0.00011135,0.00000000,0.00060000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,30,870,14:30,flat,False,0.00002143,0.00011135,0.00000000,0.00060000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,31,900,15:00,peak,False,0.00003929,0.00020413,0.00000000,0.00110000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,32,930,15:30,peak,False,0.00003929,0.00020413,0.00000000,0.00110000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,33,960,16:00,peak,False,0.00035357,0.00183721,0.00000000,0.00990000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,34,990,16:30,peak,False,0.00035357,0.00183721,0.00000000,0.00990000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,35,1020,17:00,peak,False,0.00053214,0.00169791,0.00000000,0.00730000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,36,1050,17:30,peak,False,0.00053214,0.00169791,0.00000000,0.00730000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,37,1080,18:00,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,38,1110,18:30,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,39,1140,19:00,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,40,1170,19:30,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,41,1200,20:00,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,42,1230,20:30,peak,False,0.00000000,0.00000000,0.00000000,0.00000000,1.19518500,1.59518500,28
chengdu,成都,cy,成渝,43,1260,21:00,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,44,1290,21:30,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,45,1320,22:00,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,46,1350,22:30,flat,False,0.00000000,0.00000000,0.00000000,0.00000000,0.78804800,1.18804800,28
chengdu,成都,cy,成渝,47,1380,23:00,valley,False,0.00000000,0.00000000,0.00000000,0.00000000,0.38091100,0.78091100,28
chengdu,成都,cy,成渝,48,1410,23:30,valley,False,0.00000000,0.00000000,0.00000000,0.00000000,0.38091100,0.78091100,28
chongqing,重庆,cy,成渝,1,0,00:00,valley,False,0.29127143,0.03688218,0.17200000,0.33200000,0.40168400,0.80168400,28
