hourly_calendar_row,start_hour,asap_energy_kwh,carbon_energy_kwh,asap_energy_share_pct,carbon_energy_share_pct,energy_denominator_kwh,session_days
1,0.0,940803.640344296,10697.416438156,76.193613420,0.866360182,1234753.935547482,44072
2,0.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
3,1.0,57012.997714780,624.382438295,4.617357036,0.050567358,1234753.935547482,44072
4,1.5,91323.909572349,893.784214531,7.396122170,0.072385614,1234753.935547482,44072
5,2.0,83630.298407272,212.391114165,6.773033558,0.017201088,1234753.935547482,44072
6,2.5,0.000000000,341.389800269,0.000000000,0.027648408,1234753.935547482,44072
7,3.0,17979.692279884,924.358963284,1.456135653,0.074861795,1234753.935547482,44072
8,3.5,23767.156597562,123.944907747,1.924849633,0.010038025,1234753.935547482,44072
9,4.0,2588.489203407,1824.123109662,0.209636036,0.147731711,1234753.935547482,44072
10,4.5,0.000000000,48.010529780,0.000000000,0.003888267,1234753.935547482,44072
11,5.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
12,5.5,0.000000000,192.119433687,0.000000000,0.015559330,1234753.935547482,44072
13,6.0,0.000000000,5185.386038877,0.000000000,0.419952987,1234753.935547482,44072
14,6.5,0.000000000,9328.618989483,0.000000000,0.755504293,1234753.935547482,44072
15,7.0,0.000000000,119511.634308906,0.000000000,9.678983874,1234753.935547482,44072
16,7.5,0.000000000,36609.248888906,0.000000000,2.964902385,1234753.935547482,44072
17,8.0,0.000000000,40818.706902028,0.000000000,3.305817113,1234753.935547482,44072
18,8.5,0.000000000,82600.491919211,0.000000000,6.689631800,1234753.935547482,44072
19,9.0,0.000000000,148663.007038588,0.000000000,12.039889306,1234753.935547482,44072
20,9.5,0.000000000,182404.899604859,0.000000000,14.772570822,1234753.935547482,44072
21,10.0,0.000000000,222100.835282635,0.000000000,17.987457168,1234753.935547482,44072
22,10.5,0.000000000,171245.161004518,0.000000000,13.868768187,1234753.935547482,44072
23,11.0,0.000000000,111009.327476405,0.000000000,8.990400782,1234753.935547482,44072
24,11.5,0.000000000,27276.444470404,0.000000000,2.209059124,1234753.935547482,44072
25,12.0,0.000000000,31510.179110304,0.000000000,2.551939962,1234753.935547482,44072
26,12.5,0.000000000,9272.573090911,0.000000000,0.750965259,1234753.935547482,44072
27,13.0,0.000000000,3331.383719524,0.000000000,0.269801425,1234753.935547482,44072
28,13.5,0.000000000,146.377975955,0.000000000,0.011854830,1234753.935547482,44072
29,14.0,2910.223194462,3120.210542920,0.235692563,0.252698975,1234753.935547482,44072
30,14.5,2961.852183364,2860.327061746,0.239873881,0.231651585,1234753.935547482,44072
31,15.0,530.799089669,594.409990596,0.042988248,0.048139955,1234753.935547482,44072
32,15.5,9746.182705021,9311.100496609,0.789321858,0.754085509,1234753.935547482,44072
33,16.0,1498.694255417,1612.203789174,0.121375945,0.130568832,1234753.935547482,44072
34,16.5,0.000000000,359.486895346,0.000000000,0.029114051,1234753.935547482,44072
35,17.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
36,17.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
37,18.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
38,18.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
39,19.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
40,19.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
41,20.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
42,20.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
43,21.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
44,21.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
45,22.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
46,22.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
47,23.0,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
48,23.5,0.000000000,0.000000000,0.000000000,0.000000000,1234753.935547482,44072
