label,node_id,source_identity,longitude,latitude
S01,S_OSM_NODE_10198894117,node/10198894117,116.3284188,40.0072412
S02,S_OSM_NODE_10198894118,node/10198894118,116.3282552,40.0064420
S03,S_OSM_NODE_10656979546,node/10656979546,116.3795552,40.0048950
S04,S_OSM_NODE_10672051857,node/10672051857,116.4023808,39.9669843
S05,S_OSM_NODE_10687655075,node/10687655075,116.3937199,39.9917035
S06,S_OSM_NODE_10687662818,node/10687662818,116.3751376,39.9999433
S07,S_OSM_NODE_10687677378,node/10687677378,116.3361436,39.9683225
S08,S_OSM_NODE_10692618118,node/10692618118,116.3186345,39.8961969
S09,S_OSM_NODE_10694688073,node/10694688073,116.4856885,39.9742665
S10,S_OSM_NODE_10701788551,node/10701788551,116.2341016,39.8711984
S11,S_OSM_NODE_10707336550,node/10707336550,116.3230560,39.9922784
S12,S_OSM_NODE_10718693191,node/10718693191,116.4685240,39.9451062
S13,S_OSM_NODE_10724738913,node/10724738913,116.4419916,39.8566346
S14,S_OSM_NODE_10811299260,node/10811299260,116.4660786,39.9064745
S15,S_OSM_NODE_10827478505,node/10827478505,116.4985670,39.8106667
S16,S_OSM_NODE_10836251297,node/10836251297,116.2802656,39.8264438
S17,S_OSM_NODE_10848237177,node/10848237177,116.3429671,40.0784121
S18,S_OSM_NODE_10865092736,node/10865092736,116.4995397,39.9526745
S19,S_OSM_NODE_11036575653,node/11036575653,116.4434642,39.9087981
S20,S_OSM_NODE_11397810267,node/11397810267,116.4965036,39.6828186
S21,S_OSM_NODE_11715203010,node/11715203010,116.4022253,40.0155813
S22,S_OSM_NODE_11801990447,node/11801990447,116.4035211,40.0333850
S23,S_OSM_NODE_11802074468,node/11802074468,116.3810108,40.0060431
S24,S_OSM_NODE_11804312409,node/11804312409,116.7221359,39.9155648
S25,S_OSM_NODE_11968776958,node/11968776958,116.3232996,40.0474653
S26,S_OSM_NODE_12064974139,node/12064974139,116.1509591,39.9144549
S27,S_OSM_NODE_12064974141,node/12064974141,116.1442589,39.9144272
S28,S_OSM_NODE_12070106294,node/12070106294,116.4600047,39.9942727
S29,S_OSM_NODE_12107205945,node/12107205945,116.3967168,39.9802468
S30,S_OSM_NODE_12107205946,node/12107205946,116.3968334,39.9802487
S31,S_OSM_NODE_12163600981,node/12163600981,116.2831635,40.0453305
S32,S_OSM_NODE_12273014615,node/12273014615,116.3923260,40.0079147
S33,S_OSM_NODE_12412613156,node/12412613156,116.3815845,39.9925861
S34,S_OSM_NODE_12635884766,node/12635884766,116.3698723,39.9813402
S35,S_OSM_NODE_12790924108,node/12790924108,116.3325327,39.8104843
S36,S_OSM_NODE_12790924115,node/12790924115,116.1990455,39.8408512
S37,S_OSM_NODE_13014698347,node/13014698347,116.2101329,39.9098981
S38,S_OSM_NODE_13043108964,node/13043108964,116.7250584,39.9114416
S39,S_OSM_NODE_13158155493,node/13158155493,116.5554279,40.0691048
S40,S_OSM_NODE_13208009395,node/13208009395,116.5574226,39.7288959
S41,S_OSM_NODE_13226993944,node/13226993944,116.5351214,40.0745768
S42,S_OSM_NODE_13236821384,node/13236821384,116.7185305,39.9101923
S43,S_OSM_NODE_13531954025,node/13531954025,116.3334049,39.9898779
S44,S_OSM_NODE_13540161180,node/13540161180,116.4049195,40.0015501
S45,S_OSM_NODE_3048492915,node/3048492915,116.4868064,39.9760518
S46,S_OSM_NODE_3069987039,node/3069987039,116.5122578,39.7995368
S47,S_OSM_NODE_3070065554,node/3070065554,116.2757593,39.9498530
S48,S_OSM_NODE_3504800787,node/3504800787,116.4462653,39.9338609
S49,S_OSM_NODE_3519076181,node/3519076181,116.4330789,39.9371636
S50,S_OSM_NODE_4150343579,node/4150343579,116.4697967,39.7652609
S51,S_OSM_NODE_4150343582,node/4150343582,116.4643351,39.7654389
S52,S_OSM_NODE_4253770991,node/4253770991,116.3583417,39.9507670
