StringID  Type  x          y          demand  ReadyTime  DueDate  ServiceTime
D0        d     41477.70    -2846.44    0.0     0.0        86400.0  0.0
D1        d     -1810.86    1191.38     0.0     0.0        86400.0  0.0
C001      c     -41673.11   31181.06    789.8   3239.0     22907.0  752.0
C002      c     -37111.33   33305.18    403.1   0.0        19376.0  398.0
C003      c     -14440.72   1313.71     501.7   2751.4     23162.4  1506.0
C004      c     704.10      -29836.60   157.6   1417.3     19831.3  318.0
C005      c     33166.40    -4941.38    601.3   248.7      20804.7  792.0
C006      c     41614.75    -19863.96   353.4   0.0        20524.0  1354.0
C007      c     21740.38    -2846.44    525.4   10157.6    30029.6  924.0
C008      c     -36611.79   24036.54    390.3   0.0        20999.0  1076.0
C009      c     48623.63    -29462.99   522.4   5469.3     26103.3  1222.0
C010      c     41502.14    12804.48    143.3   6884.0     27832.0  1650.0
C011      c     33554.56    -16506.16   258.6   3761.1     23987.1  814.0
C012      c     48518.86    -2070.82    212.8   4587.2     23834.2  212.0
C013      c     13893.73    -16825.72   228.4   1037.9     21123.9  1020.0
C014      c     16500.77    -6414.59    591.2   0.0        20776.0  1350.0
C015      c     -5426.91    -689.96     763.4   3687.6     22684.6  750.0
C016      c     40627.26    -28314.66   856.7   0.0        20226.0  814.0
C017      c     20476.21    7006.11     117.9   1324.0     21306.0  846.0
C018      c     10781.63    -21074.12   395.7   0.0        18997.0  750.0
C019      c     37823.85    1585.83     146.4   3533.7     24517.7  998.0
C020      c     44583.97    7787.45     342.0   6069.5     25610.5  458.0
C021      c     41379.95    -7085.98    510.4   2443.6     22066.6  266.0
C022      c     -2734.40    3348.08     236.1   6996.9     27067.9  1308.0
C023      c     -60000.00   18648.63    170.8   2544.4     22589.4  504.0
C024      c     38314.15    -25355.46   594.8   3397.7     23892.7  756.0
C025      c     5785.53     -21233.07   708.0   1011.8     21343.8  1052.0
C026      c     50105.76    -7528.98    201.8   2426.5     20759.5  228.0
C027      c     10628.82    5696.73     651.0   6809.1     27338.1  1118.0
C028      c     43353.14    -17440.82   257.6   3447.4     23985.4  1478.0
C029      c     16032.76    20418.30    521.7   1423.2     21032.2  552.0
C030      c     36236.34    -14745.77   462.6   3441.2     22970.2  1186.0
C031      c     3070.32     -14610.94   409.7   645.1      20690.1  504.0
C032      c     49957.40    -5231.89    199.0   5813.7     25965.7  684.0
C033      c     -29692.60   10355.32    350.6   2048.2     22125.2  406.0
C034      c     44448.33    -20608.14   386.8   5506.1     25015.1  1196.0
C035      c     10581.82    10090.08    389.2   345.9      20747.9  882.0
C036      c     -51846.07   -14868.44   211.2   8828.1     28451.1  266.0
C037      c     46722.00    31859.29    669.3   5022.6     25706.6  916.0
C038      c     -44303.91   2635.24     595.9   3485.2     22436.2  346.0
C039      c     46167.71    -17826.85   533.5   0.0        20524.0  1354.0
C040      c     30552.18    -9843.33    835.0   5409.7     26201.7  1262.0
C041      c     -22229.76   14808.91    176.1   2121.8     21675.8  1138.0
C042      c     4994.53     -14396.70   540.6   2115.4     20529.4  318.0
C043      c     25675.69    -9435.93    373.3   0.0        19926.0  916.0
C044      c     24000.80    -5626.64    221.1   0.0        19529.0  1186.0
C045      c     21655.28    -20568.11   715.7   0.0        20505.0  1158.0
C046      c     -8910.34    19879.41    534.9   7000.1     27336.1  1434.0
C047      c     37062.76    2535.69     181.7   5834.4     26001.4  1390.0
C048      c     -5067.32    -15145.53   151.1   6693.3     27641.3  1650.0
C049      c     43961.09    -763.65     563.5   3044.6     22290.6  332.0
C050      c     -46584.47   32645.40    491.6   546.0      20948.0  882.0
C051      c     29336.69    -20037.97   427.7   3968.2     23509.2  458.0
C052      c     24719.71    -11344.31   459.3   7272.2     26633.2  1108.0
C053      c     60000.00    -21758.15   268.6   9952.5     28370.5  384.0
C054      c     -27585.50   -10139.41   391.1   6649.2     26357.2  1114.0
C055      c     37663.99    7233.30     388.6   1294.2     21808.2  1598.0
C056      c     34278.60    -14783.17   697.4   3857.6     24352.6  756.0
C057      c     41172.71    5251.75     424.9   0.0        20514.0  1610.0
C058      c     10549.69    16549.00    653.1   0.0        19516.0  804.0
C059      c     -26878.58   12114.56    490.5   216.4      20142.4  916.0
C060      c     -31704.69   19601.28    562.5   2809.0     22285.0  858.0
C061      c     39252.37    -6152.85    591.0   9413.7     29484.7  1308.0
C062      c     40344.06    -28890.67   360.4   5140.9     25012.9  924.0
C063      c     49785.61    -13106.68   780.6   6300.3     26526.3  814.0
C064      c     -15900.47   -2671.00    720.9   8864.3     28572.3  1114.0
C065      c     56808.44    2269.17     252.9   1158.3     21235.3  406.0
C066      c     -27569.90   7221.29     591.3   8822.4     28893.4  1308.0
C067      c     60000.00    6955.27     477.6   3532.1     24088.1  792.0
C068      c     21280.71    -16947.24   817.8   2676.7     23171.7  756.0
C069      c     2245.52     -34242.75   571.6   3306.3     23823.3  1616.0
C070      c     -27462.31   14034.63    390.7   4495.3     23562.3  676.0
C071      c     55344.85    8134.57     155.9   921.8      20168.8  212.0
C072      c     -1203.56    -4229.92    375.7   1499.8     21891.8  854.0
C073      c     14547.42    11148.35    537.4   2642.8     22809.8  1390.0
