customer_count,is_cross_shift,node_sequence,route_length_nodes,shift_tuple,span_hours,vehicle_id,vehicle_type
4,True,D0 C091 C013 C117 C203 D0,6,"0,1,2",19.596869739445474,CV1,cv
5,True,D0 C023 C193 C138 C126 C214 D0,7,"0,1,2",19.222823160035627,EV53,ev
4,True,D0 C036 C033 C190 C208 D0,6,"0,1,2",18.923337023372287,EV11,ev
6,False,D0 C118 C170 C166 C172 C125 C179 D0,8,1,14.578236905615158,CV4,cv
4,True,D0 C094 C070 C161 C137 D0,6,"0,1",9.917384735288092,EV17,ev
5,True,D0 C060 C083 C176 C164 C123 D0,7,"0,1",11.569837508988563,EV47,ev
4,True,D0 C048 C038 C099 C180 D0,6,"0,1",10.454503003352901,CV7,cv
3,True,D0 C046 C110 C155 D0,5,"0,1",10.67166497267797,EV13,ev
3,True,D0 C103 C192 C213 D0,5,"1,2",19.03362659368994,EV4,ev
5,True,D0 C089 C025 C003 C031 C198 D0,7,"0,1",11.515290673461898,EV7,ev
4,True,D0 C086 C199 C133 C202 D0,6,"0,1,2",18.961519580090712,EV55,ev
3,True,D0 C020 C156 C184 D0,5,"0,1",10.762716655791966,EV52,ev
4,True,D0 C078 C144 C147 C114 D0,6,"0,1",9.992213524541917,EV56,ev
4,True,D0 C075 C077 C054 C143 D0,6,"0,1",10.636929743535982,EV57,ev
3,True,D0 C050 C076 C207 D0,5,"0,2",18.70448975598603,EV29,ev
4,True,D0 C002 C008 C163 C204 D0,6,"0,1,2",18.35356825014911,EV50,ev
5,True,D0 C041 C145 C130 C211 C210 D0,7,"0,1,2",19.094409485911452,EV8,ev
5,True,D0 C004 C027 C096 C058 C171 D0,7,"0,1",10.970833946015917,EV31,ev
3,True,D0 C018 C160 C105 D0,5,"0,1",11.333479628615274,EV54,ev
4,True,D0 C097 C200 C102 C201 D0,6,"0,1,2",18.52918785692929,EV26,ev
2,True,D0 C066 C121 D0,4,"0,1",9.939363356553876,EV15,ev
2,True,D0 C022 C151 D0,4,"0,1",9.852780683221171,EV58,ev
3,False,D0 C035 C042 C001 D0,5,0,2.8246828995309157,EV24,ev
3,True,D0 C082 C162 C165 D0,5,"0,1",10.77355607187013,CV24,cv
3,True,D0 C059 C142 C108 D0,5,"0,1",10.4385335139578,EV14,ev
3,False,D0 C113 C146 C189 D0,5,1,11.952667270245334,EV5,ev
3,True,D0 C085 C177 C115 D0,5,"0,1",10.88059951694426,EV1,ev
3,True,D0 C090 C134 C217 D0,5,"0,1,2",19.066496421818954,CV28,cv
3,True,D0 C081 C173 C194 D0,5,"0,1",9.943572965814525,EV45,ev
2,True,D0 C167 C205 D0,4,"1,2",18.634485804572503,EV6,ev
3,False,D0 C122 C191 C181 D0,5,1,12.106887682321544,EV19,ev
3,False,D0 C169 C124 C107 D0,5,1,11.461321812915829,EV32,ev
3,True,D0 C069 C196 C197 D0,5,"0,1",10.765329045617994,EV36,ev
4,True,D0 C119 C131 C159 C218 D0,6,"1,2",18.412597218399025,EV28,ev
3,False,D0 C135 C148 C132 D0,5,1,10.710681851868031,EV12,ev
2,False,D0 C136 C152 D0,4,1,11.759632142913851,EV9,ev
4,True,D1 C017 C088 C073 C140 D1,6,"0,1",9.790267891765785,EV43,ev
3,True,D1 C007 C072 C188 D1,5,"0,1",9.804643251630047,EV41,ev
4,True,D1 C024 C052 C026 C209 D1,6,"0,2",18.607450614567423,EV35,ev
4,True,D1 C039 C021 C154 C212 D1,6,"0,1,2",18.856884250708386,EV20,ev
2,True,D1 C071 C149 D1,4,"0,1",9.560661909434963,EV51,ev
5,True,D1 C064 C056 C006 C127 C111 D1,7,"0,1",10.882102429102039,EV18,ev
3,True,D1 C016 C150 C215 D1,5,"0,1,2",19.26308938328193,EV38,ev
2,True,D1 C044 C216 D1,4,"0,2",18.827530340250007,EV46,ev
4,True,D1 C019 C047 C182 C219 D1,6,"0,1,2",18.707112564510172,EV42,ev
4,True,D1 C032 C014 C187 C206 D1,6,"0,1,2",18.47898940412279,EV37,ev
3,True,D1 C009 C084 C174 D1,5,"0,1",9.421415137513112,EV44,ev
4,True,D1 C098 C015 C120 C129 D1,6,"0,1",11.791577859219077,EV25,ev
3,True,D1 C012 C065 C157 D1,5,"0,1",9.658203785950084,EV39,ev
5,True,D1 C093 C095 C168 C112 C178 D1,7,"0,1",11.679944288077287,EV22,ev
3,True,D1 C068 C051 C116 D1,5,"0,1",11.680295732613745,EV16,ev
3,True,D1 C029 C063 C186 D1,5,"0,1",10.641155326231623,EV40,ev
2,False,D1 C057 C100 D1,4,0,1.413333646508317,EV21,ev
3,True,D1 C062 C045 C106 D1,5,"0,1",10.786429197836602,EV33,ev
4,True,D1 C061 C028 C074 C104 D1,6,"0,1",10.738900654595176,EV3,ev
3,True,D1 C043 C005 C101 D1,5,"0,1",9.66706515511372,EV23,ev
4,True,D1 C055 C175 C195 C185 D1,6,"0,1",11.550479565549628,CV57,cv
4,True,D1 C087 C080 C183 C139 D1,6,"0,1",10.334573685935242,EV10,ev
3,True,D1 C010 C030 C128 D1,5,"0,1",10.525160641313958,EV2,ev
3,True,D1 C067 C053 C141 D1,5,"0,1",10.27417768872568,EV34,ev
3,True,D1 C034 F3 C079 C109 D1,6,"0,1",10.644727461608836,EV49,ev
2,True,D1 C037 C153 D1,4,"0,1",11.333351385519524,EV27,ev
3,True,D1 C092 C011 C158 D1,5,"0,1",9.774420261893292,EV30,ev
2,False,D1 C040 C049 D1,4,0,1.8911977063426182,EV48,ev
