#{"t_start": 0.0, "env_id": "bucketed"}
r,l,t,actual_evals,candidate_scores,repair_delta_count,best_obj,violation_count
2281.9087,16000,1927.750117,16000,16000,2016900,3662.709380341793,0
2404.0332,16000,1927.751045,16000,16000,1943699,3620.0205656850408,0
2325.891,16000,1927.751067,16000,16000,1821621,3587.2434681760706,0
2366.2388,16000,1927.751076,16000,16000,2018930,3560.684131575367,0
2401.5532,16000,1927.751084,16000,16000,1920271,3535.6177605567173,0
2258.111,16000,1927.751093,16000,16000,1887100,3647.7873118100856,0
2292.9985,16000,1927.7511,16000,16000,1950591,3615.051903191765,0
2622.8286,16000,1927.751107,16000,16000,1956220,3546.457567560023,0
2441.7163,16000,1927.751115,16000,16000,2064528,3526.2172764455463,0
1868.6265,16000,1039.001442,16000,16000,280730,5384.572176675782,0
1766.6255,16000,1039.003912,16000,16000,289010,5445.986353287405,0
1805.2838,16000,1039.003928,16000,16000,285904,5486.2763323044865,0
1800.9,16000,1039.003937,16000,16000,302644,5540.809894370556,0
1811.135,16000,1039.003943,16000,16000,290593,5468.5748933467485,0
1920.3326,16000,1039.003949,16000,16000,329767,5352.475144476839,0
1803.7506,16000,1039.003954,16000,16000,314288,5556.4964415180675,0
1817.4945,16000,1039.00396,16000,16000,289194,5499.048015069367,0
1840.5558,16000,1039.003965,16000,16000,270323,5415.865283641354,0
1729.0953,16000,2701.424659,16000,16000,709104,7192.946396371898,0
1662.9752,16000,2701.904835,16000,16000,571593,7394.371841054224,0
1665.1411,16000,2701.904899,16000,16000,775002,7311.145521795247,0
1697.9065,16000,2701.904909,16000,16000,701657,7402.070302347854,0
1752.4222,16000,2701.904916,16000,16000,638301,7249.351610789074,0
1701.8359,16000,2701.904922,16000,16000,636124,7300.515125249611,0
1645.0181,16000,2701.904929,16000,16000,681912,7399.069958407897,0
1636.3097,16000,2701.904935,16000,16000,645681,7469.552684768027,0
1814.3157,16000,2701.904941,16000,16000,634674,7133.47667016005,0
2844.6814,16000,1034.357572,16000,16000,512138,3658.833441169513,0
1626.2498,16000,1034.828404,16000,16000,540902,4213.023424363769,0
2616.6663,16000,1034.828493,16000,16000,516532,3713.3398132613247,0
2563.542,16000,1034.828504,16000,16000,496161,3667.3763117013946,0
2656.2373,16000,1034.828513,16000,16000,515118,3716.012725686671,0
2710.3071,16000,1034.82852,16000,16000,498185,3746.1844351676204,0
2753.0017,16000,1034.828528,16000,16000,507605,3595.949775034197,0
2516.2346,16000,1034.828535,16000,16000,487958,3714.9570164303113,0
2466.9976,16000,1034.828542,16000,16000,525398,3664.221136961117,0
1741.3812,16000,1056.996456,16000,16000,288819,5506.042416545048,0
1760.6476,16000,1056.999124,16000,16000,282763,5493.892586188539,0
1935.1738,16000,1056.999143,16000,16000,295185,5306.407603906811,0
1926.6302,16000,1056.999151,16000,16000,288017,5289.842675203241,0
1721.0487,16000,1056.999158,16000,16000,277309,5494.24618521588,0
1732.9626,16000,1056.999165,16000,16000,282843,5511.299941407304,0
1848.3925,16000,1056.99917,16000,16000,280434,5357.3768307275195,0
1729.0063,16000,1056.999176,16000,16000,289396,5457.6336893662465,0
1814.608,16000,1056.999182,16000,16000,302680,5393.133674383907,0
1673.8867,16000,1458.353274,16000,16000,310627,7166.172888169302,0
1607.9275,16000,1458.827146,16000,16000,275571,7200.819442746924,0
1683.0867,16000,1458.827185,16000,16000,263565,7140.678648347164,0
1591.2454,16000,1458.827195,16000,16000,309923,7178.971731681244,0
1730.0599,16000,1458.827204,16000,16000,284177,7046.573777265708,0
1662.2002,16000,1458.827216,16000,16000,282564,7169.044687659238,0
1681.8617,16000,1458.827221,16000,16000,284453,6952.0410078745235,0
1630.0522,16000,1458.827228,16000,16000,284945,7140.348431607137,0
1634.6512,16000,1458.827233,16000,16000,296527,7089.052624450815,0
2734.7798,16000,578.699414,16000,16000,288681,3732.083638564523,0
2632.1313,16000,579.177854,16000,16000,284832,3821.763395225626,0
2736.2979,16000,579.177905,16000,16000,274007,3661.322825663404,0
1948.3788,16000,579.177914,16000,16000,198629,4166.162266975439,0
2309.4949,16000,579.177922,16000,16000,254062,3918.0323620749296,0
2069.1597,16000,579.177931,16000,16000,229407,3924.725903878053,0
2566.39,16000,579.177937,16000,16000,253760,3657.9112225665626,0
2477.529,16000,579.177944,16000,16000,264382,3857.514744961736,0
2858.7205,16000,579.177949,16000,16000,270455,3724.7703168806183,0
1587.0673,16000,855.384873,16000,16000,263186,5318.605833111917,0
1762.3715,16000,855.856496,16000,16000,271942,5372.0768721412305,0
1386.9674,16000,855.856518,16000,16000,250053,5547.514528461842,0
1483.3047,16000,855.856527,16000,16000,257854,5434.533108577342,0
1720.5701,16000,855.856534,16000,16000,268199,5405.782637000954,0
1638.3549,16000,855.856542,16000,16000,267284,5396.8711273067165,0
1123.0403,16000,855.856551,16000,16000,242610,5787.310389162342,0
1484.5419,16000,855.856559,16000,16000,257317,5593.386515312066,0
1612.7965,16000,855.856564,16000,16000,255132,5337.516349935601,0
