phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,3072,3072,3072,monitor_phase_0000.csv
1,models/data_bundle/generated_instances/E-UK24h-三班-150,25,3072,3072,6144,monitor_phase_0001.csv
2,models/data_bundle/generated_instances/E-UK24h-三班-200,49,3072,3072,9216,monitor_phase_0002.csv
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,73,3072,3072,12288,monitor_phase_0003.csv
4,models/data_bundle/generated_instances/E-UK24h-三班-150,97,3072,3072,15360,monitor_phase_0004.csv
5,models/data_bundle/generated_instances/E-UK24h-三班-200,121,3072,3072,18432,monitor_phase_0005.csv
6,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,145,3072,3072,21504,monitor_phase_0006.csv
7,models/data_bundle/generated_instances/E-UK24h-三班-150,169,3072,3072,24576,monitor_phase_0007.csv
8,models/data_bundle/generated_instances/E-UK24h-三班-200,193,3072,3072,27648,monitor_phase_0008.csv
9,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,217,3072,3072,30720,monitor_phase_0009.csv
10,models/data_bundle/generated_instances/E-UK24h-三班-150,241,3072,3072,33792,monitor_phase_0010.csv
11,models/data_bundle/generated_instances/E-UK24h-三班-200,265,3072,3072,36864,monitor_phase_0011.csv
12,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,289,3072,3072,39936,monitor_phase_0012.csv
13,models/data_bundle/generated_instances/E-UK24h-三班-150,313,3072,3072,43008,monitor_phase_0013.csv
14,models/data_bundle/generated_instances/E-UK24h-三班-200,337,3072,3072,46080,monitor_phase_0014.csv
15,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,361,3072,3072,49152,monitor_phase_0015.csv
16,models/data_bundle/generated_instances/E-UK24h-三班-150,385,3072,3072,52224,monitor_phase_0016.csv
17,models/data_bundle/generated_instances/E-UK24h-三班-200,409,3072,3072,55296,monitor_phase_0017.csv
18,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,433,3072,3072,58368,monitor_phase_0018.csv
19,models/data_bundle/generated_instances/E-UK24h-三班-150,457,3072,3072,61440,monitor_phase_0019.csv
