split,destroy_id,repair_id,q_variants,best_delta,mean_delta,improved_best_q_count,accepted_q_count
formal_10001,worst_customer_removal,regret3_insert_repair,10,-500.17134236140555,-245.60066178653705,10,10
formal_10001,worst_customer_removal,greedy_insert_repair,10,-304.47553152429646,-188.74490288242296,10,10
formal_10001,shaw_related_removal,greedy_insert_repair,10,-219.96409676584335,-37.538940778915915,5,10
formal_10001,worst_customer_removal,regret2_insert_repair,10,-195.86088981875764,-86.247038536945,9,9
formal_10001,shaw_related_removal,regret3_insert_repair,10,-98.18678415726299,28.63998865872518,3,8
formal_10001,shaw_related_removal,regret2_insert_repair,10,-52.779976617894135,151.72759856960266,2,4
formal_10001,vehicle_type_swap,greedy_insert_repair,10,-20.026117298310965,-20.026117298310965,10,10
formal_10001,vehicle_type_swap,regret2_insert_repair,10,-20.026117298310965,-20.026117298310965,10,10
formal_10001,vehicle_type_swap,regret3_insert_repair,10,-20.026117298310965,-20.026117298310965,10,10
formal_10001,route_segment_removal,greedy_insert_repair,10,0.0,0.0,0,10
formal_10001,route_segment_removal,regret2_insert_repair,10,0.0,0.0,0,10
formal_10001,route_segment_removal,regret3_insert_repair,10,0.0,0.0,0,10
formal_10001,whole_route_removal,greedy_insert_repair,10,0.0,0.0,0,10
formal_10001,whole_route_removal,regret2_insert_repair,10,0.0,0.0,0,10
formal_10001,whole_route_removal,regret3_insert_repair,10,0.0,0.0,0,10
formal_10001,random_customer_removal,regret3_insert_repair,10,75.46653053728096,233.36771668041473,0,3
formal_10001,random_customer_removal,greedy_insert_repair,10,96.29007451811594,265.9570661864851,0,2
formal_10001,random_customer_removal,regret2_insert_repair,10,102.56674554492656,344.16119755365037,0,2
held_out,shaw_related_removal,regret3_insert_repair,10,-236.21345198380914,67.9036600766215,4,5
held_out,shaw_related_removal,greedy_insert_repair,10,-135.14290205042653,89.31234493705752,3,4
held_out,worst_customer_removal,regret2_insert_repair,10,-78.91263404541951,64.74359059860562,3,6
held_out,worst_customer_removal,greedy_insert_repair,10,-74.27833372829355,41.60165208252165,3,7
held_out,shaw_related_removal,regret2_insert_repair,10,-72.78416931216907,140.74081901086137,2,3
held_out,random_customer_removal,regret3_insert_repair,10,-59.85904159683105,151.85345651981734,2,3
held_out,worst_customer_removal,regret3_insert_repair,10,-29.811782144945028,80.90452763454223,1,5
held_out,vehicle_type_swap,greedy_insert_repair,10,-22.064104527251402,-22.064104527251402,10,10
held_out,vehicle_type_swap,regret2_insert_repair,10,-22.064104527251402,-22.064104527251402,10,10
held_out,vehicle_type_swap,regret3_insert_repair,10,-22.064104527251402,-22.064104527251402,10,10
held_out,random_customer_removal,regret2_insert_repair,10,-10.866944577496724,179.1108654884014,1,3
held_out,route_segment_removal,greedy_insert_repair,10,0.0,0.0,0,0
held_out,route_segment_removal,regret2_insert_repair,10,0.0,0.0,0,0
held_out,route_segment_removal,regret3_insert_repair,10,0.0,0.0,0,0
held_out,whole_route_removal,greedy_insert_repair,10,0.0,0.0,0,10
held_out,whole_route_removal,regret2_insert_repair,10,0.0,0.0,0,10
held_out,whole_route_removal,regret3_insert_repair,10,0.0,0.0,0,10
held_out,random_customer_removal,greedy_insert_repair,10,36.9821852523537,247.7459633317838,0,2
train0,worst_customer_removal,greedy_insert_repair,10,-338.81432200304425,-141.12935915147972,10,10
train0,worst_customer_removal,regret2_insert_repair,10,-287.1917591411675,-117.38604920099797,8,9
train0,worst_customer_removal,regret3_insert_repair,10,-278.4357971320451,-81.52909381474646,8,9
train0,random_customer_removal,regret3_insert_repair,10,-221.59781044563988,96.8775781317543,3,4
train0,shaw_related_removal,regret3_insert_repair,10,-203.1685422907849,-6.468315373340284,6,7
train0,shaw_related_removal,regret2_insert_repair,10,-113.65693575070964,26.195959572563606,3,8
train0,shaw_related_removal,greedy_insert_repair,10,-103.48496540673841,15.315394847059906,5,8
train0,random_customer_removal,regret2_insert_repair,10,-103.17405538175444,235.63042800895246,1,2
train0,random_customer_removal,greedy_insert_repair,10,-103.17405538175444,305.0818222849026,1,2
train0,whole_route_removal,greedy_insert_repair,10,-34.131518274714836,-34.131518274714836,10,10
train0,whole_route_removal,regret2_insert_repair,10,-34.131518274714836,-34.131518274714836,10,10
train0,whole_route_removal,regret3_insert_repair,10,-34.131518274714836,-34.131518274714836,10,10
train0,vehicle_type_swap,greedy_insert_repair,10,-20.321012718984093,-20.321012718984093,10,10
train0,vehicle_type_swap,regret2_insert_repair,10,-20.321012718984093,-20.321012718984093,10,10
train0,vehicle_type_swap,regret3_insert_repair,10,-20.321012718984093,-20.321012718984093,10,10
train0,route_segment_removal,greedy_insert_repair,10,110.82261763225051,110.82261763225051,0,0
train0,route_segment_removal,regret2_insert_repair,10,110.82261763225051,110.82261763225051,0,0
train0,route_segment_removal,regret3_insert_repair,10,110.82261763225051,110.82261763225051,0,0
