algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,16000,5954.73383353001,16000,16000,126096,winner_kernel_v1,kernel_default,0,1,41d781f374a61f2ede4c8ad7db5adbd9d438b93a5ab38901677dc1b7fe889c5e,{},"{""random_customer_removal"":51,""route_segment_removal"":14330,""shaw_related_removal"":51,""vehicle_type_swap"":1466,""whole_route_removal"":51,""worst_customer_removal"":51}","{""greedy_insert_repair"":1082,""regret2_insert_repair"":14816,""regret3_insert_repair"":102}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,1,16000,5954.73383353001,16000,16000,0,winner_kernel_v1,official_kernel,0,1,1564b0d491be88060b7b654c08c51f7617c7b5cd0791d6404e85347b4ae88280,{},{},{},{}
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,2,16000,4909.530249672551,16000,16000,1135213,winner_kernel_v1,kernel_default,0,1,e34ca03a418fd6caf90d7345f14d0a493a54b412e2c70d7a6313b88df7d03bcd,{},"{""random_customer_removal"":21,""route_segment_removal"":3862,""shaw_related_removal"":3939,""vehicle_type_swap"":813,""whole_route_removal"":7344,""worst_customer_removal"":21}","{""greedy_insert_repair"":8004,""regret2_insert_repair"":1164,""regret3_insert_repair"":6832}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,2,16000,4909.530249672552,16000,16000,0,winner_kernel_v1,official_kernel,0,1,7eb8d29b66864978403e98155f79e12e4dbcf4070f25e22f7bb5252b7993c1cf,{},{},{},{}
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,3,16000,5773.3819464782055,16000,16000,114974,winner_kernel_v1,kernel_default,0,1,8715fa6f822a0efd5527cb3cf0c44f0dbdd4fb59faa410995accec558ced7695,{},"{""random_customer_removal"":21,""route_segment_removal"":14983,""shaw_related_removal"":21,""vehicle_type_swap"":933,""whole_route_removal"":21,""worst_customer_removal"":21}","{""greedy_insert_repair"":15541,""regret2_insert_repair"":417,""regret3_insert_repair"":42}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,3,16000,5773.3819464782055,16000,16000,0,winner_kernel_v1,official_kernel,0,1,4694c82b85c12748f651b3d27cbd13f079d3f9a34a7e2c481bfab99a35ed7a66,{},{},{},{}
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,4,16000,6024.488077952977,16000,16000,161601,winner_kernel_v1,kernel_default,0,1,e9f4863bc1b8995a70566f2cf8959dc896ddd30006ea0077a3a897ed8ae16e15,{},"{""random_customer_removal"":123,""route_segment_removal"":13534,""shaw_related_removal"":123,""vehicle_type_swap"":1974,""whole_route_removal"":123,""worst_customer_removal"":123}","{""greedy_insert_repair"":2167,""regret2_insert_repair"":13497,""regret3_insert_repair"":336}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,4,16000,6024.488077952977,16000,16000,0,winner_kernel_v1,official_kernel,0,1,ad9498e5963a002fdeb381c2d113d8cc2e31ded3182ffe3e4027886f652e6d84,{},{},{},{}
alpha_ucb_env,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,5,16000,6062.672019121483,16000,16000,140853,winner_kernel_v1,kernel_default,0,1,ea41f2155ec980e7242d312600d954faa13a49dc6379bbffd7bf26e7b1660e26,{},"{""random_customer_removal"":75,""route_segment_removal"":14139,""shaw_related_removal"":75,""vehicle_type_swap"":1561,""whole_route_removal"":75,""worst_customer_removal"":75}","{""greedy_insert_repair"":15179,""regret2_insert_repair"":617,""regret3_insert_repair"":204}",{}
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,5,16000,6062.672019121483,16000,16000,0,winner_kernel_v1,official_kernel,0,1,43c7ca1d77f883516c07ffc51f010fd612fb6785f1ba177cb65225a2ee9a2fe8,{},{},{},{}
