actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,evidence_role,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,track,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,operator_select,650.9200401009571,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,80,,650.9200401009571,80,DESTROY_LEVERAGE_GATE,True,33315,25c,1201,80,,,track22,0,2.531999999890104,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,649.8148711743246,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,0,80,block_ppo,652.3278269557993,80,DESTROY_LEVERAGE_GATE,,,25c,1201,80,random_customer_removal,greedy_insert_repair,track22,0,2.702999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,632.7122468404277,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,80,best_of_k_destroy,632.7122468404277,80,DESTROY_LEVERAGE_GATE,,,25c,1201,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.422000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,614.4228434362584,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,80,,614.4228434362584,80,DESTROY_LEVERAGE_GATE,True,32017,25c,1202,80,,,track22,0,4.718000000109896,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,635.6567382733299,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,0,80,block_ppo,635.6567382733299,80,DESTROY_LEVERAGE_GATE,,,25c,1202,80,random_customer_removal,greedy_insert_repair,track22,0,2.734999999869615,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,647.3201512433433,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,80,best_of_k_destroy,647.3201512433433,80,DESTROY_LEVERAGE_GATE,,,25c,1202,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.030999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,579.7725982199252,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,,80,,579.7725982199252,80,DESTROY_LEVERAGE_GATE,True,28416,25c,1203,80,,,track22,0,4.5,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,648.0574862965273,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,0,80,block_ppo,650.6950673543871,80,DESTROY_LEVERAGE_GATE,,,25c,1203,80,random_customer_removal,greedy_insert_repair,track22,0,2.672000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,576.5627094735121,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,4,80,best_of_k_destroy,576.5627094735121,80,DESTROY_LEVERAGE_GATE,,,25c,1203,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.0,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,531.3587012429881,models/data_bundle/generated_instances/E-UK25_12__curric_d2_s3_seed2212_24h,,80,,531.3587012429881,80,DESTROY_LEVERAGE_GATE,True,36018,25c,1201,80,,,track22,0,2.469000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
