aware_charging_actions,aware_charging_carbon_kg,aware_cost,aware_cost_carbon,aware_total_cost,aware_violation_count,best_aware_cost,best_aware_policy,best_aware_violation_count,budget_status,bundle,candidate_evaluate_count,candidate_evaluate_floor,candidate_evaluate_floor_ratio,candidate_unique_count,carbon_cost_share_pct,carbon_intensity_amplitude_factor,carbon_price_factor,customer_count,cv_vehicle_cap,diagnostic_role,ev_route_count,ev_vehicle_cap,ev_vehicle_factor,improvement_pct,naive_charging_actions,naive_charging_carbon_kg,naive_cost,naive_cost_carbon,naive_total_cost,naive_violation_count,route_count,scale,seed,source,verdict_role
1,0.3557360504677282,970.1955612382537,18.694591498298138,970.1955612382537,0,970.1955612382537,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9270168030168056,0.5,1.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.000130319245659608,1,0.3808523235016341,970.1968255914383,18.695855851482666,970.1968255914383,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.22025039429732848,970.1887408903222,18.687771150366522,970.1887408903222,0,970.1887408903222,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9264551684231437,1.0,1.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0002606399839177726,1,0.2704829403651402,970.1912695966912,18.690299856735574,970.1912695966912,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,970.1776534854732,18.676683745517593,970.1776534854732,0,970.1776534854732,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9253318799377213,2.0,1.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0002581089402943315,1,0.04974417409215251,970.180157607197,18.679187867241392,970.180157607197,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.3557360504677282,1044.9739272314464,93.4729574914907,1044.9739272314464,0,1044.9739272314464,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,8.94555465015767,0.5,5.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0006049651109374262,1,0.3808523235016341,1044.980248997369,93.47927925741334,1044.980248997369,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.22025039429732848,1044.9398254917883,93.43885575183262,1044.9398254917883,0,1044.9398254917883,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,8.943133975365946,1.0,5.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0012099623877683085,1,0.2704829403651402,1044.9524690236335,93.45149928367788,1044.9524690236335,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,1044.8843884675437,93.38341872758797,1044.8843884675437,0,1044.8843884675437,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,8.938292239641351,2.0,5.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0011982625759619427,1,0.04974417409215251,1044.8969090761625,93.39593933620696,1044.8969090761625,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.3557360504677282,1138.446884722937,186.9459149829814,1138.446884722937,0,1138.446884722937,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,16.422064542024383,0.5,10.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0011105824608999787,1,0.3808523235016341,1138.4595282547823,186.95855851482668,1138.4595282547823,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.22025039429732848,1138.3786812436208,186.87771150366524,1138.3786812436208,0,1138.3786812436208,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,16.417985510474033,1.0,10.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0022212733260306306,1,0.2704829403651402,1138.4039683073113,186.90299856735575,1138.4039683073113,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,1138.2678071951316,186.76683745517593,1138.2678071951316,0,1138.2678071951316,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,16.409826252790864,2.0,10.0,25,10,scenario_knob_carbon_share_only,1,10,1.0,0.0021998923451762896,1,0.04974417409215251,1138.2928484123695,186.79187867241393,1138.2928484123695,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.3557360504677282,970.1955612382537,18.694591498298138,970.1955612382537,0,970.1955612382537,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9270168030168056,0.5,1.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.000130319245659608,1,0.3808523235016341,970.1968255914383,18.695855851482666,970.1968255914383,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.22025039429732848,970.1887408903222,18.687771150366522,970.1887408903222,0,970.1887408903222,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9264551684231437,1.0,1.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0002606399839177726,1,0.2704829403651402,970.1912695966912,18.690299856735574,970.1912695966912,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.0,970.1776534854732,18.676683745517593,970.1776534854732,0,970.1776534854732,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,1.9253318799377213,2.0,1.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0002581089402943315,1,0.04974417409215251,970.180157607197,18.679187867241392,970.180157607197,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
1,0.3557360504677282,1044.9739272314464,93.4729574914907,1044.9739272314464,0,1044.9739272314464,aware,0,OK,models/data_bundle/generated_instances/E-UK25_11__curric_d2_s3_seed2211_24h,200,200,1.0,2,8.94555465015767,0.5,5.0,25,10,scenario_knob_carbon_share_only,1,15,1.5,0.0006049651109374262,1,0.3808523235016341,1044.980248997369,93.47927925741334,1044.980248997369,0,6,25c,2901,winner_kernel_fixed_route_knob_table,scenario_design_material_only
