update_index,policy_version_before,policy_version_after,curriculum_phase,learning_rate,entropy_coef,clip_range,device,valid_steps,valid_episodes,stale_episodes,shared_baseline_group_count,shared_baseline_skipped_group_count,checkpoint_path,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4,mask_invalid_rate_head_5,mask_invalid_rate_head_6,policy_loss,value_loss,entropy,approx_kl,clip_fraction,target_kl_hit,target_kl_value
0,0,1,route,0.0001,0.02,0.2,cuda,48,12,0,3,2,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0001.pt,0.2976190476190476,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,-0.0007890637110297138,1521.0578002929688,7.2609453201293945,0.0002719412441365421,0.0,0.0,0.0005438228836283088
1,1,2,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0002.pt,0.27678571428571425,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-0.0003171786665916443,3058.650146484375,7.332848072052002,0.0009462932939641178,0.0,0.0,0.0010281503200531006
2,2,3,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0003.pt,0.3035714285714286,0.0,0.049999999999999996,0.0,0.0,0.0,0.0,-4.0295224607689306e-05,2647.205322265625,7.261357545852661,0.0002137074916390702,0.0,0.0,0.00023296475410461426
3,3,4,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0004.pt,0.31845238095238093,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.000830112665425986,1987.544677734375,7.196295976638794,0.0010239830007776618,0.0,0.0,0.001284827827475965
4,4,5,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0005.pt,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,-9.761502587934956e-05,3170.777099609375,7.352860689163208,6.119410318206064e-05,0.0,0.0,4.503130912780762e-05
5,5,6,route,0.0001,0.02,0.2,cuda,60,15,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0006.pt,0.2761904761904762,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,-0.00013715824024984613,3138.046630859375,7.341256380081177,0.00020930370737914927,0.0,0.0,4.793803236680105e-05
6,6,7,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0007.pt,0.29464285714285715,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,-0.000601645588176325,2144.302001953125,7.264206409454346,0.00011500716573209502,0.0,0.0,7.360180461546406e-05
7,7,8,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0008.pt,0.28571428571428575,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-0.00033951987279579043,1795.5282592773438,7.331040859222412,0.0002372314629610628,0.0,0.0,0.00022499760962091386
8,8,9,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0009.pt,0.27678571428571425,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-7.782876946293982e-05,2415.7161865234375,7.323677062988281,3.9199989259941503e-05,0.0,0.0,1.862645149230957e-05
9,9,10,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0010.pt,0.2916666666666667,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-0.0005971044593024999,3116.4720458984375,7.321397542953491,0.0003559738543117419,0.0,0.0,0.0005668799276463687
10,10,11,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0011.pt,0.28571428571428575,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-1.8989047021022998e-05,2505.96875,7.33000922203064,0.00023461381715605967,0.0,0.0,0.00038379430770874023
11,11,12,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0012.pt,0.2976190476190476,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-0.0005876037030247971,2563.2296142578125,7.290210008621216,0.0006563514762092382,0.0,0.0,0.0008127788896672428
12,12,13,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0013.pt,0.2619047619047619,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,5.202243846724741e-05,2622.9482421875,7.333845376968384,0.0003894120454788208,0.0,0.0,0.0004946589469909668
13,13,14,route,0.0001,0.02,0.2,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0014.pt,0.29464285714285715,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0005600191943813115,3077.42578125,7.2937726974487305,0.0016452372074127197,0.0,0.0,0.002105027437210083
14,14,15,route,0.0001,0.02,0.2,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0015.pt,0.30654761904761907,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.0003320649266242981,2382.2786865234375,7.26387357711792,0.0007484853267669678,0.0,0.0,0.0007230639457702637
15,15,16,route,0.0001,0.02,0.2,cuda,64,16,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0016.pt,0.28125,0.0,0.018750000000000003,0.0,0.0,0.0,0.0,-2.9938295483589172e-05,2889.53759765625,7.332261562347412,4.531070590019226e-05,0.0,0.0,3.492087125778198e-05
16,16,17,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0017.pt,0.28273809523809523,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.000910894334083423,3037.646484375,7.332002639770508,0.00048222146870102733,0.0,0.0,0.0005367001285776496
17,17,18,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0018.pt,0.31547619047619047,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0002059626131085679,2988.246826171875,7.291799783706665,0.0001356204356852686,0.0,0.0,0.0002276003360748291
18,18,19,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0019.pt,0.28571428571428564,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-2.4169684081698506e-05,2987.3548583984375,7.315868139266968,0.0002666960281203501,0.0,0.0,0.0003483991022221744
19,19,20,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0020.pt,0.2976190476190476,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-9.595106530468911e-05,1890.6636962890625,7.286602258682251,0.00014570852727047168,0.0,0.0,0.00020234784460626543
20,20,21,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0021.pt,0.31250000000000006,0.0,0.05833333333333334,0.0,0.0,0.0,0.0,-2.854565900634043e-05,2572.8739013671875,7.232273101806641,3.915031811629888e-05,0.0,0.0,2.0245712221367285e-05
21,21,22,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0022.pt,0.30357142857142855,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-0.00023320814580074511,2485.53173828125,7.298746347427368,9.247660909750266e-05,0.0,0.0,0.00017488996672909707
22,22,23,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0023.pt,0.2976190476190476,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,0.00033772985625546426,2794.9034423828125,7.25398325920105,0.00015214582526823506,0.0,0.0,0.00020192067313473672
23,23,24,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0024.pt,0.3035714285714286,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,9.096165558730718e-05,1911.7584228515625,7.2874791622161865,0.00015715758490841836,0.0,0.0,0.00021807353186886758
24,24,25,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0025.pt,0.3095238095238096,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,0.0001362152397632599,3660.25341796875,7.27865195274353,0.00014651815217803232,0.0,0.0,0.00021314620971679688
25,25,26,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0026.pt,0.29464285714285715,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-0.00020749868417624384,3198.827880859375,7.290433406829834,0.00030278167105279863,0.0,0.0,0.0003179411287419498
26,26,27,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0027.pt,0.30654761904761907,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.00036116318369749933,1917.0503540039062,7.2617127895355225,0.00028915703296661377,0.0,0.0,0.00035330653190612793
