stage,algorithm,bundle,bundle_dir,seed,scale,status,health_status,dynamic_cost,static_revealed_cost,information_cost,information_cost_pct,dynamic_feasible,static_feasible,stage_all_feasible,all_assertions_pass,trigger_count,event_count,stage_row_count,actual_evals,eval_budget,stage_eval_budget,elapsed_seconds,payload_path,failure_reason
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,794.5514248987854,614.5853222055247,179.96610269326072,29.282525337153743,True,True,True,True,3,5,4,6000,2000,2000,131.3884706001263,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,902,25,OK,HEALTHY,719.9638882862805,589.3236072187751,130.64028106750538,22.16783435573584,True,True,True,True,3,5,4,6000,2000,2000,203.26682349992916,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,903,25,OK,HEALTHY,936.5365446028095,650.221519138286,286.3150254645235,44.03345891165921,True,True,True,True,4,5,5,10000,2000,2000,151.4735512000043,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,904,25,OK,HEALTHY,1036.5338472285594,675.1320820301661,361.40176519839326,53.53052755419867,True,True,True,True,5,5,6,12000,2000,2000,160.62040210003033,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,905,25,OK,HEALTHY,893.4851640294709,719.3358437856873,174.14932024378356,24.20973760007267,True,True,True,True,4,5,5,8000,2000,2000,112.85035509988666,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,906,25,OK,HEALTHY,1054.6376803813441,666.1042158099935,388.5334645713506,58.32923067434539,True,True,True,True,4,5,5,10000,2000,2000,137.3111162998248,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,907,25,OK,HEALTHY,914.702878954945,680.6599397766026,234.0429391783424,34.384708942200554,True,True,True,True,3,5,4,8000,2000,2000,96.57933379989117,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed907.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,908,25,OK,HEALTHY,851.717379658279,689.8421928388173,161.87518681946176,23.46553871303783,True,True,True,True,4,5,5,8000,2000,2000,135.7860244999174,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,909,25,OK,HEALTHY,1049.082450591484,695.075941374073,354.0065092174111,50.93062328090182,True,True,True,True,4,5,5,8000,2000,2000,130.33976329979487,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed909.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,910,25,OK,HEALTHY,929.0334473040164,669.5924275474581,259.44101975655826,38.74611018329805,True,True,True,True,3,5,4,8000,2000,2000,96.29559909994714,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed910.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,901,50,OK,HEALTHY,1548.9863521250727,1087.7508126654993,461.2355394595734,42.40268396852126,True,True,True,True,4,12,5,8554,2000,2000,306.83387460000813,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed901.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,902,50,OK,HEALTHY,1661.752712554383,1077.596790341294,584.1559222130888,54.20913716976423,True,True,True,True,5,12,6,10750,2000,2000,296.3201063000597,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed902.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,903,50,OK,HEALTHY,1837.4638519301757,1093.9984012993416,743.4654506308341,67.95855000773497,True,True,True,True,5,12,6,10609,2000,2000,347.359625400044,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed903.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,904,50,OK,HEALTHY,1870.6609189093963,1128.796590054887,741.8643288545093,65.72170180089192,True,True,True,True,5,12,6,10592,2000,2000,311.79770609992556,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed904.json,
headroom,rolling_alns_reoptimization_vs_full_information_static,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,905,50,OK,HEALTHY,1722.7835476322423,1130.6474085142984,592.1361391179439,52.3714231916055,True,True,True,True,5,12,6,10079,2000,2000,364.760917800013,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track18\track18_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed905.json,
