stage,algorithm,policy_mode,bundle,bundle_dir,seed,scale,status,health_status,myopic_dynamic_cost,heuristic_dynamic_cost,myopic_static_revealed_cost,heuristic_static_revealed_cost,myopic_information_cost,heuristic_information_cost,myopic_information_cost_pct,heuristic_information_cost_pct,information_cost_reduction,information_cost_reduction_pct_of_myopic,dynamic_cost_delta,static_cost_delta,policy_deferred_total,policy_defer_stage_count,policy_trace_stage_count,trigger_count,event_count,actual_evals,elapsed_seconds,payload_path
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,901,25,OK,HEALTHY,794.5514248987854,794.5514248987854,614.5853222055247,614.5853222055247,179.96610269326072,179.96610269326072,29.282525337153743,29.282525337153743,0.0,0.0,0.0,0.0,0,0,3,3,5,6000,114.20613329997286,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed901_heuristic.json
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,902,25,OK,HEALTHY,719.9638882862805,719.9638882862805,589.3236072187751,589.3236072187751,130.64028106750538,130.64028106750538,22.16783435573584,22.16783435573584,0.0,0.0,0.0,0.0,0,0,3,3,5,6000,177.88984810002148,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed902_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,903,25,OK,HEALTHY,936.5365446028095,933.1200003257514,650.221519138286,650.221519138286,286.3150254645235,282.89848118746545,44.03345891165921,43.50801578550955,3.416544277058051,1.1932815162302357,-3.416544277058051,0.0,1,1,4,4,5,10000,124.59618279989809,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed903_heuristic.json
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,904,25,OK,HEALTHY,1036.5338472285594,1036.5338472285594,675.1320820301661,675.1320820301661,361.40176519839326,361.40176519839326,53.53052755419867,53.53052755419867,0.0,0.0,0.0,0.0,0,0,5,5,5,12000,136.34372949996032,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed904_heuristic.json
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,905,25,OK,HEALTHY,893.4851640294709,893.4851640294709,719.3358437856873,719.3358437856873,174.14932024378356,174.14932024378356,24.20973760007267,24.20973760007267,0.0,0.0,0.0,0.0,0,0,4,4,5,8000,115.54122379980981,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed905_heuristic.json
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,906,25,OK,HEALTHY,1054.6376803813441,1054.6376803813441,666.1042158099935,666.1042158099935,388.5334645713506,388.5334645713506,58.32923067434539,58.32923067434539,0.0,0.0,0.0,0.0,0,0,4,4,5,10000,139.33301740000024,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed906_heuristic.json
action_sanity,track20_reserve_defer_heuristic,myopic_or_no_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,907,25,OK,HEALTHY,914.702878954945,914.702878954945,680.6599397766026,680.6599397766026,234.0429391783424,234.0429391783424,34.384708942200554,34.384708942200554,0.0,0.0,0.0,0.0,0,0,3,3,5,8000,98.34524610009976,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed907_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,908,25,OK,HEALTHY,851.717379658279,851.717379658279,689.8421928388173,689.8421928388173,161.87518681946176,161.87518681946176,23.46553871303783,23.46553871303783,0.0,0.0,0.0,0.0,1,1,4,4,5,8000,141.36918889987282,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed908_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,909,25,OK,HEALTHY,1049.082450591484,1123.684331442893,695.075941374073,695.075941374073,354.0065092174111,428.60839006882,50.93062328090182,61.66353409118406,-74.60188085140885,-21.073590148477333,74.60188085140885,0.0,2,2,4,4,5,10000,139.9598268000409,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed909_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK25_02__curric_d2_s3_seed2_24h,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,910,25,OK,HEALTHY,929.0334473040164,882.5540437684983,669.5924275474581,669.5924275474581,259.44101975655826,212.96161622104023,38.74611018329805,31.80466317414355,46.47940353551803,17.91521000770469,-46.47940353551803,0.0,1,1,3,3,5,8000,100.69432740006596,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK25_02__curric_d2_s3_seed2_24h_seed910_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,901,50,OK,HEALTHY,1548.9863521250727,1492.408746108013,1087.7508126654993,1087.7508126654993,461.2355394595734,404.6579334425137,42.40268396852126,37.20134508113233,56.57760601705968,12.266532211145586,-56.57760601705968,0.0,1,1,4,4,12,8445,305.62214170000516,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed901_heuristic.json
action_sanity,track20_reserve_defer_heuristic,commit_defer,E-UK50_01__curric_d2_s3_seed1_24h,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,902,50,OK,HEALTHY,1661.752712554383,1650.3400278596241,1077.596790341294,1077.596790341294,584.1559222130888,572.74323751833,54.20913716976423,53.150050431844,11.41268469475881,1.9537052113623325,-11.41268469475881,0.0,4,3,5,5,12,10716,304.74268799996935,solver\reports\dr_alns_ppo_v3\final_track23\stage_d_track20_commit_defer\track20_payloads\E-UK50_01__curric_d2_s3_seed1_24h_seed902_heuristic.json
