episode_index,bundle,seed,policy_version,curriculum_phase,accepted_for_update,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4
5,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260626,0,route,1,24,41.26169695149685,1,3673.106337877391,1500,1500,438599,0,1,192.93700000000536,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.26785714285714285,0.0,0.08333333333333333,0.0,0.0
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260624,0,route,1,24,40.06578849477497,1,3747.384655093952,1500,1500,893544,0,1,278.0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.26785714285714285,0.0,0.05,0.0,0.0
0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260621,0,route,1,24,41.433855118154,1,3698.78947506718,1500,1500,995886,0,1,301.5309999999881,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.25595238095238093,0.0,0.06666666666666667,0.0,0.0
4,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260625,0,route,1,24,42.50705801464594,1,3719.780583276499,1500,1500,1124306,0,1,315.17200000000594,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.25595238095238093,0.0,0.0,0.0,0.0
1,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260622,0,route,1,24,40.263954618043904,1,3687.8729570040337,1500,1500,922078,0,1,349.3590000000113,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.26785714285714285,0.0,0.06666666666666667,0.0,0.0
2,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260623,0,route,1,24,38.447686772473006,1,3709.939878809343,1500,1500,1615376,0,1,411.1560000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.2916666666666667,0.0,0.08333333333333333,0.0,0.0
6,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260627,0,route,1,24,41.689943059119294,1,3710.8994089017124,1500,1500,1001965,0,1,361.0310000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.26785714285714285,0.0,0.11666666666666667,0.0,0.0
8,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260629,0,route,1,24,34.52351531335913,1,3822.103778024968,1500,1500,700157,0,1,341.6880000000092,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.27976190476190477,0.0,0.08333333333333333,0.0,0.0
7,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260628,0,route,1,24,44.15607203194442,1,3648.780303089956,1500,1500,1529170,0,1,390.9219999999914,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.2857142857142857,0.0,0.05,0.0,0.0
10,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260631,0,route,1,24,45.650069017939316,1,3671.296259553219,1500,1500,1013059,0,1,326.56200000000536,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.26785714285714285,0.0,0.0,0.0,0.0
