update_index,policy_version_before,policy_version_after,curriculum_phase,learning_rate,entropy_coef,clip_range,device,valid_steps,valid_episodes,stale_episodes,shared_baseline_group_count,shared_baseline_skipped_group_count,checkpoint_path,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,0,1,route,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.27033730158730157,0.0,0.06805555555555556,0.0,0.0,-0.03918118681758642,46873.5615234375,7.273132860660553,0.0049516872968524694,0.00048828125
1,1,2,route,0.0003,0.01,0.2,cuda,288,12,0,1,0,solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/train_final/checkpoints/async_block_ppo_update_0002.pt,0.2673611111111111,0.0,0.09166666666666666,0.0,0.0,-0.06767943687736988,49670.865234375,7.252913594245911,0.011468005599454045,0.01171875
2,2,3,route,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.2743055555555555,0.0,0.0625,0.0,0.0,-0.04788586241193116,41532.49560546875,7.255346357822418,0.008763740072026849,0.052734375
3,3,4,energy,0.0003,0.01,0.2,cuda,288,12,0,1,0,solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/train_final/checkpoints/async_block_ppo_update_0004.pt,0.26636904761904756,0.0,0.06666666666666667,0.0,0.0,-0.03872770816087723,62352.24853515625,7.248532235622406,0.01478135073557496,0.06787109375
4,4,5,energy,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.27480158730158727,0.0,0.07083333333333333,0.0,0.0,0.01698713656514883,52394.74951171875,7.217934310436249,0.00868435762822628,0.05419921875
5,5,6,energy,0.0003,0.01,0.2,cuda,288,12,0,1,0,solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/train_final/checkpoints/async_block_ppo_update_0006.pt,0.27033730158730157,0.0,0.06805555555555555,0.0,0.0,0.03198286355473101,53198.23486328125,7.2064602971076965,0.007362431613728404,0.01123046875
6,6,7,carbon,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.2718253968253968,0.0,0.061111111111111116,0.0,0.0,0.041718577151186764,36471.5859375,7.197639346122742,0.005272435024380684,0.00732421875
7,7,8,carbon,0.0003,0.01,0.2,cuda,288,12,0,1,0,solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/train_final/checkpoints/async_block_ppo_update_0008.pt,0.27232142857142855,0.0,0.05694444444444444,0.0,0.0,0.05109815113246441,37607.435546875,7.169754803180695,0.007307729683816433,0.06201171875
8,8,9,carbon,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.2708333333333333,0.0,0.048611111111111105,0.0,0.0,0.02315316698513925,38017.77099609375,7.140130579471588,0.007795431651175022,0.0791015625
9,9,10,carbon,0.0003,0.01,0.2,cuda,288,12,0,1,0,solver/reports/dr_alns_ppo_v3_block_dr_alns/async_pilot/pilot07/train_final/checkpoints/async_block_ppo_update_0010.pt,0.2708333333333333,0.0,0.06527777777777778,0.0,0.0,0.004524127347394824,38183.22216796875,7.089045286178589,0.018144486704841256,0.1083984375
10,10,11,carbon,0.0003,0.01,0.2,cuda,288,12,0,1,0,,0.2822420634920635,0.0,0.07916666666666666,0.0,0.0,0.04669042071327567,33692.08642578125,6.996114909648895,0.010800297604873776,0.1396484375
